uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,identificationReferences,fishTotalLength,fishWeight,samplerType,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,voucherSampleCode,dnaSampleID,dnaSampleCode,identifiedBy,remarks,dataQF,barrierSubReach
"9fd71f60-36e8-44f2-95af-8d7e8de9eea9","D17","BIGC","BIGC.AOS.fish.point.01","2022-10-11T16:26Z","2022-10-11T17:04Z","2022-10-11T19:44Z","BIGC.2022.fall",1,1,"SALTRU","Salmo trutta","species",,,,"Laws, John Muir. 2007. The Laws field guide to the Sierra Nevada. Singapore: Imago.",120,78.0,"electrofisher",,,,"adult","dna sample only","FSH.BIGC.01.20221011.1.0001",,"FSH.BIGC.01.20221011.1.0001.DNA","D00000146431","0000-0001-9719-1429",,,
"b3e58044-7953-44c5-a4b0-c7b5fc504f40","D17","BIGC","BIGC.AOS.fish.point.01","2022-10-11T16:26Z","2022-10-11T17:04Z","2022-10-11T19:44Z","BIGC.2022.fall",1,5,"SALTRU","Salmo trutta","species",,,,"Laws, John Muir. 2007. The Laws field guide to the Sierra Nevada. Singapore: Imago.",128,19.0,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9719-1429",,,
"aeb43348-3fd7-4118-9690-40141bcddea7","D17","BIGC","BIGC.AOS.fish.point.01","2022-10-11T16:26Z","2022-10-11T17:04Z","2022-10-11T19:44Z","BIGC.2022.fall",1,10,"SALTRU","Salmo trutta","species",,,,"Laws, John Muir. 2007. The Laws field guide to the Sierra Nevada. Singapore: Imago.",84,5.0,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9719-1429",,,
"6aab2f6a-4235-4818-bb1d-46006d1d9a40","D17","BIGC","BIGC.AOS.fish.point.01","2022-10-11T16:26Z","2022-10-11T17:04Z","2022-10-11T19:44Z","BIGC.2022.fall",1,4,"SALTRU","Salmo trutta","species",,,,"Laws, John Muir. 2007. The Laws field guide to the Sierra Nevada. Singapore: Imago.",139,23.0,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9719-1429",,,
"8e29f277-6952-4f89-87ca-9e0658108051","D17","BIGC","BIGC.AOS.fish.point.01","2022-10-11T16:26Z","2022-10-11T17:04Z","2022-10-11T19:44Z","BIGC.2022.fall",1,8,"SALTRU","Salmo trutta","species",,,,"Laws, John Muir. 2007. The Laws field guide to the Sierra Nevada. Singapore: Imago.",109,13.0,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9719-1429",,,
"4691b61d-1a66-4430-9abb-2deb618b08c6","D17","BIGC","BIGC.AOS.fish.point.01","2022-10-11T16:26Z","2022-10-11T17:04Z","2022-10-11T19:44Z","BIGC.2022.fall",1,7,"SALTRU","Salmo trutta","species",,,,"Laws, John Muir. 2007. The Laws field guide to the Sierra Nevada. Singapore: Imago.",136,22.0,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9719-1429",,,
"7b8ce6de-26f0-468a-8a4c-eec573b4e317","D17","BIGC","BIGC.AOS.fish.point.01","2022-10-11T16:26Z","2022-10-11T17:04Z","2022-10-11T19:44Z","BIGC.2022.fall",1,2,"SALTRU","Salmo trutta","species",,,,"Laws, John Muir. 2007. The Laws field guide to the Sierra Nevada. Singapore: Imago.",176,43.0,"electrofisher",,,,"adult","dna sample only","FSH.BIGC.01.20221011.1.0002",,"FSH.BIGC.01.20221011.1.0002.DNA","D00000146415","0000-0001-9719-1429",,,
"b7494d34-1724-405c-b6a0-4503e89c9919","D17","BIGC","BIGC.AOS.fish.point.01","2022-10-11T16:26Z","2022-10-11T17:04Z","2022-10-11T19:44Z","BIGC.2022.fall",1,11,"SALTRU","Salmo trutta","species",,,,"Laws, John Muir. 2007. The Laws field guide to the Sierra Nevada. Singapore: Imago.",1,1.0,"electrofisher",,,,,"no sample",,,,,"0000-0001-9719-1429","Fulcrum crashed. Fish weight and length to be deleted.",,
"fad9fafe-5c5a-49ff-a54f-4270c62be66f","D17","BIGC","BIGC.AOS.fish.point.01","2022-10-11T16:26Z","2022-10-11T17:04Z","2022-10-11T19:44Z","BIGC.2022.fall",1,9,"SALTRU","Salmo trutta","species",,,,"Laws, John Muir. 2007. The Laws field guide to the Sierra Nevada. Singapore: Imago.",114,14.0,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9719-1429",,,
"ad32896a-53e2-4b59-bc01-d85a57280690","D17","BIGC","BIGC.AOS.fish.point.01","2022-10-11T16:26Z","2022-10-11T17:04Z","2022-10-11T19:44Z","BIGC.2022.fall",1,3,"SALTRU","Salmo trutta","species",,,,"Laws, John Muir. 2007. The Laws field guide to the Sierra Nevada. Singapore: Imago.",122,17.0,"electrofisher",,,,"adult","dna sample only","FSH.BIGC.01.20221011.1.0003",,"FSH.BIGC.01.20221011.1.0003.DNA","D00000146416","0000-0001-9719-1429",,,
