uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,passNumber,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks,dataQF,barrierSubReach
"fb88e8df-e900-4362-a42f-de9ae5317265","D11","BLUE","BLUE.AOS.fish.point.05","2017-03-20T18:54Z","2017-03-20T19:55Z","2017-03-24T22:00Z",1,"BLUE.2017.spring",21.4,12.0,473.0,"electrofisher",,,30,10,300,30,10,300,1571,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"b7686578-7389-4312-bd04-76ab81ea113a","D11","BLUE","BLUE.AOS.fish.point.06","2017-03-21T14:52Z","2017-03-21T17:20Z","2017-03-24T22:00Z",1,"BLUE.2017.spring",18.9,8.3,466.0,"electrofisher",,,30,10,300,30,10,300,2260,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"6f8d9f71-3232-4409-bb4f-a01031ee2ece","D11","BLUE","BLUE.AOS.fish.point.07","2017-03-22T14:07Z","2017-03-22T15:45Z","2017-03-24T22:00Z",1,"BLUE.2017.spring",18.2,7.5,452.1,"electrofisher",,,30,10,300,30,10,300,1743,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"f6c714c8-af12-4519-892b-a1b390555a91","D11","BLUE","BLUE.AOS.fish.point.07","2017-03-22T18:32Z","2017-03-22T19:44Z","2017-03-24T22:00Z",2,"BLUE.2017.spring",18.2,7.5,452.1,"electrofisher",,,30,10,300,30,10,300,1410,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"cdffedc4-4707-4f23-ac39-920e3189fc14","D11","BLUE","BLUE.AOS.fish.point.07","2017-03-22T20:55Z","2017-03-22T22:05Z","2017-03-24T22:00Z",3,"BLUE.2017.spring",18.2,7.5,452.1,"electrofisher",,,30,10,300,30,10,300,1360,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"b28bfde7-1ea7-4d80-b3d4-cd42a8db2ddf","D11","BLUE","BLUE.AOS.fish.point.02","2017-03-23T14:42Z","2017-03-23T16:40Z","2017-03-24T22:00Z",1,"BLUE.2017.spring",16.6,8.5,444.2,"electrofisher",,,30,10,300,30,10,300,1706,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"816f913a-071b-4e82-b034-2385ce969494","D11","BLUE","BLUE.AOS.fish.point.02","2017-03-23T18:59Z","2017-03-23T20:30Z","2017-03-24T22:00Z",2,"BLUE.2017.spring",16.6,8.5,444.2,"electrofisher",,,30,10,300,30,10,300,1509,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"977fa30b-be49-4dbf-b86e-87710c4aadac","D11","BLUE","BLUE.AOS.fish.point.02","2017-03-23T21:23Z","2017-03-23T22:40Z","2017-03-24T22:00Z",3,"BLUE.2017.spring",16.6,8.5,444.2,"electrofisher",,,30,10,300,30,10,300,1323,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"b2cc0458-6ce3-496a-8ac1-695c2ef2b2a8","D11","BLUE","BLUE.AOS.fish.point.04","2017-03-24T13:55Z","2017-03-24T15:25Z","2017-03-24T22:00Z",1,"BLUE.2017.spring",17.5,7.7,446.7,"electrofisher",,,30,10,300,30,10,300,1576,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"38b22d6e-3bce-40b1-9418-cb9ccb0fec15","D11","BLUE","BLUE.AOS.fish.point.04","2017-03-24T17:45Z","2017-03-24T20:05Z","2017-03-24T22:00Z",2,"BLUE.2017.spring",17.5,7.7,446.7,"electrofisher",,,30,10,300,30,10,300,1340,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"ace482ca-44f6-424b-a763-07c08892d71c","D11","BLUE","BLUE.AOS.fish.point.04","2017-03-24T20:25Z","2017-03-24T22:00Z","2017-03-24T22:00Z",3,"BLUE.2017.spring",17.5,7.7,446.7,"electrofisher",,,30,10,300,30,10,300,1099,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
