uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,passNumber,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks,dataQF,barrierSubReach
"3818918a-ee56-4b94-a812-448fe11a7902","D04","CUPE","CUPE.AOS.fish.point.03","2017-02-13T15:00Z","2017-02-13T16:40Z","2017-02-17T15:10Z",3,"CUPE.2017.spring",21.7,,315.9,"electrofisher",,,30,10,150,30,10,200,5955,1,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is for all 3 passes combined","legacyData",
"bee8985a-9560-4c83-8128-4969f6f01ecc","D04","CUPE","CUPE.AOS.fish.point.03","2017-02-13T15:00Z","2017-02-13T16:40Z","2017-02-17T15:10Z",2,"CUPE.2017.spring",21.7,,315.9,"electrofisher",,,30,10,150,30,10,200,,1,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is for all 3 passes combined","legacyData",
"fa2efe4d-a605-4a94-9275-7cb7f9e07049","D04","CUPE","CUPE.AOS.fish.point.03","2017-02-13T15:00Z","2017-02-13T16:40Z","2017-02-17T15:10Z",1,"CUPE.2017.spring",21.7,,315.9,"electrofisher",,,30,10,150,30,10,200,2449,1,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is for all 3 passes combined","legacyData",
"3768c43c-0730-416b-93bf-0391b67e7d19","D04","CUPE","CUPE.AOS.fish.point.04","2017-02-14T11:25Z","2017-02-14T16:30Z","2017-02-17T15:10Z",1,"CUPE.2017.spring",21.6,,314.9,"electrofisher",,,30,10,250,30,10,250,3314,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"5b070944-169a-4945-85a5-c77501814e73","D04","CUPE","CUPE.AOS.fish.point.05","2017-02-14T16:50Z","2017-02-14T19:30Z","2017-02-17T15:10Z",1,"CUPE.2017.spring",22.3,,313.8,"electrofisher",,,30,10,250,30,10,250,1827,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"273784aa-eea0-4395-8f10-0bca76929c31","D04","CUPE","CUPE.AOS.fish.point.06","2017-02-15T13:00Z","2017-02-15T16:00Z","2017-02-17T15:10Z",1,"CUPE.2017.spring",20.9,,305.3,"electrofisher",,,30,10,250,30,10,250,1276,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass end time not recorded","legacyData",
"5dbc1031-97f9-4f8e-9a32-dcf29d46c156","D04","CUPE","CUPE.AOS.fish.point.06","2017-02-15T13:00Z","2017-02-15T16:00Z","2017-02-17T15:10Z",3,"CUPE.2017.spring",20.9,,305.3,"electrofisher",,,30,10,250,30,10,250,1777,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass end time not recorded","legacyData",
"5510790a-6307-44cb-bb35-48f96b83c08f","D04","CUPE","CUPE.AOS.fish.point.06","2017-02-15T13:00Z","2017-02-15T16:00Z","2017-02-17T15:10Z",2,"CUPE.2017.spring",20.9,,305.3,"electrofisher",,,30,10,250,30,10,250,1415,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass end time not recorded","legacyData",
"277ce3e0-35f8-4561-ae1d-dec55dfca5e9","D04","CUPE","CUPE.AOS.fish.point.08","2017-02-16T13:20Z","2017-02-16T19:30Z","2017-02-17T15:10Z",3,"CUPE.2017.spring",21.1,,305.9,"electrofisher",,,30,10,250,30,10,250,1150,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is for all 3 passes combined","legacyData",
"a0a00766-7b68-4f6f-9496-37ac58ff0cff","D04","CUPE","CUPE.AOS.fish.point.08","2017-02-16T13:20Z","2017-02-16T19:30Z","2017-02-17T15:10Z",1,"CUPE.2017.spring",21.1,,305.9,"electrofisher",,,30,10,250,30,10,250,1617,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is for all 3 passes combined","legacyData",
"0a3e66c9-0da1-4ea0-bca7-635db260f569","D04","CUPE","CUPE.AOS.fish.point.08","2017-02-16T13:20Z","2017-02-16T19:30Z","2017-02-17T15:10Z",2,"CUPE.2017.spring",21.1,,305.9,"electrofisher",,,30,10,250,30,10,250,1384,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is for all 3 passes combined","legacyData",
"4f9dc6d5-2e2f-4037-9a81-20c9f90036f7","D04","CUPE","CUPE.AOS.fish.point.10","2017-02-17T11:10Z","2017-02-17T15:10Z","2017-02-17T15:10Z",1,"CUPE.2017.spring",21.3,,303.1,"electrofisher",,,30,10,250,30,10,250,1293,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
