uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,identificationReferences,fishTotalLength,fishWeight,samplerType,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,voucherSampleCode,dnaSampleID,dnaSampleCode,identifiedBy,remarks,dataQF,barrierSubReach
"1b44a704-3bc2-4c12-b255-442d273eb701","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,20,"POERET","Poecilia reticulata","species",,,,,22,0.3,"electrofisher",,,,"adult","both voucher and dna samples collected","FSH.CUPE.01.20230214.1.0020","A00000198440","FSH.CUPE.01.20230214.1.0020.DNA","D00000220029","0000-0003-1220-2331","5",,
"c7243e16-6e4f-419d-94f1-9a865e2f995f","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,11,"AGOMON","Agonostomus monticola","species",,,,,81,6.6,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0003-1220-2331",,,
"0ebc9d53-5a04-4305-8d08-d0ecd77b8058","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,7,"AGOMON","Agonostomus monticola","species",,,,,76,5.3,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0003-1220-2331",,,
"8276a30e-3b40-471e-9c2e-1df0a20ced06","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,6,"AGOMON","Agonostomus monticola","species",,,,,89,8.9,"electrofisher",,,,"adult","no sample",,,,,"0000-0003-1220-2331",,,
"af583f8e-bd93-413d-9b13-073074a4ff6b","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,14,"POERET","Poecilia reticulata","species",,,,,20,0.3,"electrofisher",,,,"adult","no sample",,,,,"0000-0003-1220-2331",,,
"5d3e1cba-7e09-42ad-9ac4-0d5785997849","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,19,"POERET","Poecilia reticulata","species",,,,,18,0.3,"electrofisher",,,,"young of year","both voucher and dna samples collected","FSH.CUPE.01.20230214.1.0019","A00000198439","FSH.CUPE.01.20230214.1.0019.DNA","D00000220021","0000-0003-1220-2331","4",,
"788642ca-c720-41df-b90f-bb57138a0619","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,9,"POERET","Poecilia reticulata","species",,,,,22,0.3,"electrofisher",,,,"adult","no sample",,,,,"0000-0003-1220-2331",,,
"0fc15414-6066-4cfb-8615-664becfd8e17","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,24,"AGOMON","Agonostomus monticola","species",,,,,75,5.9,"electrofisher",,,,"juvenile","dna sample only","FSH.CUPE.01.20230214.1.0024",,"FSH.CUPE.01.20230214.1.0024.DNA","D00000220033","0000-0003-1220-2331","9",,
"f43343b5-999c-4fd4-9824-2c9d43545ddb","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,16,"POERET","Poecilia reticulata","species",,,,,23,0.3,"electrofisher",,,,"adult","dna sample only","FSH.CUPE.01.20230214.1.0016","A00000198436","FSH.CUPE.01.20230214.1.0016.DNA","D00000220035","0000-0003-1220-2331","1",,
"5844a696-9933-4599-9c58-ca36eda2216a","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,1,"AGOMON","Agonostomus monticola","species",,,,,99,14.8,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0003-1220-2331",,,
"64cd6378-5dad-4726-a312-ce632e52ab19","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,21,"AGOMON","Agonostomus monticola","species",,,,,204,93.1,"electrofisher",,,,"adult","dna sample only","FSH.CUPE.01.20230214.1.0021",,"FSH.CUPE.01.20230214.1.0021.DNA","D00000220023","0000-0003-1220-2331","6",,
"2aea73c0-c670-4328-91a8-d7bd83e22064","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,10,"AGOMON","Agonostomus monticola","species",,,,,116,18.2,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0003-1220-2331",,,
"a55a1b96-2bbd-4a2d-9be8-abff0005a63b","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,12,"AGOMON","Agonostomus monticola","species",,,,,116,17.6,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0003-1220-2331",,,
"c1d81118-aa15-4943-8227-3b9ba5fc0a28","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,22,"AGOMON","Agonostomus monticola","species",,,,,125,26.3,"electrofisher",,,,"juvenile","dna sample only","FSH.CUPE.01.20230214.1.0022",,"FSH.CUPE.01.20230214.1.0022.DNA","D00000220026","0000-0003-1220-2331","7",,
"6f7f8601-54f5-434e-adf0-3c5b0ae2c997","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,23,"AGOMON","Agonostomus monticola","species",,,,,71,3.9,"electrofisher",,,,"juvenile","dna sample only","FSH.CUPE.01.20230214.1.0023",,"FSH.CUPE.01.20230214.1.0023.DNA","D00000220025","0000-0003-1220-2331","8",,
"101bf339-3ae2-4af2-b332-2e25b251c7b2","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,15,"AGOMON","Agonostomus monticola","species",,,,,81,7.8,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0003-1220-2331",,,
"e6730b64-6a8a-4297-b767-1f4ddc4d4bfa","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,18,"POERET","Poecilia reticulata","species",,,,,18,0.3,"electrofisher",,,,"juvenile","both voucher and dna samples collected","FSH.CUPE.01.20230214.1.0018","A00000198438","FSH.CUPE.01.20230214.1.0018.DNA","D00000220031","0000-0003-1220-2331","3",,
"aadd55c4-8b8e-4b8d-8fc8-d82feebfe290","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,2,"AGOMON","Agonostomus monticola","species",,,"aff. variety",,99,11.3,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0003-1220-2331",,,
"a18212f4-837b-4ac4-bde2-342e7aded606","D04","CUPE","CUPE.AOS.fish.point.01","2023-02-14T12:58Z","2023-02-14T14:07Z","2023-02-16T17:17Z","CUPE.2023.spring",1,17,"POERET","Poecilia reticulata","species",,,,,21,0.3,"electrofisher",,,,"adult","both voucher and dna samples collected","FSH.CUPE.01.20230214.1.0017","A00000198437","FSH.CUPE.01.20230214.1.0017.DNA","D00000220020","0000-0003-1220-2331","2",,
