uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,identificationReferences,fishTotalLength,fishWeight,samplerType,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,voucherSampleCode,dnaSampleID,dnaSampleCode,identifiedBy,remarks,dataQF,barrierSubReach
"f73afd8f-1c12-4e72-878f-b81122e5ae90","D06","KING","KING.AOS.fish.point.01","2020-06-18T13:56Z","2020-06-18T14:24Z","2020-06-18T18:24Z","KING.2020.spring",1,24,"CHRERY","Chrosomus erythrogaster","species",,,,,70,2.9,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"ddb1e33f-6624-4117-bf07-f2aea86e7924","D06","KING","KING.AOS.fish.point.01","2020-06-18T13:56Z","2020-06-18T14:24Z","2020-06-18T18:24Z","KING.2020.spring",1,81,"ETHSPE","Etheostoma spectabile","species",,,,,32,0.3,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"57640ff7-6df4-461d-a737-b043bd9385ae","D06","KING","KING.AOS.fish.point.01","2020-06-18T13:56Z","2020-06-18T14:24Z","2020-06-18T18:24Z","KING.2020.spring",1,92,"CHRERY","Chrosomus erythrogaster","species",,,,,49,1.2,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"b5975f79-05fc-4370-9e01-9e544c1eddca","D06","KING","KING.AOS.fish.point.01","2020-06-18T13:56Z","2020-06-18T14:24Z","2020-06-18T18:24Z","KING.2020.spring",1,115,"CHRERY","Chrosomus erythrogaster","species",,,,,42,0.6,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"dc9d5f90-f431-4c0a-b290-b0066c345a9c","D06","KING","KING.AOS.fish.point.01","2020-06-18T13:56Z","2020-06-18T14:24Z","2020-06-18T18:24Z","KING.2020.spring",1,65,"ETHSPE","Etheostoma spectabile","species",,,,,52,1.7,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9594-9689",,,
"e77fb93e-13d7-4741-9f6f-06adf91a79e2","D06","KING","KING.AOS.fish.point.01","2020-06-18T13:56Z","2020-06-18T14:24Z","2020-06-18T18:24Z","KING.2020.spring",1,6,"CHRERY","Chrosomus erythrogaster","species",,,,,45,0.8,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"c33a6505-935b-4e52-afd1-2cd374c4f0ab","D06","KING","KING.AOS.fish.point.01","2020-06-18T13:56Z","2020-06-18T14:24Z","2020-06-18T18:24Z","KING.2020.spring",1,119,"CAMANO","Campostoma anomalum","species",,,,,34,0.3,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"1fb71699-5622-4b9b-b794-ac291dce1bfb","D06","KING","KING.AOS.fish.point.01","2020-06-18T13:56Z","2020-06-18T14:24Z","2020-06-18T18:24Z","KING.2020.spring",1,68,"ETHSPE","Etheostoma spectabile","species",,,,,52,1.1,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9594-9689",,,
"2f110dd7-0fda-4e2d-8320-e46b8152e5d6","D06","KING","KING.AOS.fish.point.01","2020-06-18T13:56Z","2020-06-18T14:24Z","2020-06-18T18:24Z","KING.2020.spring",1,72,"ETHSPE","Etheostoma spectabile","species",,,,,52,1.3,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9594-9689",,,
"0e26bb2d-6cf4-47c9-a924-d95c2dc7d91a","D06","KING","KING.AOS.fish.point.01","2020-06-18T13:56Z","2020-06-18T14:24Z","2020-06-18T18:24Z","KING.2020.spring",1,4,"CHRERY","Chrosomus erythrogaster","species",,,,,70,3.5,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
