uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,identificationReferences,fishTotalLength,fishWeight,samplerType,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,voucherSampleCode,dnaSampleID,dnaSampleCode,identifiedBy,remarks,dataQF,barrierSubReach
"4ab2ac31-a316-46ee-ac69-2dfe2c3357a0","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,27,"SALSP2","Salmonidae sp.","family",,,,,139,23.4,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700","121002950730",,
"f6233a28-b466-4b9b-9bd8-18e61f58d2e7","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,13,"SALSP2","Salmonidae sp.","family",,,,,81,4.2,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"21f28586-e033-41dd-a478-b0f66b20fca0","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,20,"SALSP2","Salmonidae sp.","family",,,,,103,8.3,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700","112100435230",,
"850aeebc-197b-4867-9960-2ecc75493384","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,16,"SALSP2","Salmonidae sp.","family",,,,,100,8.6,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"a39e82fe-8fcc-45fa-b4e5-bdd488ec9cd1","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,26,"SALSP2","Salmonidae sp.","family",,,,,118,12.9,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"f79ceb0a-8b8b-4d42-b7c2-755d47331ff9","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,2,"SALSP2","Salmonidae sp.","family",,,,,62,2.1,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"9a70ba50-9da1-4ebc-a090-036f5c572fec","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,25,"SALSP2","Salmonidae sp.","family",,,,,141,21.9,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"2be56b21-1a20-4286-bbc4-59c3782eebee","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,19,"SALSP2","Salmonidae sp.","family",,,,,72,3.8,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"a82b784d-9e16-4983-b860-4c1bad880cad","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,21,"SALSP2","Salmonidae sp.","family",,,,,73,3.5,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"c80574f2-5a6c-4be9-b94d-0440a9ac4c6e","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,23,"SALSP2","Salmonidae sp.","family",,,,,152,28.8,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"f9e7a121-6d7b-4291-ab08-4a36f4dfc319","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,8,"SALSP2","Salmonidae sp.","family",,,,,136,19.7,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"3fb1d0bb-1c04-4da7-a874-5f8adb1c25a2","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,7,"SALSP2","Salmonidae sp.","family",,,,,65,2.3,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"f628bc46-f596-41eb-a554-749ffc9f75ac","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,6,"SALSP2","Salmonidae sp.","family",,,,,135,20.9,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"06e99783-bd51-40fb-8c4b-1ebd6a6f97ba","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,3,"SALSP2","Salmonidae sp.","family",,,,,122,14.2,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
"3e067450-4e95-4be1-9414-ff4867691381","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,17,"SALSP2","Salmonidae sp.","family",,,,,147,26.8,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700","121002726437",,
"e1873a41-685a-4bf7-becc-3071c5c1b51d","D16","MART","MART.AOS.fish.point.01","2019-10-14T18:43Z","2019-10-14T19:38Z","2019-10-17T22:20Z","MART.2019.fall",1,10,"SALSP2","Salmonidae sp.","family",,,,,99,8.2,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0002-2568-9700",,,
