uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identificationReferences,identifiedBy,remarks,identificationHistoryID,dataQF,barrierSubReach
"295d267b-054f-4355-9a48-1abd92f0252b","D08","MAYF","MAYF.AOS.fish.point.01","2019-11-18T15:22Z","2019-11-18T18:13Z","2019-11-21T19:40Z",1,"MAYF.2019.fall","CYPSPP3","Cyprinidae spp.",,34,"actual",,,"0000-0002-9743-3915","larval fish-cannot identify. 16 died in bucket from stress-not due to e-fishing",,,
"bcbf4467-a672-4080-bf24-99163b202994","D08","MAYF","MAYF.AOS.fish.point.01","2019-11-18T15:22Z","2019-11-18T18:13Z","2019-11-21T19:40Z",1,"MAYF.2019.fall","NOTBAI","Notropis baileyi",,34,"actual",,,"0000-0002-9743-3915",,,,
"93a1551a-eb87-45d4-a40a-912b9c5c46c5","D08","MAYF","MAYF.AOS.fish.point.02","2019-11-19T14:30Z","2019-11-19T15:54Z","2019-11-21T19:40Z",1,"MAYF.2019.fall","CYPSPP3","Cyprinidae spp.",,34,"actual",,,"0000-0002-9743-3915","Larval/YOY",,,
"31d015d5-9575-4556-a31c-671e90bf816e","D08","MAYF","MAYF.AOS.fish.point.02","2019-11-19T14:30Z","2019-11-19T15:54Z","2019-11-21T19:40Z",1,"MAYF.2019.fall","NOTBAI","Notropis baileyi",,10,"actual",,,"0000-0002-9743-3915",,,,
"e50b9bc2-8ede-41b8-9b5e-ded786db81f8","D08","MAYF","MAYF.AOS.fish.point.02","2019-11-19T16:39Z","2019-11-19T18:03Z","2019-11-21T19:40Z",2,"MAYF.2019.fall","CYPSPP3","Cyprinidae spp.",,22,"actual","cf. variety",,"0000-0002-9743-3915","Larval/YOY fish. Too small to ID species",,,
"922fa551-99ce-489c-8daf-62f89e6dcc7b","D08","MAYF","MAYF.AOS.fish.point.02","2019-11-19T20:10Z","2019-11-19T20:12Z","2019-11-21T19:40Z",3,"MAYF.2019.fall","CYPSPP3","Cyprinidae spp.",,10,"actual",,,"0000-0002-9743-3915","Larval fish too small to ID with certainty",,,
"2989cec2-e7f5-4b1a-a03e-511ac3f149f0","D08","MAYF","MAYF.AOS.fish.point.03","2019-11-20T13:45Z","2019-11-20T15:29Z","2019-11-21T19:40Z",1,"MAYF.2019.fall","CYPSPP3","Cyprinidae spp.",,9,"actual",,,"0000-0002-9743-3915","Leucisidae group. Larval cannot ID",,,
"1a5fed43-4bb8-4226-8f94-754295f1c1f1","D08","MAYF","MAYF.AOS.fish.point.07","2019-11-20T17:03Z","2019-11-20T18:04Z","2019-11-21T19:40Z",1,"MAYF.2019.fall","CYPSPP3","Cyprinidae spp.",,24,"actual",,,"0000-0002-9743-3915","Larval",,,
"ee571b1e-6f02-483f-b98f-e0f8ee251c9d","D08","MAYF","MAYF.AOS.fish.point.07","2019-11-20T18:52Z","2019-11-20T19:44Z","2019-11-21T19:40Z",2,"MAYF.2019.fall","CYPSPP3","Cyprinidae spp.",,5,,,,"0000-0002-9743-3915","Larval",,,
"834aca56-aadd-4aad-8747-81c2961f0468","D08","MAYF","MAYF.AOS.fish.point.07","2019-11-20T20:17Z","2019-11-20T20:59Z","2019-11-21T19:40Z",3,"MAYF.2019.fall","CYPSPP3","Cyprinidae spp.",,7,,,,"0000-0002-9743-3915","Larval/YOY",,,
"831c5b83-da68-4414-b655-1b80120533ab","D08","MAYF","MAYF.AOS.fish.point.08","2019-11-21T13:42Z","2019-11-21T15:24Z","2019-11-21T19:40Z",1,"MAYF.2019.fall","CYPSPP3","Cyprinidae spp.",,9,,,,"0000-0002-9743-3915","Larval- too small",,,
"e212944a-9b11-49a1-b84a-fef5eb9371e6","D08","MAYF","MAYF.AOS.fish.point.09","2019-11-21T16:15Z","2019-11-21T17:08Z","2019-11-21T19:40Z",1,"MAYF.2019.fall","CYPSPP3","Cyprinidae spp.",,2,"actual",,,"0000-0002-9743-3915","Larval",,,
