uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,identificationReferences,fishTotalLength,fishWeight,samplerType,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,voucherSampleCode,dnaSampleID,dnaSampleCode,identifiedBy,remarks,dataQF,barrierSubReach
"e06e4435-f0de-4869-b04f-771927350af7","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,38,"ETHSPE","Etheostoma spectabile","species",,,,,22,0.3,"electrofisher",,,,"larval","no sample",,,,,"0000-0001-9594-9689",,,
"2741a736-9e23-470f-86b3-8d5f99e0c057","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,29,"ETHSPE","Etheostoma spectabile","species",,,,,52,1.7,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9594-9689",,,
"d28d4ffb-dd2c-4e86-8742-53acbe425772","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,63,"CHRERY","Chrosomus erythrogaster","species",,,,,41,0.7,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"5f6b6345-910d-4a45-b640-d2e8e47468e9","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,44,"ETHSPE","Etheostoma spectabile","species",,,,,49,1.4,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9594-9689",,,
"fa86ffc0-9151-442d-be6d-7e21db575bf7","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,58,"CHRERY","Chrosomus erythrogaster","species",,,,,37,0.5,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"f792d727-eb2e-48de-bbc0-3fc24160e746","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,34,"ETHSPE","Etheostoma spectabile","species",,,,,47,1.0,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9594-9689",,,
"5d98efc8-4687-45bf-8bcc-498e2188511a","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,19,"CAMANO","Campostoma anomalum","species",,,,,51,1.3,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"edd302a1-d4d2-42c1-b013-6729b620c184","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,25,"CAMANO","Campostoma anomalum","species",,,,,45,0.5,"electrofisher",,,,"young of year","no sample",,,,,"0000-0001-9594-9689",,,
"8b181d1d-b1d2-413e-8cd4-c0f173d9f5d0","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,28,"ETHSPE","Etheostoma spectabile","species",,,,,47,1.3,"electrofisher",,,,"adult","no sample",,,,,"0000-0001-9594-9689",,,
"2a7a2935-fe7e-49cb-b249-1748a9d4702a","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,6,"CHRERY","Chrosomus erythrogaster","species",,,,,37,0.3,"electrofisher",,,,"young of year","no sample",,,,,"0000-0001-9594-9689",,,
"eb7c794b-0f49-4022-a815-1c515be6d8bf","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,74,"ETHSPE","Etheostoma spectabile","species",,,,,54,2.6,"electrofisher",,,,"adult","dna sample only","FSH.MCDI.02.20190417.1.0074",,"FSH.MCDI.02.20190417.1.0074.DNA","D00000056522","0000-0001-9594-9689",,,
"8c61d767-1198-49e4-be7f-18d4b92d77d7","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,12,"CAMANO","Campostoma anomalum","species",,,,,60,3.0,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"284be456-ddd7-4f51-8cf6-7393218bbcf2","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,20,"CAMANO","Campostoma anomalum","species",,,,,98,9.9,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"f4b8649e-0339-4434-a4d7-50e11cdedfc5","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,13,"CAMANO","Campostoma anomalum","species",,,,,54,1.4,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"cb11ed14-ce36-4eae-838c-b8825aa6ff5c","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,16,"CAMANO","Campostoma anomalum","species",,,,,62,2.5,"electrofisher",,,,"juvenile","no sample",,,,,"0000-0001-9594-9689",,,
"f64fc756-b9f6-4c1f-8007-75b1d474c475","D06","MCDI","MCDI.AOS.fish.point.02","2019-04-17T13:43Z","2019-04-17T14:19Z","2019-04-19T15:34Z","MCDI.2019.spring",1,73,"CHRERY","Chrosomus erythrogaster","species",,,,,58,5.1,"electrofisher",,,,"juvenile","dna sample only","FSH.MCDI.02.20190417.1.0073",,"FSH.MCDI.02.20190417.1.0073.DNA","D00000056534","0000-0001-9594-9689",,,
