uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,identificationReferences,fishTotalLength,fishWeight,samplerType,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,voucherSampleCode,dnaSampleID,dnaSampleCode,identifiedBy,remarks,dataQF,barrierSubReach
"ce075137-366c-4c20-bb71-b8ff81830c1e","D18","OKSR","OKSR.AOS.fish.point.01","2023-08-15T19:43Z","2023-08-15T19:49Z","2023-08-16T21:43Z","OKSR.2023.fall",1,1,"THYARC","Thymallus arcticus","species",,,,,50,0.7,"electrofisher",,,,"juvenile","dna sample only","FSH.OKSR.01.20230815.1.0001",,"FSH.OKSR.01.20230815.1.0001.DNA","D00000167506","0000-0003-1651-3911",,,
"270d92a6-b647-4dd2-aef0-81fa8d5a04e2","D18","OKSR","OKSR.AOS.fish.point.07","2023-08-15T22:00Z","2023-08-15T22:12Z","2023-08-16T21:43Z","OKSR.2023.fall",1,2,"THYARC","Thymallus arcticus","species",,,,,58,1.6,"electrofisher",,,,"young of year","no sample",,,,,"0000-0003-1651-3911",,,
"5fba1774-b6d0-48ed-ba7b-1527c6e2ca43","D18","OKSR","OKSR.AOS.fish.point.07","2023-08-15T22:00Z","2023-08-15T22:12Z","2023-08-16T21:43Z","OKSR.2023.fall",1,1,"THYARC","Thymallus arcticus","species",,,,,60,1.6,"electrofisher",,,,"young of year","dna sample only","FSH.OKSR.07.20230815.1.0001",,"FSH.OKSR.07.20230815.1.0001.DNA","D00000167544","0000-0003-1651-3911",,,
"5649b410-bfc3-4bc0-9df6-e90d28c272ed","D18","OKSR","OKSR.AOS.fish.point.08","2023-08-15T22:50Z","2023-08-15T23:02Z","2023-08-16T21:43Z","OKSR.2023.fall",1,1,"THYARC","Thymallus arcticus","species",,,,,49,3.7,"electrofisher",,,,"young of year","no sample",,,,,"0000-0003-1651-3911",,,
"7f8a2fa4-029f-4cfa-9d80-07571c7d801e","D18","OKSR","OKSR.AOS.fish.point.03","2023-08-16T19:07Z","2023-08-16T19:23Z","2023-08-16T21:43Z","OKSR.2023.fall",1,9,"THYARC","Thymallus arcticus","species",,,,,55,4.8,"electrofisher",,,,"young of year","no sample",,,,,"0000-0003-1651-3911",,,
"d91d818d-0e0d-4e94-98b0-44579290e601","D18","OKSR","OKSR.AOS.fish.point.03","2023-08-16T19:07Z","2023-08-16T19:23Z","2023-08-16T21:43Z","OKSR.2023.fall",1,8,"THYARC","Thymallus arcticus","species",,,,,57,3.6,"electrofisher",,,,"young of year","no sample",,,,,"0000-0003-1651-3911",,,
"36f1d116-7e15-445e-adfc-1548a3f076a4","D18","OKSR","OKSR.AOS.fish.point.03","2023-08-16T19:07Z","2023-08-16T19:23Z","2023-08-16T21:43Z","OKSR.2023.fall",1,7,"THYARC","Thymallus arcticus","species",,,,,59,2.8,"electrofisher",,,,"young of year","no sample",,,,,"0000-0003-1651-3911",,,
"2896a9d1-1ca3-4a45-82ae-218bfc49963b","D18","OKSR","OKSR.AOS.fish.point.03","2023-08-16T19:07Z","2023-08-16T19:23Z","2023-08-16T21:43Z","OKSR.2023.fall",1,5,"THYARC","Thymallus arcticus","species",,,,,70,8.0,"electrofisher",,,,"young of year","no sample",,,,,"0000-0003-1651-3911",,,
"c800a66e-1d5a-4f60-b1f5-6fbd0295f65e","D18","OKSR","OKSR.AOS.fish.point.03","2023-08-16T19:07Z","2023-08-16T19:23Z","2023-08-16T21:43Z","OKSR.2023.fall",1,2,"THYARC","Thymallus arcticus","species",,,,,65,10.0,"electrofisher",,,,"young of year","dna sample only","FSH.OKSR.03.20230816.1.0002",,"FSH.OKSR.03.20230816.1.0002.DNA","D00000167537","0000-0003-1651-3911",,,
"057a72ae-0098-435b-bd4b-19146880dbfd","D18","OKSR","OKSR.AOS.fish.point.03","2023-08-16T19:07Z","2023-08-16T19:23Z","2023-08-16T21:43Z","OKSR.2023.fall",1,1,"THYARC","Thymallus arcticus","species",,,,,65,13.0,"electrofisher",,,,"young of year","dna sample only","FSH.OKSR.03.20230816.1.0001",,"FSH.OKSR.03.20230816.1.0001.DNA","D00000167538","0000-0003-1651-3911",,,
