uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,passNumber,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks,dataQF,barrierSubReach
"b244bad5-f571-48d7-9ff5-ca8ba9396351","D11","PRIN","PRIN.AOS.fish.point.05","2017-02-27T20:01Z","2017-02-27T20:50Z","2017-03-03T16:18Z",1,"PRIN.2017.spring",13.6,10.1,591.0,"electrofisher",,,30,10,100,30,10,150,852,1,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"7045eab7-d4aa-45a6-8c44-623917d18458","D11","PRIN","PRIN.AOS.fish.point.03","2017-02-28T15:52Z","2017-02-28T16:34Z","2017-03-03T16:18Z",1,"PRIN.2017.spring",15.5,8.2,644.0,"electrofisher",,,30,10,150,30,10,200,714,1,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"0473ce88-17ca-43e1-b3c7-70aa34113c4c","D11","PRIN","PRIN.AOS.fish.point.03","2017-02-28T18:20Z","2017-02-28T18:55Z","2017-03-03T16:18Z",2,"PRIN.2017.spring",15.5,8.2,644.0,"electrofisher",,,30,10,200,30,10,200,574,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"fe20aa55-57fb-4dbe-a5b2-7c570b388fc9","D11","PRIN","PRIN.AOS.fish.point.03","2017-02-28T20:35Z","2017-02-28T20:59Z","2017-03-03T16:18Z",3,"PRIN.2017.spring",15.5,8.2,644.0,"electrofisher",,,30,10,200,30,10,200,449,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"f5bf2a97-9091-4ccf-8b47-7df9394ab09e","D11","PRIN","PRIN.AOS.fish.point.07","2017-03-01T15:30Z","2017-03-01T16:06Z","2017-03-03T16:18Z",1,"PRIN.2017.spring",12.8,8.6,553.0,"electrofisher",,,30,10,200,30,10,200,660,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"5d5c3ee7-a6c0-421e-9db0-f12893e07e55","D11","PRIN","PRIN.AOS.fish.point.07","2017-03-01T17:48Z","2017-03-01T18:18Z","2017-03-03T16:18Z",2,"PRIN.2017.spring",12.8,8.6,553.0,"electrofisher",,,30,10,200,30,10,200,597,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"a850a93b-7fe8-4c3a-87e8-b4e9dac4dfa6","D11","PRIN","PRIN.AOS.fish.point.07","2017-03-01T19:50Z","2017-03-01T20:14Z","2017-03-03T16:18Z",3,"PRIN.2017.spring",12.8,8.6,553.0,"electrofisher",,,30,10,200,30,10,200,597,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"8c8abda1-dbb5-447f-b0e2-5e69bbfc5efc","D11","PRIN","PRIN.AOS.fish.point.10","2017-03-02T15:41Z","2017-03-02T16:19Z","2017-03-03T16:18Z",1,"PRIN.2017.spring",8.5,11.5,531.0,"electrofisher",,,30,10,200,30,10,200,600,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"618d189e-2920-4c5d-b675-a3271563994a","D11","PRIN","PRIN.AOS.fish.point.10","2017-03-02T17:48Z","2017-03-02T18:18Z","2017-03-03T16:18Z",2,"PRIN.2017.spring",8.5,11.5,531.0,"electrofisher",,,30,10,200,30,10,200,547,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
"55ae2613-c1e5-490a-a18c-10e45bde95b3","D11","PRIN","PRIN.AOS.fish.point.10","2017-03-02T19:45Z","2017-03-02T20:06Z","2017-03-03T16:18Z",3,"PRIN.2017.spring",8.5,11.5,531.0,"electrofisher",,,30,10,200,30,10,200,574,0,,,,,,,,,"Not compromised",,,,,,"Y",,"LegacyData",
"a24343f1-eef9-4bd8-91bc-631f9b9c21ec","D11","PRIN","PRIN.AOS.fish.point.09","2017-03-03T15:26Z","2017-03-03T16:18Z","2017-03-03T16:18Z",1,"PRIN.2017.spring",8.2,10.8,543.0,"electrofisher",,,30,10,200,30,10,200,794,0,,,,,,,,,"Not compromised",,,,,,"Y",,"legacyData",
