uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"9c15381a-b869-4d20-9135-367269a48425","D04","CUPE","CUPE.AOS.reach","2024-06-26T11:17Z","2024-12-05","CUPE.20240626.SURBER.7","A00000200865",,"ONCSP2","Y","Onconeura sp.",,"genus","Arthropoda","Hexapoda","Insecta",,,,"Diptera","Nematocera",,,"Chironomidae","Orthocladiinae",,,"Onconeura","sp.",,"larva",1,,1,100,1,"N","N",,"condition OK","Y",,"Thorp and Rogers 2018; Andersen et al.2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"e6425b59-b156-416e-b8e4-66ee398a61e8","D04","CUPE","CUPE.AOS.reach","2024-06-26T11:17Z","2024-12-09","CUPE.20240626.SURBER.6","A00000200878",,"NEOSP27","Y","Neoelmis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Neoelmis","sp.",,"larva",1,,7,100,7,"N","N",,"condition OK","N",,"Thorp and Rogers 2018","N","Rhithron Associates, Inc.","B. Moore",,,
"d99e95c8-6fd8-4044-b34c-08a0296dc81b","D04","CUPE","CUPE.AOS.reach","2024-06-26T11:17Z","2024-12-05","CUPE.20240626.SURBER.7","A00000200865",,"CORSP19","Y","Corynoneura sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Corynoneura","sp.",,"larva",1,,22,100,22,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"418712be-1109-45d8-9faf-7f8471f0e972","D04","CUPE","CUPE.AOS.reach","2024-06-26T11:17Z","2024-12-09","CUPE.20240626.SURBER.7","A00000200865",,"NEOSP44","Y","Neohagenulus sp.",,"genus","Arthropoda","Hexapoda","Insecta",,,,"Ephemeroptera",,,"Leptophlebioidea","Leptophlebiidae",,,,"Neohagenulus","sp.",,"larva",2,,15,100,15,"N","N",,"condition OK","Y",,"Peters, 1971","N","Rhithron Associates, Inc.","B. Moore",,,
"43975336-2461-4053-a6b9-a5c752857508","D04","CUPE","CUPE.AOS.reach","2024-06-26T11:17Z","2024-12-05","CUPE.20240626.SURBER.6","A00000200878",,"PENSP7","Y","Pentaneura sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Pentaneura","sp.",,"larva",4,,1,100,1,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"2111caef-26cc-4570-9799-e33c40879953","D04","CUPE","CUPE.AOS.reach","2024-06-26T11:17Z","2024-12-09","CUPE.20240626.SURBER.8","A00000200879",,"HEXSP4","Y","Hexacylloepus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Hexacylloepus","sp.",,"larva",3,,1,100,1,"N","N",,"condition OK","Y",,"Brown, 1972; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"cd7f7ff0-1ec5-4d82-bd5a-4336266e474c","D04","CUPE","CUPE.AOS.reach","2024-06-26T11:17Z","2024-12-05","CUPE.20240626.SURBER.4","A00000200882",,"CRISP6","Y","Cricotopus/Orthocladius sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus/Orthocladius","sp.",,"larva",1,,1,100,1,"Y","N","early instar","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"3d5e4fb8-2c96-40d6-96e0-9fc1276ca3ee","D04","CUPE","CUPE.AOS.reach","2024-06-26T11:17Z","2024-12-10","CUPE.20240626.SURBER.3","A00000200864",,"ATOSP","Y","Atopsyche sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Rhyacophiloidea","Hydrobiosidae","Hydrobiosinae","Hydrobiosini",,"Atopsyche","sp.",,"larva",5,,2,100,2,"N","N",,"condition OK","Y",,"Flint, 1964","N","Rhithron Associates, Inc.","B. Moore",,,
"82b4cfd0-6fb5-4070-b1a9-99a7f478ded7","D04","CUPE","CUPE.AOS.reach","2024-06-26T11:17Z","2024-12-10","CUPE.20240626.SURBER.3","A00000200864",,"NEOSP27","Y","Neoelmis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Neoelmis","sp.",,"adult",2,,13,100,13,"N","N",,"condition OK","Y",,"Thorp and Rogers 2018","N","Rhithron Associates, Inc.","B. Moore",,,
"1c0b236a-0769-4945-b497-43dd1a0ac429","D04","CUPE","CUPE.AOS.reach","2024-06-26T11:17Z","2024-12-09","CUPE.20240626.SURBER.7","A00000200865",,"NEOSP44","Y","Neohagenulus sp.",,"genus","Arthropoda","Hexapoda","Insecta",,,,"Ephemeroptera",,,"Leptophlebioidea","Leptophlebiidae",,,,"Neohagenulus","sp.",,"larva",3,,2,100,2,"N","N",,"condition OK","Y",,"Peters, 1971","N","Rhithron Associates, Inc.","B. Moore",,,
