uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"b50c949d-92a9-43f9-86cb-4e12cf01484e","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-02-12","LECO.SS.20160712.SURBER.4",,,"EUKBRE","Y","Eukiefferiella brehmi gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Eukiefferiella","brehmi gr.",,"larva",1,,3,100,3,"N","N",,"condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,,"legacyData"
"6e2bc75c-d1f4-48d1-b941-3aac42b481d0","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-02-13","LECO.SS.20160712.SURBER.5",,,"HELSP10","Y","Heleniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Heleniella","sp.",,"larva",2,,1,77,1,"N","N",,"condition OK","Y",,"Epler 2001","Y","EcoAnalysts Inc.","G. Wallace",,,"legacyData"
"678ad2c3-b198-4da0-9129-ff3774115c8f","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-01-26","LECO.SS.20160712.SURBER.3",,,"OULSP","Y","Oulimnius sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Oulimnius","sp.",,"adult",2,,2,27,7,"N","N",,"condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky",,,"legacyData"
"aa92048f-f898-4d43-9413-99d2f1a82821","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-01-27","LECO.SS.20160712.SURBER.3",,,"GLOSP3","Y","Glossosoma sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Glossosomatoidea","Glossosomatidae","Glossosomatinae","Glossosomatini",,"Glossosoma","sp.",,"larva",1,,2,27,7,"N","N",,"condition OK","Y",,"Wiggins 1996","N","EcoAnalysts Inc.","A. Navesky",,,"legacyData"
"3d19e36c-baec-4cb6-937b-ef671c939903","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-02-12","LECO.SS.20160712.SURBER.4",,,"TANSP11","Y","Tanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Tanytarsus","sp.",,"larva",3,,3,100,3,"N","N",,"condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,,"legacyData"
"e10b8f45-0fd9-4cab-b237-69cb11f5e8b6","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-02-12","LECO.SS.20160712.SURBER.3",,"LECO.SS.20160712.SURBER.3.SUBLETTEA SP.","SUBSP","Y","Sublettea sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Sublettea","sp.",,"larva",1,,3,27,11,"Y","N",,"condition OK","N",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace","2of this taxon from this sample in Ref. Coll.",,"legacyData"
"055b078a-4fe6-4aff-a50e-72524b20d79d","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-01-31","LECO.SS.20160712.SURBER.5",,,"ATRSP3","Y","Atractides sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Hygrobatoidea","Hygrobatidae",,,,"Atractides","sp.",,"adult",1,,2,77,3,"N","N",,"condition OK","Y",,"Thorp and Covich 2001","Y","EcoAnalysts Inc.","A. Navesky",,,"legacyData"
"843cfa23-cee0-417b-902e-af08f7ba77eb","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-02-12","LECO.SS.20160712.SURBER.3",,"LECO.SS.20160712.SURBER.3.EUKIEFFERIELLA SP.","EUKSP","Y","Eukiefferiella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Eukiefferiella","sp.",,"larva",1,,2,27,7,"N","N",,"condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace","2of this taxon from this sample in Ref. Coll.; Immature; Not Distinct",,"legacyData"
"15ad48a3-e85f-45cd-88aa-9600ad70cf1c","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-01-26","LECO.SS.20160712.SURBER.1",,,"LEUSP8","Y","Leuctra sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Leuctridae","Leuctrinae",,,"Leuctra","sp.",,"larva",6,,1,100,1,"N","Y",,"condition OK","N",,"Stewart and Stark 2002","N","EcoAnalysts Inc.","A. Navesky",,,"legacyData"
"cde0d8ac-455b-46cf-b0b7-1e4efb74e256","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-01-31","LECO.SS.20160712.SURBER.4",,,"DIPHAG","Y","Diphetor hageni",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Baetidae",,,,"Diphetor","hageni",,"larva",1,,4,100,4,"N","N",,"condition OK","Y",,"Morihara and McCafferty 1979","N","EcoAnalysts Inc.","A. Navesky",,,"legacyData"
"16e40628-0995-4b11-a549-1e2e0ccfbe44","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-02-12","LECO.SS.20160712.SURBER.3",,,"THISP2","Y","Thienemanniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Thienemanniella","sp.",,"larva",1,,5,27,18,"N","N",,"damaged, affecting analysis","N",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,,"legacyData"
"35ec9891-4c67-4294-8195-16a4cc3da622","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-02-12","LECO.SS.20160712.SURBER.3",,"LECO.SS.20160712.SURBER.3.SUBLETTEA SP.","SUBSP","Y","Sublettea sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Sublettea","sp.",,"larva",3,,1,27,4,"Y","N",,"condition OK","N",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace","2of this taxon from this sample in Ref. Coll.",,"legacyData"
"5d4934d4-a48c-435e-a1aa-84e9c193e143","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-01-26","LECO.SS.20160712.SURBER.2",,,"COLSP1","Y","Collembola sp.",,"order","Arthropoda","Hexapoda","Collembola",,,,"Collembola",,,,,,,,,"sp.",,"larva",1,,7,100,7,"N","N",,"condition OK","Y",,"Triplehorn and Johnson 2005","N","EcoAnalysts Inc.","A. Navesky","isotomidae?",,"legacyData"
"4ebcff5a-6696-424d-a471-01024604cd3b","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-01-26","LECO.SS.20160712.SURBER.2",,,"DRUSP","Y","Drunella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae",,,,"Drunella","sp.",,"larva",5,,1,100,1,"N","N",,"condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky","3of this taxon from this sample in Ref. Coll.; Immature",,"legacyData"
"de83f20e-1277-4359-b8e6-85098a20b29a","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-02-13","LECO.SS.20160712.CORE.1",,,"LOPSP","Y","Lopescladius sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Lopescladius","sp.",,"larva",2,,1,100,1,"Y","N",,"damaged, affecting analysis","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,,"legacyData"
"27f9b626-e804-4137-93ee-97b07521df95","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-02-10","LECO.SS.20160712.SURBER.1",,,"EUKBRE","Y","Eukiefferiella brehmi gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Eukiefferiella","brehmi gr.",,"larva",1,,3,100,3,"N","N",,"condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,,"legacyData"
"1494e0e7-de3c-474c-8be0-0b5d8890d224","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-02-01","LECO.SS.20160712.CORE.1",,,"LIRSP","Y","Lirceus sp.",,"genus","Arthropoda","Crustacea","Malacostraca","Eumalacostraca",,"Peracarida","Isopoda","Asellota",,"Aselloidea","Asellidae",,,,"Lirceus","sp.",,"larva",2,,1,100,1,"Y","N",,"damaged, affecting analysis","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky",,,"legacyData"
"5df84826-9140-4ad9-bc33-48f8f1ef913e","D07","LECO","LECO.AOS.reach","2016-07-12T14:00Z","2017-01-31","LECO.SS.20160712.SURBER.4",,,"PLESP","Y","Plecoptera sp.",,"order","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera",,,,,,,,,"sp.",,"larva",1,,1,100,1,"N","N",,"other (specified in remarks)","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky","Immature; perlidae/perlodidae",,"legacyData"
