uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"5d7c804b-11a1-40cf-920d-8a01bf0a51d6","D02","LEWI","LEWI.AOS.reach","2018-10-22T13:50Z","2019-06-20","LEWI.20181022.SURBER.3","A00000034690",,"STESP6","Y","Stenelmis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Stenelmis","sp.",,"larva",5,"5b",1,100,1,"N","N",,"condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky","2 in Reference Collection",,
"e4acaf62-e8bb-44d4-80e3-6407906190d8","D02","LEWI","LEWI.AOS.reach","2018-10-22T13:50Z","2019-06-20","LEWI.20181022.SURBER.1","A00000034691",,"CHESP5","Y","Cheumatopsyche sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Hydropsychoidea","Hydropsychidae","Hydropsychinae",,,"Cheumatopsyche","sp.",,"larva",2,,10,31,32,"N","N",,"condition OK","Y",,"Wiggins 1996","N","EcoAnalysts Inc.","A. Navesky",,,
"404436cd-08c6-44c6-89ac-0c7ac0b2a93f","D02","LEWI","LEWI.AOS.reach","2018-10-22T13:50Z","2019-06-20","LEWI.20181022.SURBER.1","A00000034691",,"HEPSP","Y","Heptageniidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,,"sp.",,"larva",1,,1,31,3,"Y","N",,"condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,,
"6e661860-607e-4235-8ece-f9e078115bd9","D02","LEWI","LEWI.AOS.reach","2018-10-22T13:50Z","2019-06-20","LEWI.20181022.SURBER.2","A00000034689",,"PARSP26","Y","Parametriocnemus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parametriocnemus","sp.",,"larva",2,,3,27,11,"N","N",,"condition OK","Y",,"Epler 2001","Y","EcoAnalysts Inc.","U. Rai",,,
"02063ada-17fe-4a69-b259-535472e0ed28","D02","LEWI","LEWI.AOS.reach","2018-10-22T13:50Z","2019-06-20","LEWI.20181022.SURBER.3","A00000034690",,"CHESP5","Y","Cheumatopsyche sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Hydropsychoidea","Hydropsychidae","Hydropsychinae",,,"Cheumatopsyche","sp.",,"larva",3,,8,100,8,"N","N",,"condition OK","Y",,"Wiggins 1996","N","EcoAnalysts Inc.","A. Navesky","2 in Reference Collection",,
"09fbaae8-5741-49a1-96b2-c3b948720446","D02","LEWI","LEWI.AOS.reach","2018-10-22T13:50Z","2019-06-20","LEWI.20181022.SURBER.2","A00000034689",,"TURSP","Y","Turbellaria sp.",,"class","Platyhelminthes",,"Turbellaria",,,,,,,,,,,,,"sp.",,"none",2,,1,27,4,"N","N",,"condition OK","Y",,"Thorp and Covich 2001","Y","EcoAnalysts Inc.","A. Navesky",,,
"425a45e1-14d5-4862-8f42-387c7cb9b67e","D02","LEWI","LEWI.AOS.reach","2018-10-22T13:50Z","2019-06-20","LEWI.20181022.SURBER.2","A00000034689",,"CHESP5","Y","Cheumatopsyche sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Hydropsychoidea","Hydropsychidae","Hydropsychinae",,,"Cheumatopsyche","sp.",,"larva",3,,6,27,22,"N","N",,"condition OK","Y",,"Wiggins 1996","Y","EcoAnalysts Inc.","A. Navesky",,,
"e93e1d39-7be0-4ef2-8c57-2a5ae9de5751","D02","LEWI","LEWI.AOS.reach","2018-10-22T13:50Z","2019-06-20","LEWI.20181022.SURBER.2","A00000034689",,"HYDSP23","Y","Hydropsyche sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Hydropsychoidea","Hydropsychidae","Hydropsychinae",,,"Hydropsyche","sp.",,"larva",2,,1,27,4,"Y","N",,"condition OK","N",,"Wiggins 1996","Y","EcoAnalysts Inc.","A. Navesky","2 in Reference Collection; RC specimen",,
"01f40c09-0429-439d-a768-5e7233bf7295","D02","LEWI","LEWI.AOS.reach","2018-10-22T13:50Z","2019-06-20","LEWI.20181022.SURBER.3","A00000034690",,"ATUSP1","Y","Aturus sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Hygrobatoidea","Aturidae",,,,"Aturus","sp.",,"adult",1,"1a",6,100,6,"N","N",,"condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky","3 in Reference Collection",,
"45f60515-228e-4619-81df-ecdeea66cab6","D02","LEWI","LEWI.AOS.reach","2018-10-22T13:50Z","2019-06-20","LEWI.20181022.SURBER.3","A00000034690",,"NEMSP","Y","Nematoda sp.",,"phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"none",3,,1,100,1,"N","N",,"condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky","2 in Reference Collection",,
