uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"9d7b5189-4f79-4ae3-bda4-d37d9d3241c9","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.HESS.1","A00000105654",,"ANASP11","Y","Anafroptilum sp.",,"genus","Arthropoda",,"Insecta",,,,"Ephemeroptera",,,"Baetoidea","Baetidae",,,,"Anafroptilum","sp.",,"larva",3,,1,100,1,"N","N",,"condition OK","Y",,"Jacobus and Wiersema, 2014","N","Rhithron Associates, Inc.","J. Webb","Reference Collection(1)",,
"a96e6036-99be-43a2-96dc-9ef306386b6c","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-03","MART.20190717.SURBER.1","A00000106071",,"CRISP6","Y","Cricotopus/Orthocladius sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus/Orthocladius","sp.",,"larva",4,,2,23,9,"Y","N","early instar","condition OK","N",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,,
"c071701a-ebaf-4ad8-bce2-d3197322a6b7","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-06","MART.20190717.SURBER.5","A00000106057",,"DRUDOD","Y","Drunella doddsii",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae",,,,"Drunella","doddsii",,"larva",2,,26,100,26,"N","N",,"condition OK","Y",,"Allen and Edmunds 1962","N","Rhithron Associates, Inc.","B. Moore",,,
"c694017f-ffa6-4e52-a764-46d1dfdf78e7","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.HESS.3","A00000106070",,"HEPSP","Y","Heptageniidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,,"sp.",,"larva",1,,2,100,2,"Y","N","early instar","condition OK","N",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","R. Spring",,,
"c17770b0-2ead-495a-a308-d953ae578620","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-06","MART.20190717.SURBER.5","A00000106057",,"RHYANG","Y","Rhyacophila angelita gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Rhyacophiloidea","Rhyacophilidae",,,,"Rhyacophila","angelita gr.",,"larva",6,,1,100,1,"N","N",,"condition OK","Y",,"Prather and Morris 2001; Giersch et al. 2012; Morse et al. 2017","N","Rhithron Associates, Inc.","B. Moore",,,
"b074c7d4-c20e-4db0-9e6a-9a2c36b5a626","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-06","MART.20190717.SURBER.4","A00000106056",,"RHISP4","Y","Rhithrogena sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Rhithrogena","sp.",,"larva",1,,29,20,145,"N","N",,"condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"b62daefe-8330-49f5-9b15-2789e3562509","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-06","MART.20190717.SURBER.5","A00000106057",,"POLSP17","Y","Polycelis sp.",,"genus","Platyhelminthes","Rhabditophora","Trepaxonemata",,,,"Neoophora",,,,"Planariidae",,,,"Polycelis","sp.",,"unknown",4,,2,100,2,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","B. Moore",,,
"65a8d640-357b-44b3-81f2-3dfe102848fb","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-03","MART.20190717.HESS.3","A00000106070",,"POLSP13","Y","Polypedilum sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","sp.",,"larva",1,,2,100,2,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,,
"6ee4b2b4-c4cf-4a87-bce5-7313344f16dc","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-06","MART.20190717.SURBER.4","A00000106056",,"CALCAL","Y","Calineuria californica",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Perlidae","Acroneuriinae","Acroneuriini",,"Calineuria","californica",,"larva",8,,1,20,5,"N","N",,"condition OK","Y",,"Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"8c1d218d-ebc3-4c29-b207-99eb4c42c59a","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-03","MART.20190717.SURBER.1","A00000106071",,"PAGSP4","Y","Pagastia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Diamesinae","Diamesini",,"Pagastia","sp.",,"larva",3,,1,23,4,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,,
"20dc3d95-4276-45c4-8e29-dc77e8be8c2d","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.SURBER.2","A00000106073",,"NEOSPL","Y","Neophylax splendens",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Limnephiloidea","Uenoidae","Thremmatinae",,,"Neophylax","splendens",,"larva",5,,1,100,1,"N","N",,"condition OK","Y",,"Vineyard 1990; Wiggins 1996; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"26d86ef6-b7ff-42b2-9984-48feb035fa6b","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.HESS.3","A00000106070",,"DRUDOD","Y","Drunella doddsii",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae",,,,"Drunella","doddsii",,"larva",2,,2,100,2,"N","N",,"condition OK","Y",,"Allen and Edmunds 1962","N","Rhithron Associates, Inc.","R. Spring",,,
"f323a282-a503-47aa-b0c1-30a1623c2f29","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-04","MART.20190717.SURBER.3","A00000106054",,"CRISP6","Y","Cricotopus/Orthocladius sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus/Orthocladius","sp.",,"larva",3,,1,27,4,"Y","N","early instar","condition OK","N",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,,
"44dd25f0-28c4-4691-997f-7430983bd135","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.HESS.2","A00000106053",,"CHLSP","Y","Chloroperlidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Chloroperlidae",,,,,"sp.",,"larva",2,,1,40,3,"Y","N","early instar","condition OK","N",,"Stewart and Stark 2002; Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,,
"2d226149-c45b-4438-a464-3109b146975f","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-03","MART.20190717.SURBER.1","A00000106071",,"BRISP","Y","Brillia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Brillia","sp.",,"larva",2,,1,23,4,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,,
"1bcc06b6-4083-495a-bc7d-2d5c4cdf033b","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.SURBER.2","A00000106073",,"POLSP17","Y","Polycelis sp.",,"genus","Platyhelminthes","Rhabditophora","Trepaxonemata",,,,"Neoophora",,,,"Planariidae",,,,"Polycelis","sp.",,"unknown",3,,1,100,1,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","B. Moore",,,
"fcf9aba1-2e0a-48f6-9a2e-4621bfa26481","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.HESS.2","A00000106053",,"SWESP","Y","Sweltsa sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Chloroperlidae","Chloroperlinae",,,"Sweltsa","sp.",,"larva",3,,3,40,8,"N","N",,"condition OK","Y",,"Stewart and Stark 2002; Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,,
"48c0ed72-28ab-44fe-a36e-bdda2677720b","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.HESS.2","A00000106053",,"DRUDOD","Y","Drunella doddsii",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae",,,,"Drunella","doddsii",,"larva",2,,16,40,40,"N","N",,"condition OK","Y",,"Allen and Edmunds 1962","Y","Rhithron Associates, Inc.","J. Webb",,,
"22c1f675-95cb-48ba-bce1-4e73135b6f69","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.SURBER.3","A00000106054",,"APASP2","Y","Apatania sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Limnephiloidea","Apataniidae","Apataniinae","Apataniini",,"Apatania","sp.",,"larva",4,,1,27,4,"N","N",,"condition OK","Y",,"Wiggins 1996; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"9a2b6ecb-d6de-4a15-ae70-6513b5fe3d30","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.SURBER.3","A00000106054",,"SWESP","Y","Sweltsa sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Chloroperlidae","Chloroperlinae",,,"Sweltsa","sp.",,"larva",3,,7,27,26,"N","N",,"condition OK","Y",,"Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"899944c2-34e9-486b-931e-b7bd0532a75f","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-06","MART.20190717.SURBER.5","A00000106057",,"AFGSP","Y","Afghanurus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Afghanurus","sp.",,"larva",2,,7,100,7,"N","N",,"condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"289c71e9-4cfe-48f7-a508-b813ddbfc9a0","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.SURBER.1","A00000106071",,"AMESP2","Y","Ameletus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Ameletidae",,,,"Ameletus","sp.",,"larva",6,,1,23,4,"N","N",,"condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","R. Spring",,,
"e7baefea-d9a8-4340-a253-08d554ba742c","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.SURBER.2","A00000106073",,"ATUSP1","Y","Aturus sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Hygrobatoidea","Aturidae",,,,"Aturus","sp.",,"adult",1,,1,100,1,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","B. Moore",,,
"b720641b-0784-410e-8cb9-7ed25c1621af","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-03","MART.20190717.HESS.1","A00000105654",,"CRINOS2","Y","Cricotopus nostocicola",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus","nostocicola",,"larva",4,,1,100,1,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,,
"eeb778c2-ecc7-4983-96dd-19db92658fe0","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.HESS.3","A00000106070",,"AFGSP","Y","Afghanurus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Afghanurus","sp.",,"larva",2,,3,100,3,"N","N",,"condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","R. Spring",,,
"5155fc46-c190-48cd-ac57-55e0a6d0fd6d","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-07","MART.20190717.HESS.3","A00000106070",,"LEBSP1","Y","Lebertia sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Lebertioidea","Lebertiidae",,,,"Lebertia","sp.",,"adult",1,,1,100,1,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","R. Spring",,,
"0223ebfe-f4a0-4bb6-9dfc-75c69aedb23d","D16","MART","MART.AOS.reach","2019-07-17T18:06Z","2020-02-03","MART.20190717.SURBER.1","A00000106071",,"THIGRO","Y","Thienemannimyia gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Thienemannimyia","gr.",,"larva",5,,2,23,9,"Y","N","early instar","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2017","N","Rhithron Associates, Inc.","B. Hayford",,,
