uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"bec32365-ce99-41d1-8b87-49fcfa834a90","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-12","MCDI.20200721.SURBER.1","A00000208854",,"SIASP1","Y","Sialis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Neuropterida","Megaloptera",,,,"Sialidae",,,,"Sialis","sp.",,"larva",6,,1,100,1,"N","N",,"condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"250909ea-f841-41bd-9945-2c20e88dba6a","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-12","MCDI.20200721.SURBER.4","A00000208845",,"HYDSP4","Y","Hydropsychidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Hydropsychoidea","Hydropsychidae",,,,,"sp.",,"larva",1,,1,17,6,"Y","N","early instar","condition OK","Y",,"Wiggins 1996, Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"02834e3b-1ffa-4974-9ea4-fa86dfaf050c","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-12","MCDI.20200721.SURBER.4","A00000208845",,"OSTSP","Y","Ostracoda sp.",,"class","Arthropoda","Crustacea","Ostracoda",,,,,,,,,,,,,"sp.",,"unknown",1,,7,17,41,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,,
"2014c36f-3a54-44f4-9ffa-69bde3cff520","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-12","MCDI.20200721.SURBER.4","A00000208845",,"STESP6","Y","Stenelmis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Stenelmis","sp.",,"larva",2,,1,17,6,"N","N",,"condition OK","N",,"Brown 1972; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"9f15cfc5-9810-409e-bde8-2d5d535f2399","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-12","MCDI.20200721.CORE.3","A00000208850",,"CAESP5","Y","Caenis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Caenoidea","Caenidae","Caeninae",,,"Caenis","sp.",,"larva",3,,4,100,4,"Y","N","early instar","condition OK","Y",,"Provonsha 1990","Y","Rhithron Associates, Inc.","J. Webb",,,
"4c8a8562-3ede-412c-95b6-d8da9712c1a4","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-12","MCDI.20200721.SURBER.4","A00000208845",,"CAESP5","Y","Caenis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Caenoidea","Caenidae","Caeninae",,,"Caenis","sp.",,"larva",1,,18,17,106,"Y","N","early instar","condition OK","Y",,"Provonsha 1990","N","Rhithron Associates, Inc.","J. Webb",,,
"7e4682e5-509f-4c4c-8a16-1aca3e680d66","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-13","MCDI.20200721.SURBER.5","A00000208855",,"POLSP13","Y","Polypedilum sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","sp.",,"larva",2,,4,100,4,"Y","N","early instar","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"23d650fa-6260-4595-81f9-71a80b914fa8","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-13","MCDI.20200721.SURBER.4","A00000208845",,"PARSP34","Y","Paratanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Paratanytarsus","sp.",,"larva",3,,13,17,76,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"165ccf53-06ba-4778-a4aa-e6d6db5a56b5","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-13","MCDI.20200721.SURBER.4","A00000208845",,"TANSP11","Y","Tanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Tanytarsus","sp.",,"larva",2,,21,17,124,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"ba98df4c-df69-4a30-8449-c578c8aed193","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-14","MCDI.20200721.CORE.6","A00000208852",,"PROSP23","Y","Procladius sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Procladiini",,"Procladius","sp.",,"larva",4,,1,100,1,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"e2dd233d-1b93-4ed1-a8ee-efd80f60f87d","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-12","MCDI.20200721.SURBER.4","A00000208845",,"CERSP10","Y","Ceratopogoninae sp.",,"subfamily","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae",,,,"sp.",,"larva",3,,1,17,6,"N","N",,"condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"936966a0-acbf-4bc3-a113-6d032d24cbdd","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-12","MCDI.20200721.SURBER.1","A00000208854",,"STEFEM","Y","Stenonema femoratum",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Stenonema","femoratum",,"larva",1,,14,100,14,"N","N",,"condition OK","Y",,"Liechti 1978; Wang and McCafferty 2004; Webb and McCafferty 2008; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"e0552c7b-ae5a-4b31-9e6a-aa38025ddf45","D06","MCDI","MCDI.AOS.reach","2020-07-21T15:03Z","2020-08-14","MCDI.20200721.SURBER.1","A00000208854",,"PARSP34","Y","Paratanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Paratanytarsus","sp.",,"larva",3,,3,100,3,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
