uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"98bcd329-2360-4f44-b7e1-dd0d32b202c2","D09","PRLA","PRLA.AOS.littoral2","2016-04-19T14:51Z","2017-02-15","PRLA.20160419.PONAR.2",,,"HYASP2","Y","Hyalella sp.",,"genus","Arthropoda","Crustacea","Malacostraca","Eumalacostraca",,"Peracarida","Amphipoda","Gammaridea",,,"Hyalellidae",,,,"Hyalella","sp.",,"larva",6,,1,20,5,"N","N",,"condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky",,,"legacyData"
"584b3d1f-a370-4cf9-a8e6-83192e01284c","D09","PRLA","PRLA.AOS.buoy.c0","2016-04-19T14:51Z","2017-02-15","PRLA.20160419.PONAR.3",,,"CHISP8","Y","Chironomus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Chironomus","sp.",,"larva",19,,2,100,2,"N","N",,"condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,,"legacyData"
"b8959767-eea5-4ab2-8f87-765c88ab4bca","D09","PRLA","PRLA.AOS.littoral2","2016-04-19T14:51Z","2017-02-15","PRLA.20160419.PONAR.2",,,"PISSP4","Y","Pisidium sp.",,"genus","Mollusca",,"Bivalvia","Heterodonta",,,"Veneroida",,,"Corbiculoidea","Pisidiidae",,,,"Pisidium","sp.",,"none",1,,1,20,5,"N","N",,"condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky","3of this taxon from this sample in Ref. Coll.",,"legacyData"
"e28eb04b-5c23-4667-93fe-d5d0eb80de99","D09","PRLA","PRLA.AOS.riparian.point.06","2016-04-19T14:51Z","2017-03-10","PRLA.20160419.SWEEP.6",,,"HYASP2","Y","Hyalella sp.",,"genus","Arthropoda","Crustacea","Malacostraca","Eumalacostraca",,"Peracarida","Amphipoda","Gammaridea",,,"Hyalellidae",,,,"Hyalella","sp.",,"larva",7,,1,100,1,"N","N",,"condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky",,,"legacyData"
"fa334772-3ab4-4939-bef6-5a3210845076","D09","PRLA","PRLA.AOS.littoral2","2016-04-19T14:51Z","2017-02-15","PRLA.20160419.PONAR.2",,,"CHISP8","Y","Chironomus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Chironomus","sp.",,"larva",13,,1,20,5,"N","N",,"condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace","2of this taxon from this sample in Ref. Coll.",,"legacyData"
"33aeabc9-1305-4aa9-ab7e-42c7dd6cb3a7","D09","PRLA","PRLA.AOS.littoral2","2016-04-19T14:51Z","2017-02-15","PRLA.20160419.PONAR.2",,,"GLYSP3","Y","Glyptotendipes sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Glyptotendipes","sp.",,"larva",3,,5,20,25,"N","N",,"condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace","Fragment; Measurement is of fragment only",,"legacyData"
"625b8088-55fb-4df6-b6ec-8eb16940c0f5","D09","PRLA","PRLA.AOS.littoral2","2016-04-19T14:51Z","2017-02-15","PRLA.20160419.PONAR.2",,,"CHASP13","Y","Chaoborus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chaoboridae","Chaoborinae",,,"Chaoborus","sp.",,"larva",1,,1,20,5,"N","N",,"condition OK","Y",,"Merritt et al 2008","N","EcoAnalysts Inc.","A. Navesky","1of this taxon from this sample in Ref. Coll.; Fragment; Measurement is of fragment only; head only",,"legacyData"
"c8167ad1-cddc-431d-856a-580f0ee06449","D09","PRLA","PRLA.AOS.buoy.c0","2016-04-19T14:51Z","2017-02-15","PRLA.20160419.PONAR.3",,,"CHASP13","Y","Chaoborus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chaoboridae","Chaoborinae",,,"Chaoborus","sp.",,"larva",9,,2,100,2,"N","N",,"condition OK","Y",,"Merritt et al 2008","N","EcoAnalysts Inc.","A. Navesky","1of this taxon from this sample in Ref. Coll.",,"legacyData"
"bc0b9fb8-0c97-487c-8ecf-0b6b1b69354b","D09","PRLA","PRLA.AOS.littoral2","2016-04-19T14:51Z","2017-02-15","PRLA.20160419.PONAR.2",,,"GLYSP3","Y","Glyptotendipes sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Glyptotendipes","sp.",,"larva",22,,1,20,5,"N","N",,"condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,,"legacyData"
"c6ea0a85-80b6-4015-b1dd-7c2e10a663c3","D09","PRLA","PRLA.AOS.riparian.point.10","2016-04-19T14:51Z","2017-03-07","PRLA.20160419.SWEEP.10",,,"GAMSP3","Y","Gammarus sp.",,"genus","Arthropoda","Crustacea","Malacostraca","Eumalacostraca",,"Peracarida","Amphipoda","Gammaridea",,,"Gammaridae",,,,"Gammarus","sp.",,"larva",14,,1,100,1,"N","N",,"condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky",,,"legacyData"
