uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"f028d133-1272-4446-9a58-4d91de838229","D13","WLOU","WLOU.AOS.reach","2021-05-10T19:04Z","2021-08-09","WLOU.20210510.SURBER.4","A00000246856",,"PAGSP4","Y","Pagastia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Diamesinae","Diamesini",,"Pagastia","sp.",,"larva",4,,4,20,20,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,,
"9b3f9dd7-bf4a-46fb-adea-c0bdb69ecefa","D13","WLOU","WLOU.AOS.reach","2021-05-10T19:04Z","2021-08-09","WLOU.20210510.SURBER.2","A00000246854",,"PARSP26","Y","Parametriocnemus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parametriocnemus","sp.",,"larva",1,,1,17,6,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,,
"f4e8a9ff-8beb-469a-8955-ee2fdc0b193f","D13","WLOU","WLOU.AOS.reach","2021-05-10T19:04Z","2021-08-06","WLOU.20210510.SURBER.5","A00000246857",,"ZAPCIN","Y","Zapada cinctipes",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Nemouridae","Nemourinae",,,"Zapada","cinctipes",,"larva",2,,3,13,23,"N","N",,"condition OK","Y",,"Baumann et al. 1977; Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","R. Spring",,,
"08964b0e-25d5-4bb0-9e35-fc79c0eec16a","D13","WLOU","WLOU.AOS.reach","2021-05-10T19:04Z","2021-08-06","WLOU.20210510.SURBER.5","A00000246857",,"SPESP4","Y","Sperchon sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Lebertioidea","Sperchontidae",,,,"Sperchon","sp.",,"adult",1,,1,13,8,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","R. Spring",,,
"df53671e-e1a8-46e4-9cf2-2e224ce9f85a","D13","WLOU","WLOU.AOS.reach","2021-05-10T19:04Z","2021-08-06","WLOU.20210510.SURBER.5","A00000246857",,"ZAPORE","Y","Zapada oregonensis gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Nemouridae","Nemourinae",,,"Zapada","oregonensis gr.",,"larva",1,,5,13,38,"N","N",,"condition OK","Y",,"Baumann et al. 1977; Stewart and Stark 2002; Merritt et al. 2019; Morse et al. 2017","N","Rhithron Associates, Inc.","R. Spring",,,
"e74127d5-536a-42b6-a31f-f177d8c8b5ff","D13","WLOU","WLOU.AOS.reach","2021-05-10T19:04Z","2021-08-06","WLOU.20210510.SURBER.5","A00000246857",,"MICSP6","Y","Micropsectra sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Micropsectra","sp.",,"larva",7,,1,13,8,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,,
"b0b34d38-8dfa-4803-8266-5d7cca7b6cf3","D13","WLOU","WLOU.AOS.reach","2021-05-10T19:04Z","2021-08-09","WLOU.20210510.SURBER.1","A00000246853",,"NEMSP","Y","Nematoda sp.",,"phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"unknown",1,,1,40,3,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","R. Spring",,,
"bcf5df25-6b6f-426f-a716-ea18f1f00d68","D13","WLOU","WLOU.AOS.reach","2021-05-10T19:04Z","2021-08-09","WLOU.20210510.CORE.3","A00000246860",,"OSTSP","Y","Ostracoda sp.",,"class","Arthropoda","Crustacea","Ostracoda",,,,,,,,,,,,,"sp.",,"unknown",1,,1,100,1,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","Y","Rhithron Associates, Inc.","R. Spring",,,
"3f81ef57-a8f1-4ccc-93f2-d45b2ec7148e","D13","WLOU","WLOU.AOS.reach","2021-05-10T19:04Z","2021-08-10","WLOU.20210510.SURBER.2","A00000246854","BA21NEOMST09004O1","CHADIA1","Y","Chaetogaster diastrophus",,"species","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae","Naidinae",,,"Chaetogaster","diastrophus",,"unknown",1,,2,17,12,"N","N",,"condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender",,,
"86d990a1-50e0-43e0-89ef-2b7f59f4404c","D13","WLOU","WLOU.AOS.reach","2021-05-10T19:04Z","2021-08-09","WLOU.20210510.SURBER.1","A00000246853",,"ZAPCIN","Y","Zapada cinctipes",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Nemouridae","Nemourinae",,,"Zapada","cinctipes",,"larva",2,,12,40,30,"N","N",,"condition OK","Y",,"Baumann et al. 1977; Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","R. Spring",,,
