uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"5a98f1f4-db8e-40ed-aa26-c29f8382b58d","D17","BIGC","BIGC","2017-07-12T17:39Z",,15,3.80,
"e50d6513-064d-46b3-9811-ae9235bfcf57","D17","BIGC","BIGC","2017-07-12T17:39Z",,11,2.70,
"bdefaa55-2df2-4b04-9172-09ef77b10775","D17","BIGC","BIGC","2017-07-12T17:39Z",,2,3.00,
"b7df18f9-eeee-4ae6-ba37-576fb893f286","D17","BIGC","BIGC","2017-07-12T17:39Z",,25,2.70,
"79d00893-4c16-4300-8edf-e3f325cf1870","D17","BIGC","BIGC","2017-07-12T17:39Z",,1,4.00,
"95c70d2a-a960-4be8-8e32-c2ddd83eaa76","D17","BIGC","BIGC","2017-07-12T17:39Z",,29,7.40,
"f4e56985-234f-48f0-9d14-7593ac2b2cd8","D17","BIGC","BIGC","2017-07-12T17:39Z",,26,5.20,
"adba426c-c0e0-4842-888b-a225a4ff8126","D17","BIGC","BIGC","2017-07-12T17:39Z",,28,3.80,
"add5e7b7-57cb-4efe-b71c-24cd1ccb5069","D17","BIGC","BIGC","2017-07-12T17:39Z",,30,4.00,
"695b307a-0258-4322-9993-6288267edaef","D17","BIGC","BIGC","2017-07-12T17:39Z",,18,4.60,
"17f7b044-0d87-4450-a4a5-f2c5f8fadf7a","D17","BIGC","BIGC","2017-07-12T17:39Z",,22,4.00,
"a4ea0b45-8d37-4ccc-a9f6-2a1ffd1cb68b","D17","BIGC","BIGC","2017-07-12T17:39Z",,24,3.90,
"4c15acc0-fb33-4b1a-9294-c9965fd1c88c","D17","BIGC","BIGC","2017-07-12T17:39Z",,17,6.60,
"d796dbb9-244a-4704-83bf-723ef8e9205a","D17","BIGC","BIGC","2017-07-12T17:39Z",,23,3.70,
"b7878af7-b8d2-4558-980c-2aa477206b76","D17","BIGC","BIGC","2017-07-12T17:39Z",,20,4.30,
"c349a891-02f4-45d0-85fc-f7b73d2c3277","D17","BIGC","BIGC","2017-07-12T17:39Z",,5,4.70,
"f9081cef-450e-4770-8cbf-5aaa5c06cad6","D17","BIGC","BIGC","2017-07-12T17:39Z",,7,3.00,
"3a9f6b91-40bb-4f8d-92d5-4b1af92be660","D17","BIGC","BIGC","2017-07-12T17:39Z",,4,3.90,
"b5f2600d-73a4-4d21-9d56-52aa65fe56cc","D17","BIGC","BIGC","2017-07-12T17:39Z",,12,2.80,
"4b9e37db-8b1e-419e-8dfe-1e9a9ff87f5d","D17","BIGC","BIGC","2017-07-12T17:39Z",,3,3.20,
"1db65c58-fa15-42e0-804e-a174ac8a6cc5","D17","BIGC","BIGC","2017-07-12T17:39Z",,13,5.00,
"602cb7d9-dd5e-413b-a6e0-0dc49f420d48","D17","BIGC","BIGC","2017-07-12T17:39Z",,16,5.40,
"88e756e0-165d-4e09-82d1-aba4f9f77646","D17","BIGC","BIGC","2017-07-12T17:39Z",,8,3.20,
"ab460ed5-a3e9-413c-8aa4-24344374ada0","D17","BIGC","BIGC","2017-07-12T17:39Z",,21,3.70,
"24ab67db-3b66-4380-926b-e48aa3be5490","D17","BIGC","BIGC","2017-07-12T17:39Z",,27,4.80,
"32608c36-4532-424c-8fd4-2a3f8ca858c8","D17","BIGC","BIGC","2017-07-12T17:39Z",,6,2.90,
"810abdee-44ab-422c-b566-41e1740eeac4","D17","BIGC","BIGC","2017-07-12T17:39Z",,19,4.50,
"8f197323-8822-4c7a-8d93-014ad9d8db54","D17","BIGC","BIGC","2017-07-12T17:39Z",,9,4.90,
"549171ed-b8fc-4660-8aa9-28c4ce399337","D17","BIGC","BIGC","2017-07-12T17:39Z",,10,2.60,
"c00f5934-cdb8-4444-9098-d84d30ed8d68","D17","BIGC","BIGC","2017-07-12T17:39Z",,14,3.60,
