uid,domainID,siteID,namedLocation,startDate,analysisDate,laboratoryName,gasTracerType,gasSampleID,sampleCode,gasTracerConcentration,runDetectionLimit,labStandardPrecision,certifiedStandardAccuracy,sampleCondition,analyticalReplicateGAS,analyzedBy,remarks,gasVolumeAnalyzed,gasCheckStandardQF
"60779d9e-d54d-4fe6-826c-b81d1921f030","D17","BIGC","BIGC.AOS.reaeration.station.02","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.07.20170905.GAS",,2.060,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"cd0a8962-c9ef-4950-ae8c-81fa67afe15e","D17","BIGC","BIGC.AOS.reaeration.station.02","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.09.20170905.GAS",,1.990,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"b0f04a08-127d-464d-93fe-5fca3be155fa","D17","BIGC","BIGC.AOS.reaeration.station.04","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.20.20170905.GAS",,1.460,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"6365151f-08eb-4788-adee-4672be4b9fd4","D17","BIGC","BIGC.AOS.reaeration.station.01","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.01.20170905.GAS",,1.930,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"9c48ccba-26ec-4ee8-9267-d03749807d75","D17","BIGC","BIGC.AOS.reaeration.station.04","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.18.20170905.GAS",,1.370,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"c546ec7e-37e0-40fd-a98c-a37aeb56e69d","D17","BIGC","BIGC.AOS.reaeration.station.04","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.19.20170905.GAS",,1.260,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"7b8bd9da-ff74-4495-bebb-ab5079500626","D17","BIGC","BIGC.AOS.reaeration.station.02","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.10.20170905.GAS",,1.680,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"fbb9d979-0780-4fe9-a573-bec9c38c4dfe","D17","BIGC","BIGC.AOS.reaeration.station.01","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.05.20170905.GAS",,1.570,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"35ed01c7-80f8-4e1a-9216-edb80756030e","D17","BIGC","BIGC.AOS.reaeration.station.01","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.04.20170905.GAS",,2.370,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"b7c836d6-33c6-4129-8581-ad4040bbc0c8","D17","BIGC","BIGC.AOS.reaeration.station.01","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.03.20170905.GAS",,2.380,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"a024ea42-24e8-4a01-a87d-25b07c79a1f7","D17","BIGC","BIGC.AOS.reaeration.station.04","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.16.20170905.GAS",,1.470,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"96de501f-613f-4ebb-a878-6cbeccd63180","D17","BIGC","BIGC.AOS.reaeration.station.03","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.12.20170905.GAS",,1.640,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"ffce5fbb-cee1-4f2d-ba26-f50a52f1869b","D17","BIGC","BIGC.AOS.reaeration.station.01","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.02.20170905.GAS",,2.080,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"ae8c5f01-61fd-4ace-a257-9876f4a85726","D17","BIGC","BIGC.AOS.reaeration.station.02","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.06.20170905.GAS",,1.860,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"820d8639-9ea3-4e76-b122-4af7d130779d","D17","BIGC","BIGC.AOS.reaeration.station.02","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.08.20170905.GAS",,1.930,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"0ece006e-8779-4a9d-801d-2fefa74bba23","D17","BIGC","BIGC.AOS.reaeration.station.03","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.11.20170905.GAS",,1.670,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"bf301f15-290e-43ef-8d71-877e7015cdf7","D17","BIGC","BIGC.AOS.reaeration.station.03","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.15.20170905.GAS",,1.690,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
"9fcae827-9917-4785-98a2-3ba0f2f3989a","D17","BIGC","BIGC.AOS.reaeration.station.04","2017-09-05T17:59Z","2017-09-27T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.17.20170905.GAS",,1.280,0.050,2.900,2.000,"OK",,"vbBaXAwhpbs=",,0.15,-1
