uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"2dc5b114-455a-4666-9c18-ac74b556621e","D17","BIGC","BIGC.AOS.reaeration.station.01","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.01.20220223.TCR","A00000337986","chloride",29.291,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
"1bec2980-f4c6-4141-8d56-92e83e2d426e","D17","BIGC","BIGC.AOS.reaeration.station.03","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.13.20220223.TCR","A00000337998","chloride",28.902,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
"c2322d51-2263-44e1-b8b1-58b9f35f8bbb","D17","BIGC","BIGC.AOS.reaeration.station.01","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.04.20220223.TCR","A00000337989","chloride",29.806,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
"9df6f78c-d826-4d88-99f1-352745654c50","D17","BIGC","BIGC.AOS.reaeration.station.02","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.08.20220223.TCR","A00000337993","chloride",29.790,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
"e7cb6800-d731-481c-9bf6-96b377fb068c","D17","BIGC","BIGC.AOS.reaeration.station.04","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.19.20220223.TCR","A00000338004","chloride",27.800,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
"b89e4a37-a9cb-4082-9286-ebf7696f2e95","D17","BIGC","BIGC.AOS.reaeration.station.03","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.12.20220223.TCR","A00000337997","chloride",29.187,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",30.664,,1
"0313aa98-19a4-4824-b553-c9d7a96085ec","D17","BIGC","BIGC.AOS.reaeration.station.04","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.B4.20220223.TCR","A00000337985","chloride",26.139,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
"30e8c98b-9cce-4f11-bd4c-dc9785212449","D17","BIGC","BIGC.AOS.reaeration.station.03","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.15.20220223.TCR","A00000338000","chloride",28.890,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
"8627a62e-8b86-4539-aef9-4b7696264af1","D17","BIGC","BIGC.AOS.reaeration.station.02","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.10.20220223.TCR","A00000337995","chloride",29.524,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
"b2201d63-165e-4e92-a048-f594596bb102","D17","BIGC","BIGC.AOS.reaeration.station.01","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.B1.20220223.TCR","A00000337982","chloride",26.798,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
"075c97a3-bee5-46b0-9c75-b00f72206b19","D17","BIGC","BIGC.AOS.reaeration.station.01","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.02.20220223.TCR","A00000337987","chloride",29.382,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",31.700,,1
"12049a0a-00ce-4bae-a444-93d99533f0e2","D17","BIGC","BIGC.AOS.reaeration.station.03","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.B3.20220223.TCR","A00000337984","chloride",25.767,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
"dc61391e-04eb-4b46-9b9d-5cdeb40041b5","D17","BIGC","BIGC.AOS.reaeration.station.01","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.05.20220223.TCR","A00000337990","chloride",30.013,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
"6b18d63f-7ff3-44fd-a5ac-a6cf6859287e","D17","BIGC","BIGC.AOS.reaeration.station.04","2022-02-23T18:38Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.16.20220223.TCR","A00000338001","chloride",28.387,0,"2022-07-22T18:00Z","LIkHXDtHFXY=","OK",,,1
