uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"1d08a0e3-733d-4c8f-bef0-0d20a74de290","D12","BLDE","BLDE.AOS.reaeration.station.02","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.B2.20190606.TCR","A00000054047","bromide",0.0195,1,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"391d483a-f3e2-4bd1-96e7-818d5bdc8609","D12","BLDE","BLDE.AOS.reaeration.station.01","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.B1.20190606.TCR","A00000054046","bromide",3.2631,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,"ran three times - contaminated",1
"b03fe37c-09e0-48a8-b1c1-51a70ff77b24","D12","BLDE","BLDE.AOS.reaeration.station.03","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.B3.20190606.TCR","A00000054030","bromide",0.0069,1,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"550cad23-49bc-4040-a27b-2e3f2d994813","D12","BLDE","BLDE.AOS.reaeration.station.04","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.17.20190606.TCR","A00000053988","bromide",0.4182,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"435eaadf-edd8-4de1-903d-814754075515","D12","BLDE","BLDE.AOS.reaeration.station.01","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.04.20190606.TCR","A00000054004","bromide",0.4045,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"4bee823d-af47-44ea-81b5-714b241db158","D12","BLDE","BLDE.AOS.reaeration.station.01","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.03.20190606.TCR","A00000054005","bromide",0.4268,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"0f9803ad-1921-4c9a-ac69-b089fc24ee16","D12","BLDE","BLDE.AOS.reaeration.station.03","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.12.20190606.TCR","A00000053996","bromide",0.4141,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"5406ebd1-8948-40d0-91d9-82914d4a4ee0","D12","BLDE","BLDE.AOS.reaeration.station.03","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.15.20190606.TCR","A00000053989","bromide",0.5044,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"a1f0e117-9968-4d58-a8af-599a369d2eea","D12","BLDE","BLDE.AOS.reaeration.station.04","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.16.20190606.TCR","A00000053994","bromide",0.4297,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"a96fea23-3695-4d91-bfb6-6876a9ad89a8","D12","BLDE","BLDE.AOS.reaeration.station.01","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.01.20190606.TCR","A00000054007","bromide",0.4197,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"487e4d83-d4e9-489d-a837-7ebfa0c01bcb","D12","BLDE","BLDE.AOS.reaeration.station.04","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.B4.20190606.TCR","A00000054029","bromide",0.004,1,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"369b602d-d46d-49bb-9a0c-6a735b056fdd","D12","BLDE","BLDE.AOS.reaeration.station.02","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.07.20190606.TCR","A00000054001","bromide",0.4153,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"e170ced2-1d4b-4c2a-b3cb-34b7173883e5","D12","BLDE","BLDE.AOS.reaeration.station.04","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.20.20190606.TCR","A00000053992","bromide",0.4197,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"6029f999-1b54-4abc-9e6c-11e1366ff990","D12","BLDE","BLDE.AOS.reaeration.station.03","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.13.20190606.TCR","A00000053995","bromide",0.4059,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"90fb81a5-374f-4c3f-b847-6a4bc4049776","D12","BLDE","BLDE","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.00.20190606.TCR","A00000054020","bromide",882.500,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,"duplicate samples COV = 1.5%",1
"817ab05f-dba7-4768-83ab-46aa71cd8248","D12","BLDE","BLDE.AOS.reaeration.station.02","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.08.20190606.TCR","A00000054000","bromide",0.4249,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"7c3c9f8c-70d2-42a6-b051-e6f75a7baafd","D12","BLDE","BLDE.AOS.reaeration.station.02","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.06.20190606.TCR","A00000054002","bromide",0.4221,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"7696b0e7-bc2f-49a8-bdbd-2f2fb0114a2b","D12","BLDE","BLDE.AOS.reaeration.station.01","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.02.20190606.TCR","A00000054006","bromide",0.4536,0,"2019-11-19T19:00Z","LIkHXDtHFXY=","OK",,"rerun",1
"9cffa1a1-7f8e-4d63-8a06-ca4ba7433eaf","D12","BLDE","BLDE.AOS.reaeration.station.02","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.10.20190606.TCR","A00000053998","bromide",0.4177,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"e0a9c859-b28d-449e-856a-f040e1c417c7","D12","BLDE","BLDE.AOS.reaeration.station.04","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.18.20190606.TCR","A00000053991","bromide",0.4457,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"65996fd1-a2b8-446c-a1a0-b91802907e4d","D12","BLDE","BLDE.AOS.reaeration.station.04","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.19.20190606.TCR","A00000053993","bromide",0.4221,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"0b0cfceb-d56c-4769-a6a4-49bd71540267","D12","BLDE","BLDE.AOS.reaeration.station.03","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.11.20190606.TCR","A00000053997","bromide",0.4223,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"273f56c1-ae0d-4ff0-9444-7bfaedb0b8e1","D12","BLDE","BLDE.AOS.reaeration.station.01","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.02.20190606.TCR","A00000054006","bromide",0.4768,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"e19fffc0-a9e3-4128-aa17-00c1363c7457","D12","BLDE","BLDE.AOS.reaeration.station.03","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.15.20190606.TCR","A00000053989","bromide",0.525,0,"2019-11-19T19:00Z","LIkHXDtHFXY=","OK",,"rerun",1
"b4e9e99e-06bf-4619-ac1d-e16fe4df1864","D12","BLDE","BLDE.AOS.reaeration.station.01","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.05.20190606.TCR","A00000054003","bromide",0.4327,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"0ad913e4-e018-4be1-ae56-fe240e5ce6d5","D12","BLDE","BLDE.AOS.reaeration.station.02","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.09.20190606.TCR","A00000053999","bromide",0.4183,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
"985ea31b-a065-49fc-8c29-bc57e97a3a32","D12","BLDE","BLDE.AOS.reaeration.station.03","2019-06-06T15:43Z","Aquatic Biogeochemistry Lab at Utah State University","BLDE.14.20190606.TCR","A00000053990","bromide",0.4193,0,"2019-07-19T18:00Z","LIkHXDtHFXY=","OK",,,1
