uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"a0c91826-5a26-4351-8615-08e715c5efdc","D12","BLDE","BLDE.AOS.reaeration.station.04","2020-09-10T15:55Z","2020-09-10T18:21Z",2,"BLDE.17.20200910","BLDE.17.20200910.GAS","BLDE.17.20200910.TCR",,
"5b1ec033-d8ce-4b9f-b481-173f4d6da24c","D12","BLDE","BLDE.AOS.reaeration.station.03","2020-09-10T15:55Z","2020-09-10T18:07Z",5,"BLDE.15.20200910","BLDE.15.20200910.GAS","BLDE.15.20200910.TCR",,
"c8089622-adfb-4eb4-8441-bf01eb90f5af","D12","BLDE","BLDE.AOS.reaeration.station.02","2020-09-10T15:55Z","2020-09-10T17:58Z",4,"BLDE.09.20200910","BLDE.09.20200910.GAS","BLDE.09.20200910.TCR",,
"e45a9fbd-af81-4509-be11-494ad1da8114","D12","BLDE","BLDE.AOS.reaeration.station.01","2020-09-10T15:55Z","2020-09-10T17:52Z",3,"BLDE.03.20200910","BLDE.03.20200910.GAS","BLDE.03.20200910.TCR",,
"9ff2307d-a572-4441-8378-70f76049f3cb","D12","BLDE","BLDE.AOS.reaeration.station.04","2020-09-10T15:55Z","2020-09-10T18:21Z",4,"BLDE.19.20200910","BLDE.19.20200910.GAS","BLDE.19.20200910.TCR",,
"f5839851-59e8-4d19-a855-7afe04ef3c99","D12","BLDE","BLDE.AOS.reaeration.station.04","2020-09-10T15:55Z","2020-09-10T18:21Z",5,"BLDE.20.20200910","BLDE.20.20200910.GAS","BLDE.20.20200910.TCR",,
"98c75fde-d068-402d-8120-495691a3371e","D12","BLDE","BLDE.AOS.reaeration.station.04","2020-09-10T15:55Z","2020-09-10T18:21Z",1,"BLDE.16.20200910","BLDE.16.20200910.GAS","BLDE.16.20200910.TCR",,
"03b5e944-f93b-4779-b545-9d31240e6a9b","D12","BLDE","BLDE.AOS.reaeration.station.03","2020-09-10T15:55Z","2020-09-10T18:07Z",4,"BLDE.14.20200910","BLDE.14.20200910.GAS","BLDE.14.20200910.TCR",,
"3c1ccac7-e9f0-4de7-9a93-94dc13e58a4b","D12","BLDE","BLDE.AOS.reaeration.station.02","2020-09-10T15:55Z","2020-09-10T17:58Z",5,"BLDE.10.20200910","BLDE.10.20200910.GAS","BLDE.10.20200910.TCR",,
"c1dd7353-d472-491f-a647-46024842499c","D12","BLDE","BLDE.AOS.reaeration.station.01","2020-09-10T15:55Z","2020-09-10T17:52Z",5,"BLDE.05.20200910","BLDE.05.20200910.GAS","BLDE.05.20200910.TCR",,
"063c018a-fe8a-4826-a26e-9a87c8576f45","D12","BLDE","BLDE.AOS.reaeration.station.03","2020-09-10T15:55Z","2020-09-10T18:07Z",1,"BLDE.11.20200910","BLDE.11.20200910.GAS","BLDE.11.20200910.TCR",,
"3d5be35f-1171-4955-a0d9-ac90c7599f9d","D12","BLDE","BLDE.AOS.reaeration.station.02","2020-09-10T15:55Z","2020-09-10T17:58Z",2,"BLDE.07.20200910","BLDE.07.20200910.GAS","BLDE.07.20200910.TCR",,
"4bf63c5c-7e39-49dc-bfb0-ae2ef3becc1e","D12","BLDE","BLDE.AOS.reaeration.station.03","2020-09-10T15:55Z","2020-09-10T18:07Z",2,"BLDE.12.20200910","BLDE.12.20200910.GAS","BLDE.12.20200910.TCR",,
"cd25c531-ab19-418b-bb57-6f8c43f46819","D12","BLDE","BLDE.AOS.reaeration.station.01","2020-09-10T15:55Z","2020-09-10T17:52Z",4,"BLDE.04.20200910","BLDE.04.20200910.GAS","BLDE.04.20200910.TCR",,
"49eca660-72a7-4eef-8c95-5d74486826ed","D12","BLDE","BLDE.AOS.reaeration.station.01","2020-09-10T15:55Z","2020-09-10T17:52Z",2,"BLDE.02.20200910","BLDE.02.20200910.GAS","BLDE.02.20200910.TCR",,
"a2547bde-46c3-4656-ab0c-5de2f07cfe74","D12","BLDE","BLDE.AOS.reaeration.station.01","2020-09-10T15:55Z","2020-09-10T17:52Z",1,"BLDE.01.20200910","BLDE.01.20200910.GAS","BLDE.01.20200910.TCR",,
"9aa110eb-2ccc-4c44-9849-a87e18848aab","D12","BLDE","BLDE.AOS.reaeration.station.03","2020-09-10T15:55Z","2020-09-10T18:07Z",3,"BLDE.13.20200910","BLDE.13.20200910.GAS","BLDE.13.20200910.TCR",,
"90316da7-2c75-49ea-9640-f7b9e31cbd01","D12","BLDE","BLDE.AOS.reaeration.station.02","2020-09-10T15:55Z","2020-09-10T17:58Z",1,"BLDE.06.20200910","BLDE.06.20200910.GAS","BLDE.06.20200910.TCR",,
"9bd1f600-c27a-4465-ad1f-c079098c9d1a","D12","BLDE","BLDE.AOS.reaeration.station.02","2020-09-10T15:55Z","2020-09-10T17:58Z",3,"BLDE.08.20200910","BLDE.08.20200910.GAS","BLDE.08.20200910.TCR",,
"fed18b28-45fa-4ffc-9e65-a71b6f5947f1","D12","BLDE","BLDE.AOS.reaeration.station.04","2020-09-10T15:55Z","2020-09-10T18:21Z",3,"BLDE.18.20200910","BLDE.18.20200910.GAS","BLDE.18.20200910.TCR",,
