uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"17046192-1186-41e2-b0c9-b013798cbea8","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",8,2.90,
"6a8d66ba-0f48-4b15-a337-eacf9ff52ab6","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",1,4.30,
"bc51e635-0daf-478c-8503-f2d450f900d5","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",15,3.70,
"8d0470fa-08b3-4243-a8df-f2d7c98faa26","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",23,4.60,
"ce9febbf-4ee3-419c-8a17-469ffe6b243b","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",7,2.40,
"059b62b3-85e5-45bd-b0ce-b5a5db264884","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",17,3.60,
"a4aa303c-a528-45fe-ba3d-05a3b49ce212","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",9,3.30,
"0da2571b-2835-4b74-898a-dbca50204b84","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",18,3.50,
"c1c8f0e1-8282-4f3c-867f-95dcbe3f7cd8","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",11,2.80,
"34fc4823-cd57-4e1c-b331-a6566d476d57","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",10,3.10,
"c126ed21-0841-47d1-8285-20966476e9eb","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",14,6.30,
"0f96d2aa-63cb-449e-8329-256e8996fbd0","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",2,3.50,
"7b7acd80-8c16-45f8-93ac-0193a0bf3f5f","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",24,5.00,
"e6d331b0-4105-47a1-bf5e-83f7322f469c","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",29,6.00,
"baf86935-8439-4957-b51d-9b8a06535d22","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",28,5.00,
"2e8b56ea-0369-4b3e-8445-08e3ed141f45","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",19,4.00,
"9d03f707-4604-46ea-ac94-2529b2f6d1a6","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",12,3.80,
"80b8917a-b483-42fd-b394-715498a2228c","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",30,5.10,
"66854a93-6a02-4e2c-bd37-394b60ca46cc","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",16,3.20,
"84ec66e0-5457-4e49-8096-a01dc2140102","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",27,3.80,
"b99d0e36-cf56-4634-b3b6-c55a4c3e91fa","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",25,3.70,
"f98a4b5f-c4c5-41ba-aaaa-7384a3f20324","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",26,4.10,
"d5ec24ba-52a7-4f59-bcb3-8c90f8bc39ac","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",13,4.00,
"92f88784-f493-4a1c-84a8-7ff620c35a4f","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",5,3.80,
"fc4affc4-3f91-45e5-8605-973e64818b47","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",4,4.20,
"9408bf4b-ef39-4b57-803e-d3f7e6c06228","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",6,4.20,
"156c57a3-bc14-4698-94a6-fb07f12c5876","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",22,7.90,
"b6ad7a1a-9349-429b-9e5b-aebfa86a964a","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",20,8.00,
"e78e2213-40dc-40aa-b534-ebb78773cfe7","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",3,3.60,
"96081ebb-f3fd-4b40-b665-9979eb44c018","D12","BLDE","BLDE","2024-06-05T18:25Z","Laser Rangefinder",21,10.30,
"64ad4875-372e-472e-b079-12e8be6dd09d","D12","BLDE","BLDE","2024-06-10T17:18Z","Tape",14,3.80,
"c5f68569-0565-4dc8-8b1d-750e0b8b6e8a","D12","BLDE","BLDE","2024-06-10T17:18Z","Tape",23,10.50,
"d04977df-96b5-4876-b5c8-8328e78bbde1","D12","BLDE","BLDE","2024-06-10T17:18Z","Tape",24,9.10,
"ba85f681-8fbb-469a-ad3f-31a6c7b9ef65","D12","BLDE","BLDE","2024-06-10T17:18Z","Tape",3,3.50,
"7fc824b3-56b3-430b-9fbf-caed5bddbebb","D12","BLDE","BLDE","2024-06-10T17:18Z","Tape",10,2.90,
"348adfab-5cc2-4fd5-bb27-21ced88fc49f","D12","BLDE","BLDE","2024-06-10T17:18Z","Tape",20,4.30,
"4aa59c7a-1c99-475c-aa72-0c9ece99b389","D12","BLDE","BLDE","2024-06-10T17:18Z","Tape",28,4.50,
