uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"29e6905e-fac1-4083-911d-d1c0fc63fbde","D19","CARI","CARI.AOS.reaeration.station.04","2019-05-30T18:37Z","2019-05-30T21:16Z",5,"CARI.20.20190530","CARI.20.20190530.GAS","CARI.20.20190530.TCR",,
"fdca934a-1475-4e58-b121-6928080e6253","D19","CARI","CARI.AOS.reaeration.station.03","2019-05-30T18:37Z","2019-05-30T21:11Z",5,"CARI.15.20190530","CARI.15.20190530.GAS","CARI.15.20190530.TCR",,
"5db9b5ab-f31e-4fa7-96ee-88ce618d12eb","D19","CARI","CARI.AOS.reaeration.station.04","2019-05-30T18:37Z","2019-05-30T21:16Z",3,"CARI.18.20190530","CARI.18.20190530.GAS","CARI.18.20190530.TCR",,
"1e6bf149-4ed9-492f-beb1-0fa028f4aea3","D19","CARI","CARI.AOS.reaeration.station.01","2019-05-30T18:37Z","2019-05-30T20:51Z",1,"CARI.01.20190530","CARI.01.20190530.GAS","CARI.01.20190530.TCR",,
"eeee8492-078e-4a65-b450-79596ac63b66","D19","CARI","CARI.AOS.reaeration.station.01","2019-05-30T18:37Z","2019-05-30T20:51Z",4,"CARI.04.20190530","CARI.04.20190530.GAS","CARI.04.20190530.TCR",,
"f8e55408-fbb3-48a5-906f-7ca0b18e00b1","D19","CARI","CARI.AOS.reaeration.station.02","2019-05-30T18:37Z","2019-05-30T21:03Z",4,"CARI.09.20190530","CARI.09.20190530.GAS","CARI.09.20190530.TCR",,
"2ceeb3c2-81cb-462a-b9dd-5ff866c71dac","D19","CARI","CARI.AOS.reaeration.station.01","2019-05-30T18:37Z","2019-05-30T20:51Z",2,"CARI.02.20190530","CARI.02.20190530.GAS","CARI.02.20190530.TCR",,
"c3f6706f-6f9a-40a1-ac21-2ad95839f677","D19","CARI","CARI.AOS.reaeration.station.02","2019-05-30T18:37Z","2019-05-30T21:03Z",1,"CARI.06.20190530","CARI.06.20190530.GAS","CARI.06.20190530.TCR",,
"b598fa8a-9f86-4937-a757-d96efbc5ed33","D19","CARI","CARI.AOS.reaeration.station.03","2019-05-30T18:37Z","2019-05-30T21:11Z",4,"CARI.14.20190530","CARI.14.20190530.GAS","CARI.14.20190530.TCR",,
"65fde088-1326-4234-92a0-ddced606cf00","D19","CARI","CARI.AOS.reaeration.station.04","2019-05-30T18:37Z","2019-05-30T21:16Z",2,"CARI.17.20190530","CARI.17.20190530.GAS","CARI.17.20190530.TCR",,
"1609b46c-3a9a-4f3a-9f3c-7a56083acbd7","D19","CARI","CARI.AOS.reaeration.station.04","2019-05-30T18:37Z","2019-05-30T21:16Z",4,"CARI.19.20190530","CARI.19.20190530.GAS","CARI.19.20190530.TCR",,
"e80ce7ac-4516-4185-a22d-d0afcb5bf70e","D19","CARI","CARI.AOS.reaeration.station.03","2019-05-30T18:37Z","2019-05-30T21:11Z",1,"CARI.11.20190530","CARI.11.20190530.GAS","CARI.11.20190530.TCR",,
"b3ad8bdd-2e22-4500-a4b6-eee9d3eb47ca","D19","CARI","CARI.AOS.reaeration.station.02","2019-05-30T18:37Z","2019-05-30T21:03Z",5,"CARI.10.20190530","CARI.10.20190530.GAS","CARI.10.20190530.TCR",,
"4918af7e-51a1-42f8-bb93-a83d6cbfbf23","D19","CARI","CARI.AOS.reaeration.station.03","2019-05-30T18:37Z","2019-05-30T21:11Z",3,"CARI.13.20190530","CARI.13.20190530.GAS","CARI.13.20190530.TCR",,
"83aef0cb-c8fb-415b-a47a-0e4e55778133","D19","CARI","CARI.AOS.reaeration.station.04","2019-05-30T18:37Z","2019-05-30T21:16Z",1,"CARI.16.20190530","CARI.16.20190530.GAS","CARI.16.20190530.TCR",,
"e6701d57-48f6-4580-9d59-bec7db379b04","D19","CARI","CARI.AOS.reaeration.station.02","2019-05-30T18:37Z","2019-05-30T21:03Z",2,"CARI.07.20190530","CARI.07.20190530.GAS","CARI.07.20190530.TCR",,
"7b7374e2-87b0-4b79-bae8-496eff493716","D19","CARI","CARI.AOS.reaeration.station.01","2019-05-30T18:37Z","2019-05-30T20:51Z",3,"CARI.03.20190530","CARI.03.20190530.GAS","CARI.03.20190530.TCR",,
"8f3261f6-b6b8-4673-9e2a-da34cddc12bd","D19","CARI","CARI.AOS.reaeration.station.03","2019-05-30T18:37Z","2019-05-30T21:11Z",2,"CARI.12.20190530","CARI.12.20190530.GAS","CARI.12.20190530.TCR",,
"38b8d5cb-c1bd-438a-8ab0-9b840866cde1","D19","CARI","CARI.AOS.reaeration.station.01","2019-05-30T18:37Z","2019-05-30T20:51Z",5,"CARI.05.20190530","CARI.05.20190530.GAS","CARI.05.20190530.TCR",,
"8e607e24-a0a8-4e67-b3e3-7580b9488bce","D19","CARI","CARI.AOS.reaeration.station.02","2019-05-30T18:37Z","2019-05-30T21:03Z",3,"CARI.08.20190530","CARI.08.20190530.GAS","CARI.08.20190530.TCR",,
