uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"db03d1cc-0336-401a-8d14-195d8f0bddc6","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",25,4.60,
"b1f6dd22-1b30-4d3c-b04e-6e682ab9cbac","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",10,4.00,
"3dcdb0c0-c7a5-41a7-a368-de6500dfbe73","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",7,6.40,
"7d999948-5fcb-4bbc-be50-6faa161bbe11","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",19,1.60,
"b1409ef7-e212-4ac3-8394-621c1a42fecc","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",18,2.90,
"913c51a9-6c3f-4cf1-bd1d-f6d80407b3d0","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",8,2.30,
"5cb5e35a-9611-430b-b3e3-19a482b8de0a","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",27,4.10,
"c6109e9c-ddae-45c8-8b36-559dc0c2b095","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",12,4.80,
"3879072d-10a4-4c73-94b3-0cd3184b0a6f","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",17,2.40,
"4c0e6dae-7f98-4e27-aeda-0807af89fc21","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",20,3.50,
"6c53eeea-d346-43e3-b3e6-e7ca4d5190db","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",1,2.40,
"8581d1a0-54be-4828-8731-b793322cf905","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",26,7.00,
"785b4c57-b2a0-469c-8b1f-3622ce3b9684","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",2,2.90,
"26753828-c9cb-4f61-af0b-065bcbcd63ad","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",4,4.70,
"f21ae7e5-9ff7-480a-98e4-ae1b4991db06","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",22,3.60,
"a719c496-f5d3-4d34-936a-57cda4a74553","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",30,2.80,
"77070ec6-9009-4a37-9d88-9377e5fbdc41","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",16,3.70,
"271510a5-2464-4935-9f63-e26c6c1ce2e9","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",29,4.80,
"83d96a0f-d0ad-4ba3-b06b-3584430fb507","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",9,3.10,
"60b2a968-d422-4b5d-b9d7-e9b8333a41b6","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",11,2.90,
"08cf53fb-6fe4-4839-853e-fa9628a37e09","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",3,1.90,
"9c470e66-4868-4c1a-a8d9-b66f897d6d3e","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",21,2.40,
"42847d96-8626-4923-9195-b317d3e9adfc","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",6,4.00,
"0499e78c-65b5-457d-87e5-047d2d063915","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",23,4.20,
"677cc271-e999-486e-a440-2e480bc0274f","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",13,1.80,
"1d46187f-5f6a-4184-a33d-192134b149d0","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",14,3.10,
"2b174cff-898b-43a8-b548-e7c428b60689","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",28,3.50,
"b7fe4191-e2e2-4b5e-909e-1abef030eede","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",15,2.80,
"5798a67e-0bf5-40aa-9e24-a9d39889072c","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",24,3.10,
"dfd98e70-bdf1-4baa-be3b-85dd44ba91b7","D19","CARI","CARI","2020-08-14T19:41Z","Laser Rangefinder",5,3.50,
