uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"6afe42a9-bc1a-4cda-9788-7492645d44a1","D13","COMO","COMO.AOS.reaeration.station.03","2017-08-02T16:02Z","2017-08-02T18:04Z",1,"COMO.11.20170802","COMO.11.20170802.GAS","COMO.11.20170802.TCR",,
"84da7a48-4bf2-43e9-bc34-34820964ba03","D13","COMO","COMO.AOS.reaeration.station.02","2017-08-02T16:02Z","2017-08-02T17:59Z",2,"COMO.07.20170802","COMO.07.20170802.GAS","COMO.07.20170802.TCR",,
"01a8a2b5-451d-49dd-9ab1-78206e23f4b3","D13","COMO","COMO.AOS.reaeration.station.04","2017-08-02T16:02Z","2017-08-02T18:08Z",2,"COMO.17.20170802","COMO.17.20170802.GAS","COMO.17.20170802.TCR",,
"38142f13-c6da-441a-adbd-03a97fc96aa1","D13","COMO","COMO.AOS.reaeration.station.03","2017-08-02T16:02Z","2017-08-02T18:04Z",5,"COMO.15.20170802","COMO.15.20170802.GAS","COMO.15.20170802.TCR",,
"d28eab20-07d9-4aba-bacb-950910425b60","D13","COMO","COMO.AOS.reaeration.station.01","2017-08-02T16:02Z","2017-08-02T17:52Z",4,"COMO.04.20170802","COMO.04.20170802.GAS","COMO.04.20170802.TCR",,
"0dc2cdcc-18a9-4b93-80cb-156464b97b55","D13","COMO","COMO.AOS.reaeration.station.03","2017-08-02T16:02Z","2017-08-02T18:04Z",4,"COMO.14.20170802","COMO.14.20170802.GAS","COMO.14.20170802.TCR",,
"b37ab142-7550-4344-ab96-26298e69cdb7","D13","COMO","COMO.AOS.reaeration.station.03","2017-08-02T16:02Z","2017-08-02T18:04Z",3,"COMO.13.20170802","COMO.13.20170802.GAS","COMO.13.20170802.TCR",,
"8b6d4195-32ab-4438-87c1-cfd59d525ae0","D13","COMO","COMO.AOS.reaeration.station.02","2017-08-02T16:02Z","2017-08-02T17:59Z",4,"COMO.09.20170802","COMO.09.20170802.GAS","COMO.09.20170802.TCR",,
"1c0e8370-b9ce-4a4e-80e3-5112588e69c5","D13","COMO","COMO.AOS.reaeration.station.01","2017-08-02T16:02Z","2017-08-02T17:52Z",5,"COMO.05.20170802","COMO.05.20170802.GAS","COMO.05.20170802.TCR",,
"71537d30-f77f-4b70-b7eb-af83463f55bc","D13","COMO","COMO.AOS.reaeration.station.04","2017-08-02T16:02Z","2017-08-02T18:08Z",5,"COMO.20.20170802","COMO.20.20170802.GAS","COMO.20.20170802.TCR",,
