uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"2b4cbe83-d059-4961-b7df-50a5f16f434d","D13","COMO","COMO","2018-08-06T15:31Z",,23,2.10,
"d4b29315-227d-423e-a341-72921bd1160f","D13","COMO","COMO","2018-08-06T15:31Z",,27,2.70,
"469b2c23-95bf-4698-8d7c-0b6839bfbc21","D13","COMO","COMO","2018-08-06T15:31Z",,19,0.90,
"0a85dae7-8b04-4b7d-b257-9cecce2edb4c","D13","COMO","COMO","2018-08-06T15:31Z",,20,1.90,
"885584cc-90c5-4467-9775-d0681874c0ea","D13","COMO","COMO","2018-08-06T15:31Z",,9,2.00,
"afdf12d6-dd60-499d-bf29-79f199c09802","D13","COMO","COMO","2018-08-06T15:31Z",,14,1.00,
"14d1b0a5-f1d7-49ac-a309-efae910cde30","D13","COMO","COMO","2018-08-06T15:31Z",,17,0.80,
"1c7596b9-b4ab-455d-aeba-2c47c3e6278c","D13","COMO","COMO","2018-08-06T15:31Z",,4,0.90,
"9583bc41-1baf-41da-b491-e21b5220f608","D13","COMO","COMO","2018-08-06T15:31Z",,21,2.00,
"81ae23db-bea1-4782-8124-0c5170e9bb97","D13","COMO","COMO","2018-08-06T15:31Z",,28,2.40,
"99d3caac-67d1-4efa-bf51-427466d6aeb2","D13","COMO","COMO","2018-08-06T15:31Z",,6,1.90,
"64044ac9-60f7-46ba-9cad-b33c3c437ce8","D13","COMO","COMO","2018-08-06T15:31Z",,29,2.60,
"75621428-c0ba-4697-a7ad-821f2a8bcb57","D13","COMO","COMO","2018-08-06T15:31Z",,3,1.10,
"5f9ead1f-3bc6-4c4c-a0b6-08f23b071c95","D13","COMO","COMO","2018-08-06T15:31Z",,2,1.80,
"a93e1939-6ab5-4f5c-bba6-e1ae5518d066","D13","COMO","COMO","2018-08-06T15:31Z",,10,1.20,
"122f7113-50a5-4efb-8973-72c3db2c448f","D13","COMO","COMO","2018-08-06T15:31Z",,24,1.90,
"1fb1ede4-5b73-4d2f-bc61-8772cc6b4b19","D13","COMO","COMO","2018-08-06T15:31Z",,5,2.00,
"0e4f54b6-2887-4616-931e-1039146167aa","D13","COMO","COMO","2018-08-06T15:31Z",,7,1.30,
"17e50155-b405-4802-af2c-7f5907103667","D13","COMO","COMO","2018-08-06T15:31Z",,26,1.40,
"eeb86af2-ffa3-4956-8d88-94599ed83e16","D13","COMO","COMO","2018-08-06T15:31Z",,8,1.90,
"e164ab16-11a5-4252-a036-35b832fe7fb0","D13","COMO","COMO","2018-08-06T15:31Z",,22,1.70,
"97722c71-da97-43fe-8a6a-0338920b7fb8","D13","COMO","COMO","2018-08-06T15:31Z",,25,1.70,
"6f2eb1e5-2ae5-4453-b364-281df716389d","D13","COMO","COMO","2018-08-06T15:31Z",,1,1.60,
"e89cf271-95d5-4310-82a4-cf5ca801cf17","D13","COMO","COMO","2018-08-06T15:31Z",,16,1.70,
"681a53fc-cf17-4517-969b-7ac1be41483e","D13","COMO","COMO","2018-08-06T15:31Z",,12,1.80,
"f0c9261f-b0d0-4096-a782-568e437a00c8","D13","COMO","COMO","2018-08-06T15:31Z",,30,2.50,
"b6d19d01-dbde-45c3-84c0-d5c6f86600df","D13","COMO","COMO","2018-08-06T15:31Z",,11,1.40,
"38156653-404b-49c6-b984-b77491971f83","D13","COMO","COMO","2018-08-06T15:31Z",,18,1.40,
"02046f76-5b48-43a9-8500-25d2b73c6cc4","D13","COMO","COMO","2018-08-06T15:31Z",,13,1.60,
"6d6ef19f-db8a-4a29-ab7a-b23a1ec68f46","D13","COMO","COMO","2018-08-06T15:31Z",,15,1.60,
