uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"688d1141-e19e-4ce7-a53b-b72b2d86ffd9","D13","COMO","COMO.AOS.reaeration.station.03","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.12.20191009.TCR","A00000093396","bromide",0.59213,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"ee1ca52f-051f-4eba-a7c9-654b01eb3601","D13","COMO","COMO.AOS.reaeration.station.02","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.06.20191009.TCR","A00000093376","bromide",0.68512,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"8b76a25b-84af-4900-bf1d-d41d384a7e58","D13","COMO","COMO.AOS.reaeration.station.02","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.09.20191009.TCR","A00000093378","bromide",0.63391,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"7f3efe6e-d151-415b-b28b-dbb6fde79f57","D13","COMO","COMO.AOS.reaeration.station.03","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.15.20191009.TCR","A00000093364","bromide",0.60695,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"132c67b7-224f-4608-a2e2-1e66b0cd2d9f","D13","COMO","COMO.AOS.reaeration.station.04","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.17.20191009.TCR","A00000093365","bromide",0.52609,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"86df0ca6-25bc-4965-be06-d2e54c350f4c","D13","COMO","COMO.AOS.reaeration.station.03","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.13.20191009.TCR","A00000093363","bromide",0.68782,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"92b52096-9f4f-46f5-a2ab-739cd9a7fcd5","D13","COMO","COMO.AOS.reaeration.station.02","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.10.20191009.TCR","A00000093395","bromide",0.60561,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"e6761c25-e7f3-4839-8ef9-102ad56b46b7","D13","COMO","COMO.AOS.reaeration.station.02","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.B2.20191009.TCR","A00000093389","bromide",,1,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"1a6ace8a-2fa8-4e0b-bdd4-c95dc11b1cea","D13","COMO","COMO.AOS.reaeration.station.03","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.11.20191009.TCR","A00000093379","bromide",0.60965,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"60620494-9af0-4124-8729-74850c1be7a3","D13","COMO","COMO.AOS.reaeration.station.01","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.01.20191009.TCR","A00000093391","bromide",0.65951,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"fdef0ad2-3826-4845-bcbc-dc63c4f126c8","D13","COMO","COMO.AOS.reaeration.station.04","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.18.20191009.TCR","A00000093366","bromide",0.54496,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"bd3c4811-2a90-4cd5-910d-a07ec487b189","D13","COMO","COMO","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.00.20191009.TCR","A00000093373","bromide",632.810,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"57c9abbc-0261-45ca-929a-dcec77ace02e","D13","COMO","COMO.AOS.reaeration.station.04","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.20.20191009.TCR","A00000093367","bromide",0.52339,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"167e3b61-7541-4b0b-b14c-e6e9256adb8c","D13","COMO","COMO.AOS.reaeration.station.01","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.B1.20191009.TCR","A00000093380","bromide",,1,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"d8f5e344-e537-49c1-be37-7c75fc190bb9","D13","COMO","COMO.AOS.reaeration.station.03","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.B3.20191009.TCR","A00000093372","bromide",,1,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"e9b5f99e-9f56-47ad-95f1-ac51eeb87a9b","D13","COMO","COMO.AOS.reaeration.station.01","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.03.20191009.TCR","A00000093375","bromide",0.59078,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"c1be2068-871e-42cb-9c0c-56e9b2ba5c51","D13","COMO","COMO.AOS.reaeration.station.02","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.08.20191009.TCR","A00000093394","bromide",0.65412,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"af0161fc-52dd-4857-95da-ac339cb89a05","D13","COMO","COMO.AOS.reaeration.station.01","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.05.20191009.TCR","A00000093393","bromide",0.59887,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"03fcc961-c228-4a87-9ae8-4d1124229ac6","D13","COMO","COMO.AOS.reaeration.station.04","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.B4.20191009.TCR","A00000093390","bromide",,1,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"0d894fe7-a7a0-47cb-9217-d202d589c68a","D13","COMO","COMO.AOS.reaeration.station.02","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.07.20191009.TCR","A00000093377","bromide",0.60156,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"8a58a432-bc7c-4f75-91af-227ae4d59b08","D13","COMO","COMO.AOS.reaeration.station.03","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.14.20191009.TCR","A00000093381","bromide",0.62852,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"d39fd60c-51f8-498a-a229-d8020db19347","D13","COMO","COMO.AOS.reaeration.station.04","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.16.20191009.TCR","A00000093382","bromide",0.64199,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"03d30a1b-8046-46bf-9f64-2b534f3009b7","D13","COMO","COMO.AOS.reaeration.station.01","2019-10-09T17:18Z","Loecke Lab at University of Kansas","COMO.04.20191009.TCR","A00000093392","bromide",0.63795,0,"2019-11-21T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
