uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"41b8a2ee-cd9a-4461-918f-993cdedf05c8","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",4,2.40,
"19861ca9-0e0f-43d3-8d55-694afc1763e1","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",11,3.26,
"0e1b326f-204c-42ea-ae4c-fd647974a0b7","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",30,2.40,
"2b50e0bc-f489-4b51-a239-528743c6175d","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",2,6.60,
"703d5ed7-dc1e-491e-ac5b-8e8ce29cbf42","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",27,3.10,
"aed2eaf1-841c-4e82-b38a-717673e83ed9","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",22,4.35,
"3032ab72-c4a9-45d4-b643-1591b9df1128","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",1,3.15,
"486b44ae-6ce4-4fa0-9102-b2de18017a94","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",13,2.70,
"42e9a505-aec4-42b5-8932-4075c796a40a","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",7,4.40,
"149ecaf4-695a-4034-afa9-59aa64ae0c54","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",14,2.50,
"6292de39-cdc4-4afb-bfe3-70ada60cfcfb","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",17,5.20,
"6d6025e5-af19-4d26-8e25-45c72c8f4699","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",15,4.90,
"4dbcc898-e4dc-4db1-ac72-4a63143d1410","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",21,6.00,
"6264cde3-950d-463e-97a0-66b206910820","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",5,3.30,
"429ffcf8-99d1-4e61-b858-21c07614220e","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",12,4.00,
"027b1747-f2a9-47c4-b407-545f6c1040d7","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",20,6.45,
"a004eeb9-0409-4c86-a5c1-ea322a899446","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",24,7.15,
"18eb23e9-f3c6-4826-9fb1-d8a03d550dfd","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",6,6.40,
"4e0e076c-55c5-4227-8829-5f84b2bf395e","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",3,3.55,
"0777f18d-a165-40cf-82d9-be09786351b8","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",8,2.80,
"76bca5e7-198c-4117-8367-2f37bc03f792","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",28,4.45,
"fad7f948-5558-4842-9f16-51a972e5358a","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",29,5.15,
"8f6b53a1-2655-4c9a-97a1-37a74187ce19","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",9,2.90,
"d7871215-df26-4ac1-88c7-3b5f40f43175","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",18,6.60,
"4d656b1f-a41b-48c0-8bff-0e5fd0a1f839","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",16,2.25,
"33dc4085-2986-428b-9772-c7be9799c56e","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",19,6.70,
"75abb37f-c8af-485c-ab01-2cc63611c8ae","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",25,6.25,
"7e751c8d-8d5c-41b0-8175-a16428e35ca4","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",10,3.60,
"3ad588cf-2e62-4756-8a7c-25fb4f417ca4","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",23,6.80,
"b978a463-08c6-41ba-862c-6a5ee035190c","D04","CUPE","CUPE","2021-11-01T12:01Z","Tape",26,4.26,
