uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"64fb819f-5257-49fd-9256-8eac77747359","D04","GUIL","GUIL.AOS.reaeration.station.04","2019-03-07T12:55Z","2019-03-07T15:17Z",1,"GUIL.16.20190307","GUIL.16.20190307.GAS","GUIL.16.20190307.TCR",,
"cdb319a1-3fbe-425e-8d75-9a8a059677d4","D04","GUIL","GUIL.AOS.reaeration.station.03","2019-03-07T12:55Z","2019-03-07T15:12Z",4,"GUIL.14.20190307","GUIL.14.20190307.GAS","GUIL.14.20190307.TCR",,
"f00676f1-e890-4baf-a818-1a30612d4b57","D04","GUIL","GUIL.AOS.reaeration.station.02","2019-03-07T12:55Z","2019-03-07T14:51Z",3,"GUIL.08.20190307","GUIL.08.20190307.GAS","GUIL.08.20190307.TCR",,
"13223076-7fcc-4256-bc5a-e8d8bace2b7e","D04","GUIL","GUIL.AOS.reaeration.station.02","2019-03-07T12:55Z","2019-03-07T14:51Z",1,"GUIL.06.20190307","GUIL.06.20190307.GAS","GUIL.06.20190307.TCR",,
"bfbb9dd4-f34d-4035-acb8-0bb1e4acfcda","D04","GUIL","GUIL.AOS.reaeration.station.03","2019-03-07T12:55Z","2019-03-07T15:12Z",5,"GUIL.15.20190307","GUIL.15.20190307.GAS","GUIL.15.20190307.TCR",,
"f32da5c7-cbbb-432d-83ed-963d4718ee80","D04","GUIL","GUIL.AOS.reaeration.station.01","2019-03-07T12:55Z","2019-03-07T14:46Z",2,"GUIL.02.20190307","GUIL.02.20190307.GAS","GUIL.02.20190307.TCR",,
"d773b064-8cce-43bb-927d-b5c63651b45f","D04","GUIL","GUIL.AOS.reaeration.station.01","2019-03-07T12:55Z","2019-03-07T14:46Z",4,"GUIL.04.20190307","GUIL.04.20190307.GAS","GUIL.04.20190307.TCR",,
"5116e752-c9e1-4adc-97cb-b060edfd2e84","D04","GUIL","GUIL.AOS.reaeration.station.04","2019-03-07T12:55Z","2019-03-07T15:17Z",3,"GUIL.18.20190307","GUIL.18.20190307.GAS","GUIL.18.20190307.TCR",,
"b02ea55b-79a2-4d91-9196-5198260b4d19","D04","GUIL","GUIL.AOS.reaeration.station.02","2019-03-07T12:55Z","2019-03-07T14:51Z",4,"GUIL.09.20190307","GUIL.09.20190307.GAS","GUIL.09.20190307.TCR",,
"19d6a09b-d250-4403-ba3e-2bcc10bdd40d","D04","GUIL","GUIL.AOS.reaeration.station.01","2019-03-07T12:55Z","2019-03-07T14:46Z",5,"GUIL.05.20190307","GUIL.05.20190307.GAS","GUIL.05.20190307.TCR",,
"a4e88cd9-fa83-4ad3-8867-3fef1c3935cd","D04","GUIL","GUIL.AOS.reaeration.station.03","2019-03-07T12:55Z","2019-03-07T15:12Z",2,"GUIL.12.20190307","GUIL.12.20190307.GAS","GUIL.12.20190307.TCR",,
"a20ef087-547a-4132-a837-1d28b65deb9a","D04","GUIL","GUIL.AOS.reaeration.station.03","2019-03-07T12:55Z","2019-03-07T15:12Z",3,"GUIL.13.20190307","GUIL.13.20190307.GAS","GUIL.13.20190307.TCR",,
"cbb4d644-8dd5-48c1-ac9b-b0e011169e52","D04","GUIL","GUIL.AOS.reaeration.station.04","2019-03-07T12:55Z","2019-03-07T15:17Z",2,"GUIL.17.20190307","GUIL.17.20190307.GAS","GUIL.17.20190307.TCR",,
"a9cfb1b1-3dcc-43b9-8544-55470f1c27df","D04","GUIL","GUIL.AOS.reaeration.station.01","2019-03-07T12:55Z","2019-03-07T14:46Z",3,"GUIL.03.20190307","GUIL.03.20190307.GAS","GUIL.03.20190307.TCR",,
"b82c2376-0af5-4486-8e81-af3e0c582b03","D04","GUIL","GUIL.AOS.reaeration.station.02","2019-03-07T12:55Z","2019-03-07T14:51Z",5,"GUIL.10.20190307","GUIL.10.20190307.GAS","GUIL.10.20190307.TCR",,
"5801f9a9-6635-4003-bc41-35846d171416","D04","GUIL","GUIL.AOS.reaeration.station.01","2019-03-07T12:55Z","2019-03-07T14:46Z",1,"GUIL.01.20190307","GUIL.01.20190307.GAS","GUIL.01.20190307.TCR",,
"123a050d-af00-486c-8dfb-905645e62573","D04","GUIL","GUIL.AOS.reaeration.station.02","2019-03-07T12:55Z","2019-03-07T14:51Z",2,"GUIL.07.20190307","GUIL.07.20190307.GAS","GUIL.07.20190307.TCR",,
"564144e6-8483-446c-b978-d3a553f3939b","D04","GUIL","GUIL.AOS.reaeration.station.03","2019-03-07T12:55Z","2019-03-07T15:12Z",1,"GUIL.11.20190307","GUIL.11.20190307.GAS","GUIL.11.20190307.TCR",,
"0afe1db9-946d-41c6-9223-93a1b805b6ff","D04","GUIL","GUIL.AOS.reaeration.station.04","2019-03-07T12:55Z","2019-03-07T15:17Z",5,"GUIL.20.20190307","GUIL.20.20190307.GAS","GUIL.20.20190307.TCR",,
"0cc5fddf-c551-4513-b6e8-f13f35298344","D04","GUIL","GUIL.AOS.reaeration.station.04","2019-03-07T12:55Z","2019-03-07T15:17Z",4,"GUIL.19.20190307","GUIL.19.20190307.GAS","GUIL.19.20190307.TCR",,
