uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"d3c93aab-5f86-4444-8d9c-a90cd35a8b41","D01","HOPB","HOPB","2020-11-12T15:50Z","Loecke Lab at University of Kansas","HOPB.00.20201112.TCR","A00000157230","bromide",7659.900,0,"2020-12-16T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"7a8ce22f-3cbf-4348-8097-3355e25fa3d7","D01","HOPB","HOPB.AOS.reaeration.station.04","2020-11-12T15:50Z","Loecke Lab at University of Kansas","HOPB.B4.20201112.TCR","A00000157220","bromide",,1,"2020-12-16T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"321892d4-a3f1-456b-a125-7084ac58988f","D01","HOPB","HOPB.AOS.reaeration.station.01","2020-11-12T15:50Z","Loecke Lab at University of Kansas","HOPB.02.20201112.TCR","A00000157227","bromide",0.4439,0,"2020-12-16T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"56584887-06bf-49ce-8aa7-3d583eafddf5","D01","HOPB","HOPB.AOS.reaeration.station.01","2020-11-12T15:50Z","Loecke Lab at University of Kansas","HOPB.04.20201112.TCR","A00000157221","bromide",0.46921,0,"2020-12-16T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"f3082483-66cc-407f-916c-f316b297af87","D01","HOPB","HOPB.AOS.reaeration.station.03","2020-11-12T15:50Z","Loecke Lab at University of Kansas","HOPB.13.20201112.TCR","A00000157225","bromide",0.41719,0,"2020-12-16T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"8fb7130b-11ce-4a02-a315-52262c5681f7","D01","HOPB","HOPB.AOS.reaeration.station.02","2020-11-12T15:50Z","Loecke Lab at University of Kansas","HOPB.10.20201112.TCR","A00000157226","bromide",0.37502,0,"2020-12-16T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"8970c598-9b25-4cd9-864a-32c1a700e721","D01","HOPB","HOPB.AOS.reaeration.station.01","2020-11-12T15:50Z","Loecke Lab at University of Kansas","HOPB.03.20201112.TCR","A00000157231","bromide",0.43266,0,"2020-12-16T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"c27e83af-f812-4cd6-abf0-118d970e9c0a","D01","HOPB","HOPB.AOS.reaeration.station.02","2020-11-12T15:50Z","Loecke Lab at University of Kansas","HOPB.08.20201112.TCR","A00000157215","bromide",0.41579,0,"2020-12-16T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"a631532c-a1b4-41c8-904f-251ecaece8e2","D01","HOPB","HOPB.AOS.reaeration.station.04","2020-11-12T15:50Z","Loecke Lab at University of Kansas","HOPB.19.20201112.TCR","A00000157218","bromide",0.50998,0,"2020-12-16T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"13dda114-6010-43d3-9b25-b280c195ebde","D01","HOPB","HOPB.AOS.reaeration.station.04","2020-11-12T15:50Z","Loecke Lab at University of Kansas","HOPB.17.20201112.TCR","A00000157236","bromide",0.39762,0,"2021-02-09T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2021-02-09",0
