uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"6e14ce90-18ea-4d5c-856b-63b194fd6b49","D01","HOPB","HOPB.AOS.reaeration.station.04","2021-08-16T16:15Z","2021-08-16T19:05Z",5,"HOPB.20.20210816","HOPB.20.20210816.GAS","HOPB.20.20210816.TCR",,
"cacf7f3c-f15e-47a4-b5a7-d6cc185d2102","D01","HOPB","HOPB.AOS.reaeration.station.04","2021-08-16T16:15Z","2021-08-16T19:05Z",4,"HOPB.19.20210816","HOPB.19.20210816.GAS","HOPB.19.20210816.TCR",,
"c723403b-74e0-4b1f-ae5e-0a84f6e5bf5f","D01","HOPB","HOPB.AOS.reaeration.station.02","2021-08-16T16:15Z","2021-08-16T18:53Z",5,"HOPB.10.20210816","HOPB.10.20210816.GAS","HOPB.10.20210816.TCR",,
"73092b91-3bdf-42d2-959a-9b2cc9ef5058","D01","HOPB","HOPB.AOS.reaeration.station.01","2021-08-16T16:15Z","2021-08-16T18:47Z",4,"HOPB.04.20210816","HOPB.04.20210816.GAS","HOPB.04.20210816.TCR",,
"f988f673-cd5b-47f0-a6e9-c2b201b8e6a7","D01","HOPB","HOPB.AOS.reaeration.station.04","2021-08-16T16:15Z","2021-08-16T19:05Z",2,"HOPB.17.20210816","HOPB.17.20210816.GAS","HOPB.17.20210816.TCR",,
"424c499c-7d73-4689-9f65-b64b8fdf1da0","D01","HOPB","HOPB.AOS.reaeration.station.03","2021-08-16T16:15Z","2021-08-16T18:59Z",1,"HOPB.11.20210816","HOPB.11.20210816.GAS","HOPB.11.20210816.TCR",,
"9c26afa2-2209-436f-afcc-36234faf95ce","D01","HOPB","HOPB.AOS.reaeration.station.02","2021-08-16T16:15Z","2021-08-16T18:53Z",4,"HOPB.09.20210816","HOPB.09.20210816.GAS","HOPB.09.20210816.TCR",,
"bdd4a005-370c-4e48-be45-4b77a7ce0f2d","D01","HOPB","HOPB.AOS.reaeration.station.03","2021-08-16T16:15Z","2021-08-16T18:59Z",3,"HOPB.13.20210816","HOPB.13.20210816.GAS","HOPB.13.20210816.TCR",,
"9b5c4813-ea6c-4fae-8172-b034254f2e97","D01","HOPB","HOPB.AOS.reaeration.station.02","2021-08-16T16:15Z","2021-08-16T18:53Z",2,"HOPB.07.20210816","HOPB.07.20210816.GAS","HOPB.07.20210816.TCR",,
"2aeaa8cd-f2b1-4429-90c2-22adcbac82cb","D01","HOPB","HOPB.AOS.reaeration.station.01","2021-08-16T16:15Z","2021-08-16T18:47Z",1,"HOPB.01.20210816","HOPB.01.20210816.GAS","HOPB.01.20210816.TCR",,
"41aad2d0-c17f-4419-b0d4-9b86b93309ce","D01","HOPB","HOPB.AOS.reaeration.station.03","2021-08-16T16:15Z","2021-08-16T18:59Z",2,"HOPB.12.20210816","HOPB.12.20210816.GAS","HOPB.12.20210816.TCR",,
"5b2aa057-c4a7-4274-9581-029a4e945303","D01","HOPB","HOPB.AOS.reaeration.station.01","2021-08-16T16:15Z","2021-08-16T18:47Z",5,"HOPB.05.20210816","HOPB.05.20210816.GAS","HOPB.05.20210816.TCR",,
"e01a709e-620c-45ed-8645-fcb4dd278131","D01","HOPB","HOPB.AOS.reaeration.station.03","2021-08-16T16:15Z","2021-08-16T18:59Z",4,"HOPB.14.20210816","HOPB.14.20210816.GAS","HOPB.14.20210816.TCR",,
"4fa920e6-8542-4db7-ba42-07d1c9cc5a3a","D01","HOPB","HOPB.AOS.reaeration.station.04","2021-08-16T16:15Z","2021-08-16T19:05Z",1,"HOPB.16.20210816","HOPB.16.20210816.GAS","HOPB.16.20210816.TCR",,
"856239f0-2216-4559-8151-f172d422b584","D01","HOPB","HOPB.AOS.reaeration.station.01","2021-08-16T16:15Z","2021-08-16T18:47Z",2,"HOPB.02.20210816","HOPB.02.20210816.GAS","HOPB.02.20210816.TCR",,
"e3bee0ed-7438-43bb-b7b3-00b1ba5559e9","D01","HOPB","HOPB.AOS.reaeration.station.02","2021-08-16T16:15Z","2021-08-16T18:53Z",1,"HOPB.06.20210816","HOPB.06.20210816.GAS","HOPB.06.20210816.TCR",,
"07f6495e-e278-4f0e-955b-da72337bde30","D01","HOPB","HOPB.AOS.reaeration.station.02","2021-08-16T16:15Z","2021-08-16T18:53Z",3,"HOPB.08.20210816","HOPB.08.20210816.GAS","HOPB.08.20210816.TCR",,
"cd92022a-5e82-4e1e-8c50-d208cad9e058","D01","HOPB","HOPB.AOS.reaeration.station.01","2021-08-16T16:15Z","2021-08-16T18:47Z",3,"HOPB.03.20210816","HOPB.03.20210816.GAS","HOPB.03.20210816.TCR",,
"9496a681-73d8-4e4d-9c69-ec86fe53848b","D01","HOPB","HOPB.AOS.reaeration.station.03","2021-08-16T16:15Z","2021-08-16T18:59Z",5,"HOPB.15.20210816","HOPB.15.20210816.GAS","HOPB.15.20210816.TCR",,
"a38213db-8c4c-4441-8c55-10a5c483ff34","D01","HOPB","HOPB.AOS.reaeration.station.04","2021-08-16T16:15Z","2021-08-16T19:05Z",3,"HOPB.18.20210816","HOPB.18.20210816.GAS","HOPB.18.20210816.TCR",,
