uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"2e539c05-a9f0-4bca-8727-75dfcc40129b","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",12,6.80,
"b4a49ed9-700f-4dee-b753-a9d860e55e58","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",14,5.60,
"9e21047b-09a4-4ba8-9334-7ce65f657fa5","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",21,4.40,
"301d8ed1-37db-47b8-83bc-cdd8bd3f48e3","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",18,3.50,
"69465762-e603-4064-b84c-36efe424695f","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",30,4.30,
"22b5ba72-9e9b-4184-aadf-462dba2fd0f6","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",11,4.70,
"031b06c3-97c1-49e8-82bf-5cf6e090ca52","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",22,5.80,
"b292aba5-6fbe-4e83-898f-b9e8481bd31c","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",26,5.80,
"3eab1095-deea-417c-b8ea-270290c0dbb0","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",3,5.00,
"b13917fc-8737-4c99-ad38-a380a1d9310a","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",29,4.80,
"545e17a6-515b-449b-96fd-cf48b035d277","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",1,5.00,
"29b17119-12e2-49ea-a333-0409325ab23d","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",23,6.30,
"141795d8-7640-4c95-9ed4-9592627a5bc1","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",10,5.10,
"ca8de51c-b746-4182-bba0-7f70ebfaa1f3","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",20,5.70,
"6c4a65ea-b76d-4032-a3c0-9163cb04938f","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",25,4.50,
"f74de943-5fb4-4a2d-8750-7b94c3bd38bc","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",28,5.10,
"3052a124-2bbe-47c4-8f03-243078956543","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",4,4.90,
"f42cc283-0c83-4fce-932b-04a6584d6652","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",5,4.70,
"1bd7e00b-cc37-47a8-87d9-4258880db1b2","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",13,5.50,
"dd1b662c-6d10-4e6c-8a46-9e7a472f2083","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",17,5.60,
"4c134686-1e91-4cb5-8704-8b7379d33051","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",7,4.60,
"250f3ae1-25c9-4409-a39d-4063d13a7f4b","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",6,5.20,
"3a127c43-5ce9-4a88-89d6-a9a43fdf71d2","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",8,5.30,
"a7afcc79-cbfe-4d46-8abc-ef76660e585b","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",15,5.45,
"32093bf1-9f89-454c-8566-22dc109ce31c","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",9,3.60,
"90127aba-8c01-4a20-ad0a-18b3681b09d7","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",27,7.60,
"0f5cd3e2-4534-4184-9edb-60aacfd21bb9","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",19,4.65,
"9c41c8a6-1fba-4c67-aab2-928306a73bca","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",24,4.50,
"1d17141f-ef43-483b-b6e4-0a9bfa6a888a","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",2,4.60,
"af765302-7380-43fa-97ca-48d4398c6db7","D01","HOPB","HOPB","2022-05-31T15:39Z","Tape",16,4.60,
