uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"380390ac-8763-4552-83fb-35bffd3cd76c","D06","KING","KING.AOS.reaeration.station.03","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.11.20160519.TCR",,"bromide",0.000,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"6d00e35f-3fa2-4962-8ab3-dbe021c53a6e","D06","KING","KING.AOS.reaeration.station.02","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.07.20160519.TCR",,"bromide",0.000,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"733e9423-0c94-4aa6-89b0-cdb59319debf","D06","KING","KING.AOS.reaeration.station.04","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.17.20160519.TCR",,"bromide",0.000,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"b6eab5d7-e61f-430c-bc36-02ffe39eaa37","D06","KING","KING.AOS.reaeration.station.04","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.19.20160519.TCR",,"bromide",0.000,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"387ec343-0fda-40ad-8149-f400e5a35615","D06","KING","KING.AOS.reaeration.station.03","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.15.20160519.TCR",,"bromide",0.000,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"f05be394-0b4e-4531-a491-21c8c15a176d","D06","KING","KING.AOS.reaeration.station.04","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.16.20160519.TCR",,"bromide",0.000,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"9c46ba46-bae7-478e-ba49-86cc12689201","D06","KING","KING.AOS.reaeration.station.01","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.02.20160519.TCR",,"bromide",0.192,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"dfb0972d-0654-497e-952d-06b8c6e4d984","D06","KING","KING.AOS.reaeration.station.01","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.05.20160519.TCR",,"bromide",0.000,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"79fe7d64-1509-429d-b68f-7b88aa455d73","D06","KING","KING.AOS.reaeration.station.02","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.10.20160519.TCR",,"bromide",0.000,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"1959a130-37a3-4b9d-84fd-520ccb6bf798","D06","KING","KING.AOS.reaeration.station.01","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.01.20160519.TCR",,"bromide",0.165,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"8ba08d3c-397d-4e77-bbb8-0fcf3a4bc3da","D06","KING","KING.AOS.reaeration.station.04","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.20.20160519.TCR",,"bromide",0.162,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"ec39c7a6-5ace-420d-8594-c9507429c183","D06","KING","KING.AOS.reaeration.station.03","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.14.20160519.TCR",,"bromide",0.159,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"b40ef288-1156-40fd-9965-07482ee4b51c","D06","KING","KING.AOS.reaeration.station.02","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.09.20160519.TCR",,"bromide",0.199,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"a59a7393-6409-4418-a71a-b3ec855e2ce2","D06","KING","KING.AOS.reaeration.station.02","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.B2.20160519.TCR",,"bromide",0.000,,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,
"ef075082-8f72-4681-8274-92ed78eb771c","D06","KING","KING.AOS.reaeration.station.03","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.13.20160519.TCR",,"bromide",0.000,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"d839183f-9649-4499-99c5-72db0280eb77","D06","KING","KING.AOS.reaeration.station.04","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.B4.20160519.TCR",,"bromide",0.000,,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,
"0c00cfb7-6a46-4e6f-8750-9385215333ac","D06","KING","KING.AOS.reaeration.station.04","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.18.20160519.TCR",,"bromide",0.174,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"cb81d461-57e8-4d0d-a0b5-8e6f7179f82e","D06","KING","KING.AOS.reaeration.station.01","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.B1.20160519.TCR",,"bromide",0.000,,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,
"cdacce8a-2f0c-4157-9bcc-0858cf21cfb0","D06","KING","KING.AOS.reaeration.station.03","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.12.20160519.TCR",,"bromide",0.000,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"93032905-b37e-489d-80ef-d145107642b6","D06","KING","KING.AOS.reaeration.station.01","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.03.20160519.TCR",,"bromide",0.165,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"20ec5ce2-27c2-4e69-a822-1ec695ab7f75","D06","KING","KING.AOS.reaeration.station.02","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.06.20160519.TCR",,"bromide",0.207,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"0fb4eaaf-cecc-4ef3-a2fa-0d860ef7d416","D06","KING","KING.AOS.reaeration.station.03","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.B3.20160519.TCR",,"bromide",0.000,,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,
"e466959c-207d-4ff8-b3eb-ca79f5f32a2c","D06","KING","KING.AOS.reaeration.station.02","2016-05-19T14:00Z","Loecke Lab at University of Kansas","KING.08.20160519.TCR",,"bromide",0.000,0,"2017-05-08T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
