uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"52695907-9004-4a86-8f54-c06519a03345","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",7,4.40,
"58016445-101c-46e3-add1-18f12ed4be2f","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",22,4.10,
"50152088-d8f3-432b-9c63-f9b7d1e72fca","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",12,7.10,
"5b2ea5fb-cb7a-4fe9-a59e-45882879a71f","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",16,8.10,
"1437b755-9860-4167-8697-a138f02f6f4f","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",27,4.70,
"846bae0a-356f-4bd9-8e8d-ca989530ee9b","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",5,5.80,
"efb89912-1cd5-4a84-9f0b-087e102d8519","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",11,7.20,
"e100092c-c342-4a83-948f-2d89bb8405f5","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",4,8.30,
"3e6fe9b1-c115-459c-8bbd-ad59913353c6","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",17,3.70,
"0f8e80a0-f26f-4a02-8001-74b7cae199ea","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",9,7.70,
"3dbf2a7d-fa12-4861-9899-338a085adfa8","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",21,6.50,
"8d055bc9-0abc-49ea-b32b-1a873cca8c4f","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",15,7.00,
"428bd69d-0e8a-4152-bb71-ee5082f87170","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",19,10.00,
"7c3a1691-9631-4354-aace-9d42e5dd5185","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",18,9.80,
"5c736ccf-2df5-4dba-ae68-f9988eb0d6c7","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",20,8.90,
"c4a429e0-936b-4f0a-8737-0d498a3035a9","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",26,3.90,
"348a7708-0933-429e-bf45-afe47fa781dc","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",3,5.90,
"3660fd83-e0bb-4697-83fc-631361554975","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",8,7.30,
"ef8309d8-6fda-40cc-a33f-aed16729e83d","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",28,6.20,
"8a0c0ad0-a722-408f-beef-619f3ae86f00","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",2,8.10,
"ff0e673a-58ab-431c-8dab-1f8bc081b541","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",1,5.30,
"65eff417-80f3-4036-a66a-e0d162a7125a","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",10,7.80,
"1009357d-a124-4576-bc27-a63e22128a2d","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",29,5.20,
"4cf385f1-2642-43b9-8262-7c89b8ba1595","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",14,5.60,
"ffa29f46-2223-4726-a8a2-821d34b82ae3","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",25,4.40,
"1704c6f3-0744-4164-87b9-ad836764534d","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",24,5.40,
"a52ad9d4-0b3a-438a-9a8b-dadfd3a0cab2","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",23,4.60,
"d21b8079-6e09-4fc0-b9fa-1cdf003929db","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",30,5.30,
"e8028ecc-36a2-486f-bee9-ac4bd8a2134e","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",6,8.00,
"53c8479a-ac63-4665-b8e4-d1ebfcd3633f","D07","LECO","LECO","2020-06-18T15:39Z","Laser Rangefinder",13,6.30,
