uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"701c727b-1627-431b-be28-9cafa080e2c6","D07","LECO","LECO.AOS.reaeration.station.03","2020-11-17T16:58Z","Loecke Lab at University of Kansas","LECO.13.20201117.TCR","A00000213384","chloride",3.6491,0,"2020-12-08T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"999164db-0801-4968-91dd-5e9474978850","D07","LECO","LECO.AOS.reaeration.station.03","2020-11-17T16:58Z","Loecke Lab at University of Kansas","LECO.15.20201117.TCR","A00000213400","chloride",3.3027,0,"2020-12-08T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"1225cd3b-ba9b-4b62-aaf7-bfefa61dc657","D07","LECO","LECO.AOS.reaeration.station.01","2020-11-17T16:58Z","Loecke Lab at University of Kansas","LECO.03.20201117.TCR","A00000213418","chloride",3.5832,0,"2020-12-08T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"72503d77-d14d-4309-8bfe-6c57ab6969c1","D07","LECO","LECO.AOS.reaeration.station.03","2020-11-17T16:58Z","Loecke Lab at University of Kansas","LECO.B3.20201117.TCR","A00000213428","chloride",0.45333,0,"2020-12-08T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"97f55f2f-0fd1-4326-ae25-ca7215237f06","D07","LECO","LECO.AOS.reaeration.station.01","2020-11-17T16:58Z","Loecke Lab at University of Kansas","LECO.02.20201117.TCR","A00000213430","chloride",3.4964,0,"2020-12-08T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"ca6eb8ca-dd9b-4589-b984-54d35c4076c4","D07","LECO","LECO.AOS.reaeration.station.02","2020-11-17T16:58Z","Loecke Lab at University of Kansas","LECO.07.20201117.TCR","A00000144341","chloride",3.6444,0,"2020-12-08T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"c70f3e70-fba3-4ab8-807f-250515ecaefb","D07","LECO","LECO","2020-11-17T16:58Z","Loecke Lab at University of Kansas","LECO.00.20201117.TCR","A00000213398","chloride",84999.000,0,"2020-12-08T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"445997b1-436a-4aa6-9a4f-6a5a51355f90","D07","LECO","LECO.AOS.reaeration.station.02","2020-11-17T16:58Z","Loecke Lab at University of Kansas","LECO.09.20201117.TCR","A00000144317","chloride",3.4559,0,"2020-12-08T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"38ca8ddd-966b-4c77-ae2a-6eb323484f1d","D07","LECO","LECO.AOS.reaeration.station.03","2020-11-17T16:58Z","Loecke Lab at University of Kansas","LECO.11.20201117.TCR","A00000213415","chloride",3.3484,0,"2020-12-08T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"ecb71735-1754-40e9-8a77-a201f22576bb","D07","LECO","LECO.AOS.reaeration.station.02","2020-11-17T16:58Z","Loecke Lab at University of Kansas","LECO.B2.20201117.TCR","A00000213386","chloride",0.47473,0,"2020-12-08T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
