uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"8794df60-d06a-48ad-a85f-b908f5031e96","D02","LEWI","LEWI.AOS.reaeration.station.03","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.12.20160920.TCR",,"chloride",36.470,0,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,-1
"83d1fe9a-74df-4857-a4d7-009971696442","D02","LEWI","LEWI.AOS.reaeration.station.02","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.08.20160920.TCR",,"chloride",36.970,0,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,-1
"a3f98172-544b-4976-9f7d-62a54600136b","D02","LEWI","LEWI.AOS.reaeration.station.02","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.10.20160920.TCR",,"chloride",36.660,0,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,-1
"d79f7b00-e8e5-4512-9817-3c60d439793b","D02","LEWI","LEWI.AOS.reaeration.station.02","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.B2.20160920.TCR",,"chloride",29.530,,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,
"b73b657b-b65f-470b-ba2b-195a070a06ab","D02","LEWI","LEWI.AOS.reaeration.station.03","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.11.20160920.TCR",,"chloride",36.670,0,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,-1
"a8e04fb4-0658-43e9-842e-af471dca8582","D02","LEWI","LEWI.AOS.reaeration.station.03","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.14.20160920.TCR",,"chloride",36.670,0,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,-1
"78f90c7f-0712-467a-a029-7728a142fb9e","D02","LEWI","LEWI.AOS.reaeration.station.01","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.02.20160920.TCR",,"chloride",22.690,0,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,-1
"0d741e44-6f06-48ee-9a6b-1df38f6134ea","D02","LEWI","LEWI.AOS.reaeration.station.01","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.B1.20160920.TCR",,"chloride",30.010,,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,
"288a14d3-1f49-496a-818a-f424674d2293","D02","LEWI","LEWI.AOS.reaeration.station.01","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.01.20160920.TCR",,"chloride",35.940,0,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,-1
"07b1e03e-133d-4af4-823f-fcd8c05d64d3","D02","LEWI","LEWI.AOS.reaeration.station.04","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.16.20160920.TCR",,"chloride",32.820,0,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,-1
"ee30eee3-8550-4280-91b1-223bd61f56d7","D02","LEWI","LEWI.AOS.reaeration.station.04","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.20.20160920.TCR",,"chloride",36.620,0,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,-1
"5656e590-602e-4975-8ca0-3b20ba914124","D02","LEWI","LEWI.AOS.reaeration.station.01","2016-09-20T08:33Z","Loecke Lab at University of Kansas","LEWI.03.20160920.TCR",,"chloride",37.140,0,"2017-01-03T12:00Z","6ghQmyGM7glXjfGXDO98ng==","OK",,,-1
