uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"7612a3a7-56dc-41ae-8664-20843a455e1d","D16","MART","MART.AOS.reaeration.station.01","2017-07-25T18:00Z","2017-07-25T21:34Z",4,"MART.04.20170725","MART.04.20170725.GAS","MART.04.20170725.TCR",,
"0f24ca17-11d3-4ebb-9c73-fd13ee2d15e1","D16","MART","MART.AOS.reaeration.station.02","2017-07-25T18:00Z","2017-07-25T21:32Z",2,"MART.07.20170725","MART.07.20170725.GAS","MART.07.20170725.TCR",,
"d00485ab-cb56-4988-9121-2ad5ff0a01fd","D16","MART","MART.AOS.reaeration.station.04","2017-07-25T18:00Z","2017-07-25T21:59Z",5,"MART.20.20170725","MART.20.20170725.GAS","MART.20.20170725.TCR",,
"834bab27-0268-49c3-bfa6-7e5803630df5","D16","MART","MART.AOS.reaeration.station.02","2017-07-25T18:00Z","2017-07-25T21:32Z",4,"MART.09.20170725","MART.09.20170725.GAS","MART.09.20170725.TCR",,
"d91a04d4-d857-424d-ab03-7af286c3189c","D16","MART","MART.AOS.reaeration.station.01","2017-07-25T18:00Z","2017-07-25T21:34Z",2,"MART.02.20170725","MART.02.20170725.GAS","MART.02.20170725.TCR",,
"77e4f890-d018-4c64-84b9-ccca264119de","D16","MART","MART.AOS.reaeration.station.01","2017-07-25T18:00Z","2017-07-25T21:34Z",3,"MART.03.20170725","MART.03.20170725.GAS","MART.03.20170725.TCR",,
"4d148e60-877a-4d5e-99d2-b64e59995093","D16","MART","MART.AOS.reaeration.station.01","2017-07-25T18:00Z","2017-07-25T21:34Z",5,"MART.05.20170725","MART.05.20170725.GAS","MART.05.20170725.TCR",,
"e59334ec-cb37-4616-b7f1-ad49bb364955","D16","MART","MART.AOS.reaeration.station.01","2017-07-25T18:00Z","2017-07-25T21:34Z",1,"MART.01.20170725","MART.01.20170725.GAS","MART.01.20170725.TCR",,
"e002bb94-b4e4-4976-8034-98f774bf7693","D16","MART","MART.AOS.reaeration.station.03","2017-07-25T18:00Z","2017-07-25T21:51Z",4,"MART.14.20170725","MART.14.20170725.GAS","MART.14.20170725.TCR",,
"6b368b01-c097-49f5-9c24-a12a45dc8cc5","D16","MART","MART.AOS.reaeration.station.02","2017-07-25T18:00Z","2017-07-25T21:32Z",3,"MART.08.20170725","MART.08.20170725.GAS","MART.08.20170725.TCR",,
"8433bcc7-393c-42f9-862a-98f63d7e8cf4","D16","MART","MART.AOS.reaeration.station.04","2017-07-25T18:00Z","2017-07-25T21:59Z",1,"MART.16.20170725","MART.16.20170725.GAS","MART.16.20170725.TCR",,
"80acf06e-cfdc-42f0-8d3c-b8c71f98e98f","D16","MART","MART.AOS.reaeration.station.03","2017-07-25T18:00Z","2017-07-25T21:51Z",5,"MART.15.20170725","MART.15.20170725.GAS","MART.15.20170725.TCR",,
"c28d569c-01f4-4ab8-a413-bb797426292c","D16","MART","MART.AOS.reaeration.station.02","2017-07-25T18:00Z","2017-07-25T21:32Z",1,"MART.06.20170725","MART.06.20170725.GAS","MART.06.20170725.TCR",,
"46c86bfd-94c3-4c07-9754-54fe441b82d4","D16","MART","MART.AOS.reaeration.station.03","2017-07-25T18:00Z","2017-07-25T21:51Z",3,"MART.13.20170725","MART.13.20170725.GAS","MART.13.20170725.TCR",,
"286ae470-ffaa-48c8-9c4c-1406c27a798d","D16","MART","MART.AOS.reaeration.station.04","2017-07-25T18:00Z","2017-07-25T21:59Z",4,"MART.19.20170725","MART.19.20170725.GAS","MART.19.20170725.TCR",,
"881d3193-fa05-48dc-8e01-70473ada6792","D16","MART","MART.AOS.reaeration.station.02","2017-07-25T18:00Z","2017-07-25T21:32Z",5,"MART.10.20170725","MART.10.20170725.GAS","MART.10.20170725.TCR",,
"38106c45-085f-46ce-8323-5c155213c63e","D16","MART","MART.AOS.reaeration.station.03","2017-07-25T18:00Z","2017-07-25T21:51Z",2,"MART.12.20170725","MART.12.20170725.GAS","MART.12.20170725.TCR",,
"ae9dba33-4ddd-4c8c-8e24-f8367a65657e","D16","MART","MART.AOS.reaeration.station.04","2017-07-25T18:00Z","2017-07-25T21:59Z",2,"MART.17.20170725","MART.17.20170725.GAS","MART.17.20170725.TCR",,
"2298f2b7-ba54-4c7f-a229-70d4ccdf40e4","D16","MART","MART.AOS.reaeration.station.03","2017-07-25T18:00Z","2017-07-25T21:51Z",1,"MART.11.20170725","MART.11.20170725.GAS","MART.11.20170725.TCR",,
"89f18727-daab-4e91-905c-11625a6da96c","D16","MART","MART.AOS.reaeration.station.04","2017-07-25T18:00Z","2017-07-25T21:59Z",3,"MART.18.20170725","MART.18.20170725.GAS","MART.18.20170725.TCR",,
