uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"8119e25f-0cf0-4390-b7ca-b8577b353dec","D16","MART","MART.AOS.reaeration.station.01","2020-03-09T19:05Z","Aquatic Biogeochemistry Lab at Utah State University","MART.02.20200309.TCR","A00000107044","bromide",0.171,0,"2020-08-21T18:00Z","LIkHXDtHFXY=","OK",,,1
"c0d0a6f2-557f-401c-87d8-2bc116062f57","D16","MART","MART.AOS.reaeration.station.04","2020-03-09T19:05Z","Aquatic Biogeochemistry Lab at Utah State University","MART.20.20200309.TCR","A00000107047","bromide",0.1759,0,"2020-08-21T18:00Z","LIkHXDtHFXY=","OK",,,1
"a6b0a78f-eb7a-434c-b90b-381fd3aeb875","D16","MART","MART.AOS.reaeration.station.02","2020-03-09T19:05Z","Aquatic Biogeochemistry Lab at Utah State University","MART.10.20200309.TCR","A00000107040","bromide",0.1613,0,"2020-08-21T18:00Z","LIkHXDtHFXY=","OK",0.1649,,1
"110a3d53-25c0-4785-bb8d-31fd10fd209d","D16","MART","MART.AOS.reaeration.station.04","2020-03-09T19:05Z","Aquatic Biogeochemistry Lab at Utah State University","MART.18.20200309.TCR","A00000107036","bromide",0.2192,0,"2020-08-21T18:00Z","LIkHXDtHFXY=","OK",,,1
"3c0961a4-794a-43db-9691-d7e2898231c1","D16","MART","MART.AOS.reaeration.station.01","2020-03-09T19:05Z","Aquatic Biogeochemistry Lab at Utah State University","MART.04.20200309.TCR","A00000107046","bromide",0.1733,0,"2020-08-21T18:00Z","LIkHXDtHFXY=","OK",,,1
"3937349c-95af-42a8-a738-e5753ead0c6d","D16","MART","MART.AOS.reaeration.station.03","2020-03-09T19:05Z","Aquatic Biogeochemistry Lab at Utah State University","MART.14.20200309.TCR","A00000107029","bromide",0.155,0,"2020-08-21T18:00Z","LIkHXDtHFXY=","OK",,,1
"ca1fd9c8-8246-4ecd-a252-dc518e0bfb37","D16","MART","MART.AOS.reaeration.station.01","2020-03-09T19:05Z","Aquatic Biogeochemistry Lab at Utah State University","MART.01.20200309.TCR","A00000107037","bromide",0.1785,0,"2020-08-21T18:00Z","LIkHXDtHFXY=","OK",,,1
"8ef41ea1-9245-4c6d-b906-0a189a552a5d","D16","MART","MART.AOS.reaeration.station.02","2020-03-09T19:05Z","Aquatic Biogeochemistry Lab at Utah State University","MART.06.20200309.TCR","A00000107064","bromide",0.1675,0,"2020-08-21T18:00Z","LIkHXDtHFXY=","OK",,,1
"072ee56b-754e-435c-aeb1-0c27ed1f3c0a","D16","MART","MART.AOS.reaeration.station.02","2020-03-09T19:05Z","Aquatic Biogeochemistry Lab at Utah State University","MART.07.20200309.TCR","A00000107063","bromide",0.1678,0,"2020-08-21T18:00Z","LIkHXDtHFXY=","OK",,,1
"805e3441-255b-42d4-b1d8-3adae80b7398","D16","MART","MART.AOS.reaeration.station.02","2020-03-09T19:05Z","Aquatic Biogeochemistry Lab at Utah State University","MART.B2.20200309.TCR","A00000107041","bromide",0.0516,0,"2020-08-21T18:00Z","LIkHXDtHFXY=","OK",,,1
