uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"75e3f814-5844-4607-baad-30123bd7f0f1","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",29,5.60,
"088c1865-ec9c-4a30-a21c-86249622b370","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",18,7.80,
"044c1e51-7f69-4778-b404-3a552c2c6d5d","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",27,4.60,
"e22c6011-08c3-457b-88c0-18cdf49beba8","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",13,6.50,
"836c40eb-d41d-41e4-9c4b-187e50c53a7d","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",30,5.90,
"6ee86863-f29d-4ec0-bbf8-50c6abe94322","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",23,4.70,
"c1590a28-555a-49e6-a921-6e62763ce910","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",9,4.90,
"bdcf5298-f2a3-42be-ba5e-9006dd2e1032","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",22,5.20,
"7d562697-6a52-4ec0-9e2e-61d3542acc3e","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",6,3.60,
"e0b0d17a-b7cc-43f3-91b9-66fefcb7da76","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",14,5.70,
"06e2157a-bff6-4210-832f-e33201f21cc5","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",2,5.00,
"45a95e83-b0fb-4576-b959-d28446d2eb9f","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",8,7.10,
"8e15a3fa-9ee3-4d92-8807-4a447aa54a8c","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",24,5.00,
"ca98a248-acb5-4e9c-87c8-e3098f199e2b","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",26,5.80,
"838259d2-ce29-427d-8307-696de695076d","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",25,4.30,
"962a6620-b2d6-4b9d-8473-8695444838eb","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",15,3.90,
"82e73139-44e5-4a89-84e9-6201d574ce12","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",28,4.30,
"8aa48a71-001f-4975-8035-41c2a416fd22","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",3,5.30,
"7ba6be9b-4063-4b36-897c-f6aa5b8372ce","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",20,5.30,
"9f78f9ef-dfeb-4cf8-a988-2c63acd69b75","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",4,5.60,
"d8d2cbea-691e-4a2e-b85b-df35e67cbdfb","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",21,5.00,
"c12c2762-2167-431b-8221-3784d0be011b","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",1,4.90,
"7216825e-f420-4cac-992c-93968efcb6ef","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",19,5.00,
"0eebb96e-c6dd-4793-b2c8-af49e4eaccfc","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",7,5.80,
"4bfd52fd-08d4-4f4d-bbb8-bf4f61a4d520","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",17,9.90,
"d5c11ad7-8165-4f9d-9cae-13c65f516f64","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",11,6.10,
"21e85bf2-14d6-4e0f-ab15-a72310625956","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",5,5.10,
"e61a55d8-2a17-481d-90e3-de7e1a1d87ad","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",10,5.10,
"a24faaba-d417-4875-bb5c-c4c1ececb423","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",16,3.90,
"1934371d-bcfa-4886-b233-329feb8e8afe","D16","MART","MART","2020-11-24T19:40Z","Laser Rangefinder",12,7.50,
