uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"5c6cb9b5-ec9b-4e1a-b8d2-ceed636b2d11","D08","MAYF","MAYF.AOS.reaeration.station.01","2017-07-31T15:39Z","Loecke Lab at University of Kansas","MAYF.02.20170731.TCR",,"chloride",4.9047,0,"2017-11-03T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"f10031de-4152-4416-a1c5-df6dfd1e65a1","D08","MAYF","MAYF.AOS.reaeration.station.03","2017-07-31T15:39Z","Loecke Lab at University of Kansas","MAYF.12.20170731.TCR",,"chloride",5.7241,0,"2017-11-03T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"c02d57fc-52fb-44ee-82b0-ed4850127552","D08","MAYF","MAYF.AOS.reaeration.station.02","2017-07-31T15:39Z","Loecke Lab at University of Kansas","MAYF.B2.20170731.TCR",,"chloride",1.6357,0,"2017-11-03T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"4b2a3e5c-36ca-4ac5-8395-ff0f9e293985","D08","MAYF","MAYF.AOS.reaeration.station.02","2017-07-31T15:39Z","Loecke Lab at University of Kansas","MAYF.06.20170731.TCR",,"chloride",5.424,0,"2017-11-03T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"a36df867-80d7-4262-b319-367a7006002b","D08","MAYF","MAYF.AOS.reaeration.station.03","2017-07-31T15:39Z","Loecke Lab at University of Kansas","MAYF.15.20170731.TCR",,"chloride",6.1067,0,"2017-11-03T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"7cb3c126-0287-4f79-aabe-2b64cb8d1708","D08","MAYF","MAYF.AOS.reaeration.station.04","2017-07-31T15:39Z","Loecke Lab at University of Kansas","MAYF.20.20170731.TCR",,"chloride",6.2334,0,"2017-11-03T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"2f37e512-3a8c-44cb-ab1e-e71c70f2b49e","D08","MAYF","MAYF.AOS.reaeration.station.04","2017-07-31T15:39Z","Loecke Lab at University of Kansas","MAYF.16.20170731.TCR",,"chloride",6.2656,0,"2017-11-03T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"d65489c6-5d77-4f85-847e-cadb66828e63","D08","MAYF","MAYF.AOS.reaeration.station.03","2017-07-31T15:39Z","Loecke Lab at University of Kansas","MAYF.13.20170731.TCR",,"chloride",5.9255,0,"2017-12-13T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,"NA re-analyzed on 2017-12-13",-1
"02165b58-1622-4ae9-804a-749769d69423","D08","MAYF","MAYF.AOS.reaeration.station.04","2017-07-31T15:39Z","Loecke Lab at University of Kansas","MAYF.18.20170731.TCR",,"chloride",5.5256,0,"2017-11-03T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"7035bfbb-51ff-4d40-a8bc-4fce21609c13","D08","MAYF","MAYF.AOS.reaeration.station.01","2017-07-31T15:39Z","Loecke Lab at University of Kansas","MAYF.01.20170731.TCR",,"chloride",5.2315,0,"2017-11-03T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
