uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"4ff75949-f695-41a2-b601-1e63db735ff5","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.B4.20190906.TCR","A00000080322","bromide",,1,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"2df2dcc4-6bf2-4113-b154-9a415decc522","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.B2.20190906.TCR","A00000080320","bromide",,1,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"bd1d7b08-cfec-40e0-94dd-11c1e651d601","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.15.20190906.TCR","A00000080338","bromide",0.11774,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"c4012b74-36ef-4a23-a482-79b2b79b1d6b","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.16.20190906.TCR","A00000080339","bromide",0.10708,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"10bfd25d-daf5-4b9d-b2b5-cd1500362ea6","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.04.20190906.TCR","A00000080327","bromide",0.084413,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"cae3dd54-d644-4db9-b666-105c83ee8306","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.14.20190906.TCR","A00000080337","bromide",0.10441,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"c8a7043d-d761-4d43-90f7-336938bcf35e","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.12.20190906.TCR","A00000080335","bromide",0.069748,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"5021b428-f120-4021-91f7-46a2c5d051f0","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.09.20190906.TCR","A00000080332","bromide",0.08308,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"aedab2f5-353b-4442-aa5d-2d21845edc7a","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.18.20190906.TCR","A00000137364","bromide",0.089745,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"808745fa-665c-4888-875b-3258c80fc0b7","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.06.20190906.TCR","A00000080329","bromide",0.064416,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"609fe981-7618-4f21-aefd-ad85f331885c","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.03.20190906.TCR","A00000080326","bromide",0.10841,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"63a737e3-f636-4b9c-a94c-2953f37b6cfc","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.02.20190906.TCR","A00000080325","bromide",0.095078,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"2c1f11ba-8e81-4baf-a836-16a746438224","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.11.20190906.TCR","A00000080334","bromide",0.1404,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"e4810b87-9bec-449e-95a1-779eca1f34a4","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.B1.20190906.TCR","A00000137363","bromide",,1,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"97c3f980-5b2f-4cd6-95a9-af214246c3fa","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.B3.20190906.TCR","A00000080321","bromide",,1,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"362841bb-956d-4280-93b8-b5df4a449638","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.10.20190906.TCR","A00000080333","bromide",0.13374,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"5e1dee55-d9c1-449e-8223-d50ad6d0208c","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.07.20190906.TCR","A00000080330","bromide",0.1364,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"79cd4e19-0bda-44bb-9d03-3b0ee3759cf8","D06","MCDI","MCDI","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.00.20190906.TCR","A00000080323","bromide",6347.500,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"dd7ef965-1b8e-4aea-8cf5-53b50bd1ea5b","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.01.20190906.TCR","A00000080324","bromide",0.07908,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"aa871d0d-d948-4fc1-8513-b6ae58395817","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.13.20190906.TCR","A00000080336","bromide",0.12174,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"c494a89d-8ed4-4ce1-90a2-c5a601505663","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.20.20190906.TCR","A00000137366","bromide",0.091079,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"7d922547-2ab3-46cb-a13b-110d370de714","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.17.20190906.TCR","A00000080340","bromide",0.071082,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"542bc4ff-0fba-416b-8b77-e2bd4a5977f9","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.19.20190906.TCR","A00000137365","bromide",0.088412,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"e596f143-e1f8-4bc5-ba1f-1dfd76c3a503","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.08.20190906.TCR","A00000080331","bromide",0.11641,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"119ff14f-e0fc-43ba-9ad8-87d7bd87074a","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-06T14:53Z","Loecke Lab at University of Kansas","MCDI.05.20190906.TCR","A00000080328","bromide",0.080413,0,"2019-11-20T18:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,"NA re-analyzed on 2019-11-20",0
"bdb2e702-87d0-48b0-a447-67c1be06a1d2","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.06.20190923.TCR","A00000137411","bromide",0.12077,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"952478ba-e92d-4e7d-8496-4b30a7a10bb0","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.09.20190923.TCR","A00000137414","bromide",0.10417,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"c92fecb8-f9f1-4b99-9201-92152da3699c","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.B3.20190923.TCR","A00000137428","bromide",,1,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"d7df92b3-23a0-4808-8318-0aab8acb52c0","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.08.20190923.TCR","A00000137413","bromide",0.096618,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"7a4021bf-e682-446c-a997-b8dd300ada1d","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.20.20190923.TCR","A00000137425","bromide",0.086051,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"480dce98-71b6-443b-b785-45fede2c9111","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.14.20190923.TCR","A00000137419","bromide",0.10266,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"9dad8034-7529-4c13-9ede-f5199bdd5c43","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.10.20190923.TCR","A00000137415","bromide",0.095109,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"3a14c38d-e779-4fe7-9ae5-0c0d24f93878","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.17.20190923.TCR","A00000137422","bromide",0.069444,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"746e97de-9914-4036-b321-6ccf45fb139f","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.B1.20190923.TCR","A00000137426","bromide",,1,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"e50d0c07-6913-41a5-b3f8-a1a2c5f3ee66","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.15.20190923.TCR","A00000137420","bromide",0.078502,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"9cb99c66-0e54-40dc-bc09-b9d8634047f7","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.12.20190923.TCR","A00000137417","bromide",0.11021,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"b3ea62ea-5668-403a-87c9-c8f9723fd2f5","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.13.20190923.TCR","A00000137418","bromide",0.11171,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"8df2ff77-7e36-4cb7-bd70-d3d22e509f30","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.07.20190923.TCR","A00000137412","bromide",0.096618,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"86bef147-611e-4033-9e0c-4cb22fb9d8a0","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.18.20190923.TCR","A00000137423","bromide",0.084541,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"b48ebcf4-c420-4e62-826c-d11fd8e1543d","D06","MCDI","MCDI","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.00.20190923.TCR","A00000137430","bromide",1486.300,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"ba038fa2-b31e-48f1-818a-d70d8110cdb5","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.03.20190923.TCR","A00000137408","bromide",0.098128,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"848e8a7b-b0b1-4474-95b3-b98f12a465e1","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.01.20190923.TCR","A00000137406","bromide",0.1404,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"626091ab-2588-4ff5-acc3-7a1b4a1dc72c","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.19.20190923.TCR","A00000137424","bromide",0.083031,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"10918566-7cad-4dc0-98c6-4f56167e886d","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.16.20190923.TCR","A00000137421","bromide",0.09058,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"6d41529a-1a35-46e7-89f7-639dfaf8886b","D06","MCDI","MCDI.AOS.reaeration.station.03","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.11.20190923.TCR","A00000137416","bromide",0.1253,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"b139f104-f95f-4393-b0f2-a76be7cd8df8","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.04.20190923.TCR","A00000137409","bromide",0.092089,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"54b6a1d0-21ad-4c15-9233-5e788fce85d1","D06","MCDI","MCDI.AOS.reaeration.station.02","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.B2.20190923.TCR","A00000137427","bromide",0.004529,1,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"a50e42fc-628f-476b-b45c-1e53822d331e","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.02.20190923.TCR","A00000137407","bromide",0.09058,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"b9762762-6a15-4dcb-a95e-6be81ac7b212","D06","MCDI","MCDI.AOS.reaeration.station.01","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.05.20190923.TCR","A00000137410","bromide",0.13436,0,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
"c09e18fc-3865-4abb-a789-f872bbfdb1c3","D06","MCDI","MCDI.AOS.reaeration.station.04","2019-09-23T15:09Z","Loecke Lab at University of Kansas","MCDI.B4.20190923.TCR","A00000137429","bromide",,1,"2019-11-01T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,0
