uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"fdd09b8d-364b-4463-a76e-3ff836547831","D16","MCRA","MCRA.AOS.reaeration.station.02","2018-01-30T18:01Z","2018-01-30T18:59Z",2,"MCRA.07.20180130","MCRA.07.20180130.GAS","MCRA.07.20180130.TCR",,
"a58ef891-35d4-43ea-983a-67b95b97e86c","D16","MCRA","MCRA.AOS.reaeration.station.03","2018-01-30T18:01Z","2018-01-30T19:06Z",1,"MCRA.11.20180130","MCRA.11.20180130.GAS","MCRA.11.20180130.TCR",,
"83449f46-65d5-4760-846c-000ca0885de0","D16","MCRA","MCRA.AOS.reaeration.station.02","2018-01-30T18:01Z","2018-01-30T18:59Z",5,"MCRA.10.20180130","MCRA.10.20180130.GAS","MCRA.10.20180130.TCR",,
"97028be9-506e-4073-8b49-ae673142d154","D16","MCRA","MCRA.AOS.reaeration.station.03","2018-01-30T18:01Z","2018-01-30T19:06Z",4,"MCRA.14.20180130","MCRA.14.20180130.GAS","MCRA.14.20180130.TCR",,
"f02e0b99-f697-4778-86d2-486e18cacef0","D16","MCRA","MCRA.AOS.reaeration.station.04","2018-01-30T18:01Z","2018-01-30T19:13Z",4,"MCRA.19.20180130","MCRA.19.20180130.GAS","MCRA.19.20180130.TCR",,
"1c0e4664-2c5d-4dfb-808b-75a58df382f8","D16","MCRA","MCRA.AOS.reaeration.station.02","2018-01-30T18:01Z","2018-01-30T18:59Z",3,"MCRA.08.20180130","MCRA.08.20180130.GAS","MCRA.08.20180130.TCR",,
"ab2de652-ad82-446f-ae1c-9f1742c39237","D16","MCRA","MCRA.AOS.reaeration.station.04","2018-01-30T18:01Z","2018-01-30T19:13Z",3,"MCRA.18.20180130","MCRA.18.20180130.GAS","MCRA.18.20180130.TCR",,
"8718d955-2e5c-4e6a-93b2-7c486d760b6a","D16","MCRA","MCRA.AOS.reaeration.station.01","2018-01-30T18:01Z","2018-01-30T18:53Z",2,"MCRA.02.20180130","MCRA.02.20180130.GAS","MCRA.02.20180130.TCR",,
"8b79c05e-66c8-4824-bf42-e13b3d002a3c","D16","MCRA","MCRA.AOS.reaeration.station.04","2018-01-30T18:01Z","2018-01-30T19:13Z",2,"MCRA.17.20180130","MCRA.17.20180130.GAS","MCRA.17.20180130.TCR",,
"04701439-bd64-45a1-8edb-58fbacd871a0","D16","MCRA","MCRA.AOS.reaeration.station.03","2018-01-30T18:01Z","2018-01-30T19:06Z",2,"MCRA.12.20180130","MCRA.12.20180130.GAS","MCRA.12.20180130.TCR",,
"ceb1af75-eb98-4ded-a78c-aa48709731ba","D16","MCRA","MCRA.AOS.reaeration.station.01","2018-01-30T18:01Z","2018-01-30T18:53Z",4,"MCRA.04.20180130","MCRA.04.20180130.GAS","MCRA.04.20180130.TCR",,
"218bb99e-b540-4f44-89af-61cf789ac7cc","D16","MCRA","MCRA.AOS.reaeration.station.04","2018-01-30T18:01Z","2018-01-30T19:13Z",1,"MCRA.16.20180130","MCRA.16.20180130.GAS","MCRA.16.20180130.TCR",,
"96222e68-a15c-4081-960c-0767197a8709","D16","MCRA","MCRA.AOS.reaeration.station.04","2018-01-30T18:01Z","2018-01-30T19:13Z",5,"MCRA.20.20180130","MCRA.20.20180130.GAS","MCRA.20.20180130.TCR",,
"73d21aaf-9cae-43fe-95f7-2acd00743a9a","D16","MCRA","MCRA.AOS.reaeration.station.03","2018-01-30T18:01Z","2018-01-30T19:06Z",3,"MCRA.13.20180130","MCRA.13.20180130.GAS","MCRA.13.20180130.TCR",,
"55dc4ed9-9edc-4f7c-bc38-bccb6075da55","D16","MCRA","MCRA.AOS.reaeration.station.01","2018-01-30T18:01Z","2018-01-30T18:53Z",1,"MCRA.01.20180130","MCRA.01.20180130.GAS","MCRA.01.20180130.TCR",,
"b8416050-c40f-47b5-ac8d-f6d94d0c15ac","D16","MCRA","MCRA.AOS.reaeration.station.01","2018-01-30T18:01Z","2018-01-30T18:53Z",3,"MCRA.03.20180130","MCRA.03.20180130.GAS","MCRA.03.20180130.TCR",,
"9f5db354-d46e-4ed9-a3d7-39dd43d43c3c","D16","MCRA","MCRA.AOS.reaeration.station.02","2018-01-30T18:01Z","2018-01-30T18:59Z",4,"MCRA.09.20180130","MCRA.09.20180130.GAS","MCRA.09.20180130.TCR",,
"15f0cb38-4832-4256-a35f-20620365d6d0","D16","MCRA","MCRA.AOS.reaeration.station.03","2018-01-30T18:01Z","2018-01-30T19:06Z",5,"MCRA.15.20180130","MCRA.15.20180130.GAS","MCRA.15.20180130.TCR",,
"ffabb4c5-66ad-4f5c-ba94-774cb6676b49","D16","MCRA","MCRA.AOS.reaeration.station.01","2018-01-30T18:01Z","2018-01-30T18:53Z",5,"MCRA.05.20180130","MCRA.05.20180130.GAS","MCRA.05.20180130.TCR",,
"35359f96-1aa7-4ced-abd2-95920af7f14e","D16","MCRA","MCRA.AOS.reaeration.station.02","2018-01-30T18:01Z","2018-01-30T18:59Z",1,"MCRA.06.20180130","MCRA.06.20180130.GAS","MCRA.06.20180130.TCR",,
