uid,domainID,siteID,namedLocation,startDate,analysisDate,laboratoryName,gasTracerType,gasSampleID,sampleCode,gasTracerConcentration,runDetectionLimit,labStandardPrecision,certifiedStandardAccuracy,sampleCondition,analyticalReplicateGAS,analyzedBy,remarks,gasVolumeAnalyzed,gasCheckStandardQF
"ce05c8f9-ac03-405d-a8c5-bdb79a7d8320","D16","MCRA","MCRA.AOS.reaeration.station.01","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.02.20180610.GAS","A00000024688",3.493,0.050,2.700,2.000,"OK",,,,0.02,-1
"a27350a3-9edb-4559-988f-f33f4c64fd6c","D16","MCRA","MCRA.AOS.reaeration.station.02","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.10.20180610.GAS","A00000024677",2.211,0.050,2.700,2.000,"OK",,,,0.02,-1
"bccaca2c-bda9-4ae2-8399-213c6b1ce147","D16","MCRA","MCRA.AOS.reaeration.station.03","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.11.20180610.GAS","A00000024679",1.180,0.050,2.700,2.000,"OK",,,,0.02,-1
"5f4cb37c-e7cc-428a-88f5-d90c884b67d2","D16","MCRA","MCRA.AOS.reaeration.station.01","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.05.20180610.GAS","A00000024685",3.520,0.050,2.700,2.000,"OK",,,,0.02,-1
"c4e6a522-94c0-4773-8af3-2a5952e8edd2","D16","MCRA","MCRA.AOS.reaeration.station.02","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.09.20180610.GAS","A00000024694",2.132,0.050,2.700,2.000,"OK",,,,0.02,-1
"e9feee6f-8144-499c-aafc-70c510f80ccc","D16","MCRA","MCRA.AOS.reaeration.station.04","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.20.20180610.GAS","A00000024699",0.743,0.050,2.700,2.000,"OK",,,,0.02,-1
"9ed53ae4-1101-46ba-9ad1-da4e03602a30","D16","MCRA","MCRA.AOS.reaeration.station.03","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.14.20180610.GAS","A00000024700",1.173,0.050,2.700,2.000,"OK",,,,0.02,-1
"c30975bf-979e-489e-b6c8-45ff3d362ae1","D16","MCRA","MCRA.AOS.reaeration.station.04","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.16.20180610.GAS","A00000024695",0.814,0.050,2.700,2.000,"OK",,,,0.02,-1
"b7592344-d246-4316-8625-310137d0a701","D16","MCRA","MCRA.AOS.reaeration.station.04","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.18.20180610.GAS","A00000024697",0.762,0.050,2.700,2.000,"OK",,,,0.02,-1
"eeda938a-b5ec-4a37-a1a0-02c3b01ca295","D16","MCRA","MCRA.AOS.reaeration.station.03","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.12.20180610.GAS","A00000024680",1.183,0.050,2.700,2.000,"OK",,,,0.02,-1
"7eadaa42-03e5-46e2-926c-ba6bfe171c85","D16","MCRA","MCRA.AOS.reaeration.station.04","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.19.20180610.GAS","A00000024698",0.760,0.050,2.700,2.000,"OK",,,,0.02,-1
"a383b7bb-4ec7-4791-8428-14071165b6f6","D16","MCRA","MCRA.AOS.reaeration.station.01","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.04.20180610.GAS","A00000024686",3.541,0.050,2.700,2.000,"OK",,,,0.02,-1
"8a31ed1c-6d86-44d0-90e9-4c7596b71d3a","D16","MCRA","MCRA.AOS.reaeration.station.02","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.07.20180610.GAS","A00000024683",2.102,0.050,2.700,2.000,"OK",,,,0.02,-1
"e367d63d-150d-4d93-b259-0c4b0d053cea","D16","MCRA","MCRA.AOS.reaeration.station.02","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.08.20180610.GAS","A00000024678",1.983,0.050,2.700,2.000,"OK",,,,0.02,-1
"a2a9aac5-4883-41cf-bcd9-02bd45cc286b","D16","MCRA","MCRA.AOS.reaeration.station.03","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.13.20180610.GAS","A00000024681",1.231,0.050,2.700,2.000,"OK",,,,0.02,-1
"6737450c-3256-4885-ac54-b8c9f5511b73","D16","MCRA","MCRA.AOS.reaeration.station.03","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.15.20180610.GAS","A00000024682",1.157,0.050,2.700,2.000,"OK",,,,0.02,-1
"3f06ba05-cf9b-45a8-856e-5a9d533b6664","D16","MCRA","MCRA.AOS.reaeration.station.01","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.03.20180610.GAS","A00000024687",3.499,0.050,2.700,2.000,"OK",,,,0.02,-1
"01ae4d12-8505-4144-8b8c-a5df7735023c","D16","MCRA","MCRA.AOS.reaeration.station.04","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.17.20180610.GAS","A00000024696",0.738,0.050,2.700,2.000,"OK",,,,0.02,-1
"4a9c0fa3-8543-409d-a23b-f06c53c518ea","D16","MCRA","MCRA.AOS.reaeration.station.01","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.01.20180610.GAS","A00000024689",3.357,0.050,2.700,2.000,"OK",,,,0.02,-1
"747f58e5-b0f4-48e2-8f1b-7fb35ddda6e7","D16","MCRA","MCRA.AOS.reaeration.station.02","2018-06-10T22:46Z","2018-06-20T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","MCRA.06.20180610.GAS","A00000024684",2.406,0.050,2.700,2.000,"OK",,,,0.02,-1
