uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"0a405e5f-e0d0-4457-b27e-e9574a057bee","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",15,3.50,
"4e53a0a0-ba8a-4070-ab8d-6c724cb8e886","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",26,4.00,
"8c18f704-8bf9-4ed5-b93c-5b4b393f6591","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",5,10.00,
"e92d772f-5a0a-4a38-b01e-3f9eda1ad86c","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",1,5.50,
"dd70c725-4074-4628-80e9-d54cb41b2318","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",21,4.10,
"9cf04cd8-f4f7-4f46-b6ec-ec237c815a58","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",4,6.40,
"d266fb18-c409-44c3-95a0-039965a87bdd","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",30,3.80,
"4c9d691d-843f-4b16-9a20-f999e9976299","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",3,10.70,
"0f319461-a86a-4eab-9523-2580e4010ab4","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",24,8.90,
"005eabc7-e8a6-4e77-a88f-7a1fa4600605","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",8,3.10,
"c4f512f7-c165-4288-bbef-be6a465484ab","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",22,8.40,
"f458dd3f-67c4-4cb5-bffe-536ef6deb1c9","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",18,4.20,
"3c3afd0c-29c2-4233-8032-41f907801a7d","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",7,3.80,
"dfd1a44c-dc89-4c98-bbd4-21e6c4da24c9","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",25,4.40,
"af3241c4-22b9-4f9d-816a-874c7be292ea","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",19,3.60,
"ae158297-78dc-4a8e-bad7-f8fdb57de683","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",29,4.20,
"1764e44e-8350-44a9-853e-37ad805152dd","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",12,6.70,
"e3647239-fa55-4857-9559-b5f77bce8af8","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",2,4.40,
"8f23278e-caf3-499a-a524-59f9682c13a0","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",10,4.40,
"dc293939-55f9-4773-a7db-43a6ddb52c28","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",27,4.20,
"352ec66b-4308-4f3f-8b04-e85092fd3cd5","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",16,6.70,
"9954d7d5-14c8-418c-9857-e9a3efd61661","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",14,3.70,
"9a629109-e339-4fe8-8f1a-0b0e0977fa75","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",23,6.00,
"0b1b59cf-0a85-4a31-bf25-ff0139f69f3a","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",11,2.50,
"78a99be5-03d9-42e1-8743-9581ed4a1463","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",28,5.60,
"af678697-85bb-44b8-b10a-7175880e6930","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",13,4.80,
"1b3abb8f-8c7e-40ce-9b00-1e978977eb05","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",20,3.70,
"df698795-a776-4959-8545-5ab7ce9311b4","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",6,5.20,
"7e3307aa-6c73-4430-99cc-fe8291842674","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",17,4.80,
"96b428e5-aa4a-4cae-8734-c0e061c59a16","D16","MCRA","MCRA","2019-09-18T15:32Z","Laser Rangefinder",9,5.80,
