uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"f2980a57-a593-4244-85d5-b76f910419ac","D16","MCRA","MCRA.AOS.reaeration.station.01","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296846","bromide",0.397,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",0.393,,1
"77e5ae4c-de9a-4f7b-82f9-245c8ac57bf2","D16","MCRA","MCRA.AOS.reaeration.station.01","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296807","bromide",0.059,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,1
"4094e302-211f-43d0-ae3f-eb7ad2fbf0e2","D16","MCRA","MCRA.AOS.reaeration.station.02","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296832","bromide",0.366,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
"4c983aaa-bc6d-4bfd-9943-02b668a4274d","D16","MCRA","MCRA.AOS.reaeration.station.01","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296847","bromide",0.386,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,1
"d6b5eab6-1ea1-4ba6-ad3f-8fd7b986118f","D16","MCRA","MCRA.AOS.reaeration.station.02","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296829","bromide",0.376,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
"17e124d5-c06f-4abc-acb0-6c0a71b8f802","D16","MCRA","MCRA.AOS.reaeration.station.04","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296804","bromide",0.068,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,1
"3e9397eb-be7d-486e-a2be-36d99e331853","D16","MCRA","MCRA.AOS.reaeration.station.02","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296830","bromide",0.371,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
"515fcd9d-2733-428c-ba1a-4b6587132872","D16","MCRA","MCRA.AOS.reaeration.station.01","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296848","bromide",0.373,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
"2b926e9e-baab-4f2b-9c2d-f82bd5ee26f6","D16","MCRA","MCRA.AOS.reaeration.station.02","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296806","bromide",0.059,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,1
"56b33335-7827-46c9-8edb-6ece2ba84da3","D16","MCRA","MCRA.AOS.reaeration.station.01","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296849","bromide",0.387,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,1
"10678481-eb2f-4b93-8dc8-fb9cf06d325e","D16","MCRA","MCRA.AOS.reaeration.station.04","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296840","bromide",0.346,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
"c7cbfa77-2a66-4794-8b4b-e9e12eb4b5d8","D16","MCRA","MCRA.AOS.reaeration.station.04","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296841","bromide",0.348,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
"eec2fd09-945d-4d03-b482-6c64937995b0","D16","MCRA","MCRA.AOS.reaeration.station.01","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296850","bromide",0.408,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,1
"11e5b4c6-7609-4113-8bf6-91b7a323d380","D16","MCRA","MCRA.AOS.reaeration.station.03","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296833","bromide",0.358,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
"3880c213-a04d-4fca-8e95-bf42349edcb2","D16","MCRA","MCRA.AOS.reaeration.station.04","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296839","bromide",0.358,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
"91c1a27f-4403-495e-9ed1-c3d8c29fdec6","D16","MCRA","MCRA.AOS.reaeration.station.02","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296831","bromide",0.364,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
"16723a28-66a2-451c-a5b2-8279081ababc","D16","MCRA","MCRA.AOS.reaeration.station.04","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296838","bromide",0.352,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
"84d328be-620b-4387-9b2a-12f17dab2b48","D16","MCRA","MCRA.AOS.reaeration.station.03","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296836","bromide",0.363,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
"35ce84af-af2a-47de-ad3a-3ee1d7ccca89","D16","MCRA","MCRA.AOS.reaeration.station.03","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296805","bromide",0.061,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,1
"a61c8790-2fc1-4c39-b9dc-ab6d37c98fc4","D16","MCRA","MCRA.AOS.reaeration.station.03","2024-05-14T16:45Z","Aquatic Biogeochemistry Lab at Utah State University",,"A00000296834","bromide",0.355,0,"2024-05-23T18:00Z","3mXJgtiPuxs=","OK",,,0
