uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"8208c94e-a6c3-4d4c-9197-f2663461c76d","D18","OKSR","OKSR.AOS.reaeration.station.01","2017-08-05T18:33Z",,5,"OKSR.05.20170805","OKSR.05.20170805.GAS","OKSR.05.20170805.TCR",,
"ecbd6b15-d2b5-4d9c-b61c-a2bd66e00088","D18","OKSR","OKSR.AOS.reaeration.station.04","2017-08-05T18:33Z",,3,"OKSR.18.20170805","OKSR.18.20170805.GAS","OKSR.18.20170805.TCR",,
"2c3101e8-cfca-4c83-8485-94e0f4baca59","D18","OKSR","OKSR.AOS.reaeration.station.04","2017-08-05T18:33Z",,4,"OKSR.19.20170805","OKSR.19.20170805.GAS","OKSR.19.20170805.TCR",,
"9afeabf9-1375-41ab-a58d-c1d00170708a","D18","OKSR","OKSR.AOS.reaeration.station.03","2017-08-05T18:33Z",,1,"OKSR.11.20170805","OKSR.11.20170805.GAS","OKSR.11.20170805.TCR",,
"bd124177-6687-4d30-9278-79b16216e6fd","D18","OKSR","OKSR.AOS.reaeration.station.04","2017-08-05T18:33Z",,5,"OKSR.20.20170805","OKSR.20.20170805.GAS","OKSR.20.20170805.TCR",,
"e250d251-c9b8-4fd4-adae-5845fe0ad066","D18","OKSR","OKSR.AOS.reaeration.station.01","2017-08-05T18:33Z",,2,"OKSR.02.20170805","OKSR.02.20170805.GAS","OKSR.02.20170805.TCR",,
"64447126-680f-4886-9c4c-a4472315ebb8","D18","OKSR","OKSR.AOS.reaeration.station.04","2017-08-05T18:33Z",,2,"OKSR.17.20170805","OKSR.17.20170805.GAS","OKSR.17.20170805.TCR",,
"99d6eb61-bc6b-4f9e-aa99-a398304f8b35","D18","OKSR","OKSR.AOS.reaeration.station.02","2017-08-05T18:33Z",,1,"OKSR.06.20170805","OKSR.06.20170805.GAS","OKSR.06.20170805.TCR",,
"222856a7-76de-4446-be1f-01f5179b47a2","D18","OKSR","OKSR.AOS.reaeration.station.01","2017-08-05T18:33Z",,1,"OKSR.01.20170805","OKSR.01.20170805.GAS","OKSR.01.20170805.TCR",,
"f85ee793-7bdf-4d17-a99c-53b83f9be4d8","D18","OKSR","OKSR.AOS.reaeration.station.01","2017-08-05T18:33Z",,3,"OKSR.03.20170805","OKSR.03.20170805.GAS","OKSR.03.20170805.TCR",,
