uid,domainID,siteID,namedLocation,collectDate,stationToInjectionDistance,specificConductanceRep1,specificConductanceRep2,specificConductanceRep3,specificConductanceRep4,sampleCollected,saltBackgroundSampleID,saltBackgroundSampleCode,remarks,incompleteExperimentQF
"5d6f8dae-1d5b-4457-9735-3483c54a53fd","D18","OKSR","OKSR.AOS.reaeration.station.03","2019-07-06T18:33Z",232.50,49.40,49.50,49.60,49.60,"Y","OKSR.B3.20190706.TCR","A00000099763",,
"42fb5e1c-63e6-403b-99bb-6332419b67dc","D18","OKSR","OKSR.AOS.reaeration.station.04","2019-07-06T18:33Z",380.40,50.00,50.00,49.80,49.80,"Y","OKSR.B4.20190706.TCR","A00000099766",,
"70565cd0-a516-4efc-91e4-7c1b35b32937","D18","OKSR","OKSR.AOS.reaeration.station.01","2019-07-06T18:33Z",48.90,49.30,49.60,49.70,49.50,"Y","OKSR.B1.20190706.TCR","A00000099764",,
"d75863b7-7f15-4018-a41b-82bbb661177f","D18","OKSR","OKSR.AOS.reaeration.station.02","2019-07-06T18:33Z",148.00,49.50,49.60,49.60,49.60,"Y","OKSR.B2.20190706.TCR","A00000099765",,
"a61efb22-dfb6-4b7e-a763-917cd1e188a6","D18","OKSR","OKSR.AOS.reaeration.station.03","2019-07-12T18:25Z",232.50,58.40,58.40,58.40,58.10,"Y","OKSR.B3.20190712.TCR","A00000099444",,
"5643f076-35a0-4002-9a9f-ed5b62656501","D18","OKSR","OKSR.AOS.reaeration.station.02","2019-07-12T18:25Z",148.00,58.60,58.50,58.60,58.60,"Y","OKSR.B2.20190712.TCR","A00000099443",,
"1b5a92c1-5b6b-4b36-8bef-aa3903b38be2","D18","OKSR","OKSR.AOS.reaeration.station.04","2019-07-12T18:25Z",380.40,58.70,58.40,58.40,58.50,"Y","OKSR.B4.20190712.TCR","A00000099445",,
"a67563d6-2b81-4396-b8db-378a698826d1","D18","OKSR","OKSR.AOS.reaeration.station.01","2019-07-12T18:25Z",48.90,58.70,58.60,58.70,58.50,"Y","OKSR.B1.20190712.TCR","A00000099442",,
"8757f823-7286-450c-8e3a-23104d65e937","D18","OKSR","OKSR.AOS.reaeration.station.01","2019-07-18T18:55Z",48.90,55.50,55.20,55.30,55.30,"Y","OKSR.B1.20190718.TCR","A00000099522",,
"5308fa38-bf7f-44f3-bc82-83bf84f703dc","D18","OKSR","OKSR.AOS.reaeration.station.02","2019-07-18T18:55Z",148.00,56.10,55.40,55.40,55.20,"Y","OKSR.B2.20190718.TCR","A00000099523",,
"3ee9688c-229b-47ce-81dd-ac41a36c6497","D18","OKSR","OKSR.AOS.reaeration.station.04","2019-07-18T18:55Z",380.40,51.40,55.80,55.60,55.70,"Y","OKSR.B4.20190718.TCR","A00000099525",,
"251a6bd7-2411-474d-a3d1-1e61b55c3123","D18","OKSR","OKSR.AOS.reaeration.station.03","2019-07-18T18:55Z",232.50,55.30,55.20,55.50,55.40,"Y","OKSR.B3.20190718.TCR","A00000099524",,
