uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"ce1568ef-c138-47b2-81e0-a1757b1383df","D18","OKSR","OKSR.AOS.reaeration.station.04","2019-07-06T18:33Z","Aquatic Biogeochemistry Lab at Utah State University","OKSR.19.20190706.TCR","A00000099749","bromide",0.0187,1,"2019-09-01T18:00Z","LIkHXDtHFXY=","OK",,,1
"37de2567-545e-4d5e-b094-82bce2b04f4c","D18","OKSR","OKSR.AOS.reaeration.station.04","2019-07-06T18:33Z","Aquatic Biogeochemistry Lab at Utah State University","OKSR.B4.20190706.TCR","A00000099766","bromide",,1,"2019-09-01T18:00Z","LIkHXDtHFXY=","OK",,,1
"dfef9eac-2932-4b9e-baed-bc4235cf676c","D18","OKSR","OKSR.AOS.reaeration.station.02","2019-07-06T18:33Z","Aquatic Biogeochemistry Lab at Utah State University","OKSR.07.20190706.TCR","A00000099757","bromide",0.048,0,"2019-09-01T18:00Z","LIkHXDtHFXY=","OK",,,1
"53f48ba6-f013-4290-8a81-553debd32a33","D18","OKSR","OKSR.AOS.reaeration.station.04","2019-07-06T18:33Z","Aquatic Biogeochemistry Lab at Utah State University","OKSR.18.20190706.TCR","A00000099750","bromide",0.0253,0,"2019-09-01T18:00Z","LIkHXDtHFXY=","OK",,,1
"9a384bf2-2604-4d87-9a28-76119ddd3bf2","D18","OKSR","OKSR.AOS.reaeration.station.03","2019-07-06T18:33Z","Aquatic Biogeochemistry Lab at Utah State University","OKSR.15.20190706.TCR","A00000099754","bromide",0.046,0,"2019-09-01T18:00Z","LIkHXDtHFXY=","OK",,,1
"eb0df8f2-79e0-47a3-849a-2d6f3e33a438","D18","OKSR","OKSR.AOS.reaeration.station.02","2019-07-06T18:33Z","Aquatic Biogeochemistry Lab at Utah State University","OKSR.B2.20190706.TCR","A00000099765","bromide",,1,"2019-09-01T18:00Z","LIkHXDtHFXY=","OK",,,1
"58a50dba-22e0-4045-9153-38432923aba9","D18","OKSR","OKSR.AOS.reaeration.station.01","2019-07-06T18:33Z","Aquatic Biogeochemistry Lab at Utah State University","OKSR.01.20190706.TCR","A00000099761","bromide",0.0628,0,"2019-09-01T18:00Z","LIkHXDtHFXY=","OK",,,1
"75d7af26-cdab-45c5-ba37-252c112104f7","D18","OKSR","OKSR.AOS.reaeration.station.01","2019-07-06T18:33Z","Aquatic Biogeochemistry Lab at Utah State University","OKSR.05.20190706.TCR","A00000099760","bromide",0.0582,0,"2019-09-01T18:00Z","LIkHXDtHFXY=","OK",,,1
"55af8dee-535d-4718-9192-69315332e4ea","D18","OKSR","OKSR","2019-07-06T18:33Z","Aquatic Biogeochemistry Lab at Utah State University","OKSR.00.20190706.TCR","A00000099767","bromide",45033.000,0,"2019-09-01T18:00Z","LIkHXDtHFXY=","OK",,,1
"24be22e2-c122-49da-a9e6-d5afbaeda3b8","D18","OKSR","OKSR.AOS.reaeration.station.01","2019-07-06T18:33Z","Aquatic Biogeochemistry Lab at Utah State University","OKSR.04.20190706.TCR","A00000099759","bromide",0.069,0,"2019-09-01T18:00Z","LIkHXDtHFXY=","OK",,,1
"37c8cb59-9767-4c76-8985-897c25f4c371","D18","OKSR","OKSR.AOS.reaeration.station.01","2019-07-06T18:33Z","Aquatic Biogeochemistry Lab at Utah State University","OKSR.02.20190706.TCR","A00000099762","bromide",0.0497,0,"2019-09-01T18:00Z","LIkHXDtHFXY=","OK",,,1
