uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"58137901-1427-4db7-a56d-8ab4ddd44293","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",15,5.30,
"5eac61ec-481d-4e0c-8314-1d7bc2e40730","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",16,7.90,
"c4011bb6-c7ce-47ba-b698-6cc77aea163f","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",5,10.50,
"bc7137c3-c7fa-40cc-840d-b62d9d4e5a11","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",26,6.80,
"6e09ab65-a458-4d3a-8760-661beeeae967","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",7,20.60,
"070caf9d-38f3-4c8a-82a5-1217329d9b6a","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",21,6.90,
"1439d182-ebc4-4ed8-807d-d078b802b0fb","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",25,7.40,
"5d9433d4-d1e4-4597-ab10-65a001772838","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",30,10.20,
"a84e27e2-824e-4b15-838d-0bf126aa5b18","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",1,7.50,
"8e55ad31-117f-4b20-bd36-e1cff338a1bc","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",17,6.60,
"a8c3cb5a-fdf6-4cc2-a27e-23903cf6e3ca","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",12,7.90,
"da2e0b22-6a7e-4ae5-ae28-87d172f8f880","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",2,9.20,
"4369ad92-cc44-4d3c-bf56-c8ff32f968bf","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",27,10.80,
"7836b013-ac82-4d15-86fd-0425f2333ef7","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",6,10.20,
"e53ad290-62dc-42f2-b6db-5fd04d0fe4b4","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",9,10.50,
"5a484749-cd70-4b76-9518-f10964c4e7bd","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",29,10.60,
"a3242ce4-f333-4514-9002-19293645b75c","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",23,5.60,
"9f0a8160-2e0a-4935-911f-be13ef5aaf01","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",3,7.90,
"a9d6c6ec-17c2-40ff-80db-d6fe451daa3c","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",19,6.50,
"5616cb2d-61be-403d-b421-769aacd69932","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",13,7.60,
"a08167a0-9dd8-442f-9ee2-6507120b4788","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",8,8.10,
"02b913bb-fc8d-48de-a8fd-0a0f5f177afc","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",4,6.40,
"234bfaba-6f31-46d7-8ece-c5b2d65d6019","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",28,8.90,
"05952757-561e-4096-9d0f-a22da0fbb272","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",18,6.00,
"806597a6-c6a6-4ed0-88c7-5fa818a5d63d","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",14,6.60,
"19d2a612-ad55-48e6-b270-a0947b844f89","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",24,7.50,
"77257cb7-10bd-4f99-aacf-b992fbbab7cc","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",10,5.30,
"f3412ee1-a7bc-4f1b-a15c-8f64ca83184d","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",20,6.50,
"5f29b987-c376-480a-b682-410e59d28547","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",22,6.20,
"a80e075a-1795-4ced-8092-9a9f7ea0c5d3","D18","OKSR","OKSR","2019-09-02T18:26Z","Laser Rangefinder",11,9.10,
"3ea9e948-c39e-4e88-8dbc-1948bf334282","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",13,6.90,
"b3d547d1-b780-4061-b630-67d3da21a5c5","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",8,8.00,
"a14b7411-0302-41f7-984a-bd8d8b0a24c8","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",4,6.80,
"a68ef87d-b293-428c-80b1-78e57af38e83","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",26,7.30,
"43bdad26-7279-442e-8fa5-fceef136d2e5","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",22,6.60,
"e9686259-5033-4fb5-98a7-2e48f1a3c838","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",6,14.90,
"98fa7fef-04d9-4507-adfc-0e59a82fd817","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",16,5.40,
"ca09db63-44b4-4848-ba73-a998e286bdb4","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",23,6.10,
"28a074b5-0c4c-46ad-8fab-93d48fb42469","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",7,8.30,
"f2241a3f-843b-469e-8fbb-6d0c5fc287ac","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",28,6.30,
"325c7036-6ee5-4ba5-a910-94286e14b585","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",25,5.50,
"eb7b1628-812c-4f3e-9626-33a78f274c94","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",2,7.90,
"0d3efb76-70c9-4cea-9372-89865a282f68","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",20,6.50,
"ca4f87ed-a0b9-4c19-9637-b8bee5e41528","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",12,6.90,
"1c682021-1121-4fe3-a6ef-363bd2f80437","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",1,6.40,
"c9f56f8c-0a91-48b7-82ec-4a64636bd5b4","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",21,5.10,
"f30f3268-f4d6-421b-af8d-4c2aea9074cc","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",29,7.20,
"b1a65444-8507-4f87-83d3-6f9aa32c7044","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",24,5.10,
"4e03ccb1-bd08-41cf-9585-b9bf4b56491f","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",15,5.30,
"e76372b1-5b14-411b-876f-ed8295648dc2","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",30,8.00,
"4b1f5d8e-1e13-4d42-bb99-d9af3413ba28","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",9,6.80,
"e72937f5-aa28-4f03-8b30-1114d104219a","D18","OKSR","OKSR","2019-09-06T19:00Z","Laser Rangefinder",10,5.30,
