uid,domainID,siteID,namedLocation,collectDate,waterTemp,specificConductanceRep1,specificConductanceRep2,specificConductanceRep3,specificConductanceRep4,specificConductanceRep5,remarks
"9dc936f6-a8de-4b10-800e-c43998d8dbd8","D18","OKSR","OKSR.AOS.reaeration.station.03","2020-09-03T19:26Z",7.40,64.30,,,,,
"30618cfb-c458-4fd7-ba4f-6ef3917b9661","D18","OKSR","OKSR.AOS.reaeration.station.02","2020-09-03T19:26Z",7.30,65.10,,,,,
"d50674a1-5af9-4512-b16c-4fb54f793d67","D18","OKSR","OKSR.AOS.reaeration.station.01","2020-09-03T19:26Z",7.20,58.30,,,,,
"6e2f2744-6c8c-4190-b7a3-35099a8f1dc5","D18","OKSR","OKSR.AOS.reaeration.station.04","2020-09-03T19:26Z",7.10,66.10,,,,,
"7711a502-2144-4e3c-a6f8-2b0af796962a","D18","OKSR","OKSR.AOS.reaeration.station.03","2020-09-10T19:02Z",3.30,52.90,,,,,
"0adcb15c-764e-4c09-a289-484fbb338c2c","D18","OKSR","OKSR.AOS.reaeration.station.04","2020-09-10T19:02Z",3.30,52.90,,,,,
"752876ea-2297-4be4-984e-4ef9dd45f300","D18","OKSR","OKSR.AOS.reaeration.station.02","2020-09-10T19:02Z",3.20,52.80,,,,,
"2fba30e4-b1d7-4423-9f12-ab88a925cbbe","D18","OKSR","OKSR.AOS.reaeration.station.01","2020-09-10T19:02Z",3.10,53.30,,,,,
"fd572045-f146-425a-a9f3-c1a4578dd2ff","D18","OKSR","OKSR.AOS.reaeration.station.01","2020-09-22T19:28Z",1.40,50.90,,,,,
"0a9d3a5e-9786-43a5-8b02-6f4f3460329f","D18","OKSR","OKSR.AOS.reaeration.station.02","2020-09-22T19:28Z",1.50,52.30,,,,,
"c5471a5b-35d0-4d76-991a-dee62a42f79f","D18","OKSR","OKSR.AOS.reaeration.station.04","2020-09-22T19:28Z",1.50,53.60,,,,,
"71521690-b755-4496-b15e-c4080ed35456","D18","OKSR","OKSR.AOS.reaeration.station.03","2020-09-22T19:28Z",1.50,52.60,,,,,
