uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"1878c090-8bc0-41a4-ba94-64280e16fba3","D02","POSE","POSE","2018-12-03T14:09Z","Tape",18,11.38,
"c2ca5b3b-f485-4283-90b2-b1db1bafb36a","D02","POSE","POSE","2018-12-03T14:09Z","Tape",23,9.19,
"1700f4c0-5f75-4af8-8fff-08e6d0c6aef9","D02","POSE","POSE","2018-12-03T14:09Z","Tape",30,2.79,
"9a73e49c-b521-455a-8b31-53752e93eec5","D02","POSE","POSE","2018-12-03T14:09Z","Tape",3,4.02,
"c391894a-d9a5-4a35-a666-912b3ca18ff2","D02","POSE","POSE","2018-12-03T14:09Z","Tape",10,4.77,
"314075ad-a854-4797-aaf3-daabcfadc8ef","D02","POSE","POSE","2018-12-03T14:09Z","Tape",16,1.91,
"6c263aaa-a691-4f00-9b25-6f6b387315f5","D02","POSE","POSE","2018-12-03T14:09Z","Tape",24,9.88,
"bf326417-c12e-441b-8546-736947d276bf","D02","POSE","POSE","2018-12-03T14:09Z","Tape",28,7.48,
"16ccf971-20b1-4f5e-a642-06a308b4691e","D02","POSE","POSE","2018-12-03T14:09Z","Tape",9,3.96,
"8b948ce1-5a4f-48c3-a8ca-28465f059e3d","D02","POSE","POSE","2018-12-03T14:09Z","Tape",14,6.46,
"d50c45ed-34b7-404b-9601-2c43a943d93a","D02","POSE","POSE","2018-12-03T14:09Z","Tape",25,9.58,
"524a507f-56e4-4728-88d9-fcd10b7895cb","D02","POSE","POSE","2018-12-03T14:09Z","Tape",22,9.21,
"0dee4e87-ad46-4596-ac54-75a056f7096e","D02","POSE","POSE","2018-12-03T14:09Z","Tape",27,8.36,
"8f70ce22-07c7-43bf-a677-446fcbf77ce5","D02","POSE","POSE","2018-12-03T14:09Z","Tape",4,2.93,
"7f3a003f-e40d-42d6-a961-ac2ed30679c6","D02","POSE","POSE","2018-12-03T14:09Z","Tape",11,6.67,
"5b258cf3-8691-4b9c-b5bd-1cd449412af9","D02","POSE","POSE","2018-12-03T14:09Z","Tape",15,10.88,
"46d57644-affd-4714-9d9c-dbd5efa4c08e","D02","POSE","POSE","2018-12-03T14:09Z","Tape",21,10.44,
"c0155a3a-8eef-4a85-bfdf-2ca064c66d5a","D02","POSE","POSE","2018-12-03T14:09Z","Tape",19,9.63,
"61d73cd0-da39-49dc-83f2-a60e3260dde8","D02","POSE","POSE","2018-12-03T14:09Z","Tape",17,10.79,
"30d33266-a11f-42ba-86b5-da9a49e3d31b","D02","POSE","POSE","2018-12-03T14:09Z","Tape",13,7.40,
"19d76ebf-1588-4ed2-9834-3621f75627f0","D02","POSE","POSE","2018-12-03T14:09Z","Tape",26,10.01,
"23258371-9e41-402e-878f-831d9c78fe57","D02","POSE","POSE","2018-12-03T14:09Z","Tape",12,7.26,
"0a1c6d6e-3753-4dbb-ade1-53334622075a","D02","POSE","POSE","2018-12-03T14:09Z","Tape",29,4.80,
"4a487cf1-6406-4440-b34c-22eb48c2eb77","D02","POSE","POSE","2018-12-03T14:09Z","Tape",2,4.17,
"733f0b1f-6a99-43e4-a767-79c016f23c52","D02","POSE","POSE","2018-12-03T14:09Z","Tape",5,2.83,
"29f4d8e9-c49b-4e42-80bd-a139b235a6e8","D02","POSE","POSE","2018-12-03T14:09Z","Tape",7,8.24,
"c1c406e7-db12-4344-b128-ac44cf741ad9","D02","POSE","POSE","2018-12-03T14:09Z","Tape",8,4.16,
"a78cd267-b5b2-4730-a26a-f68ca34c390d","D02","POSE","POSE","2018-12-03T14:09Z","Tape",6,4.85,
"12416065-c732-4821-a6bd-99b59500a6f2","D02","POSE","POSE","2018-12-03T14:09Z","Tape",1,3.35,
"e8f739da-99d9-46e3-9f66-e57759a9a0f7","D02","POSE","POSE","2018-12-03T14:09Z","Tape",20,8.11,
