uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"631a8f99-0da8-4b56-af37-23be69da6230","D15","REDB","REDB.AOS.reaeration.station.04","2015-10-22T18:28Z","Aquatic Biogeochemistry Lab at Utah State University","REDB.16.20151022.TCR",,"bromide",,1,"2015-11-11T12:00Z","Bb5KDL7c/9k=","OK",,,-1
"e4235a6a-0208-497a-8479-d25956bc2763","D15","REDB","REDB.AOS.reaeration.station.04","2015-10-22T18:28Z","Aquatic Biogeochemistry Lab at Utah State University","REDB.18.20151022.TCR",,"bromide",,1,"2015-11-11T12:00Z","Bb5KDL7c/9k=","OK",,,-1
"2fa6b66b-29ec-434b-b8ac-d0f65768b668","D15","REDB","REDB.AOS.reaeration.station.01","2015-10-22T18:28Z","Aquatic Biogeochemistry Lab at Utah State University","REDB.05.20151022.TCR",,"bromide",,1,"2015-11-11T12:00Z","Bb5KDL7c/9k=","OK",,,-1
"acc9abf0-5351-4bec-9a15-1e9e209e9e25","D15","REDB","REDB.AOS.reaeration.station.02","2015-10-22T18:28Z","Aquatic Biogeochemistry Lab at Utah State University","REDB.10.20151022.TCR",,"bromide",,1,"2015-11-11T12:00Z","Bb5KDL7c/9k=","OK",,,-1
"97c742ba-a29b-45eb-b2a8-c01aadf434b2","D15","REDB","REDB.AOS.reaeration.station.01","2015-10-22T18:28Z","Aquatic Biogeochemistry Lab at Utah State University","REDB.03.20151022.TCR",,"bromide",,1,"2015-11-11T12:00Z","Bb5KDL7c/9k=","OK",,,-1
"6419382e-7524-4985-af6e-41dacbe01726","D15","REDB","REDB.AOS.reaeration.station.04","2015-10-22T18:28Z","Aquatic Biogeochemistry Lab at Utah State University","REDB.20.20151022.TCR",,"bromide",,1,"2015-11-11T12:00Z","Bb5KDL7c/9k=","OK",,,-1
"f34faded-558a-4b98-92ee-d1aee9c21888","D15","REDB","REDB.AOS.reaeration.station.03","2015-10-22T18:28Z","Aquatic Biogeochemistry Lab at Utah State University","REDB.B3.20151022.TCR",,"bromide",,1,"2015-11-11T12:00Z","Bb5KDL7c/9k=","OK",,,
"444c2aa2-4b72-4cd7-b907-117dc40c6688","D15","REDB","REDB.AOS.reaeration.station.01","2015-10-22T18:28Z","Aquatic Biogeochemistry Lab at Utah State University","REDB.04.20151022.TCR",,"bromide",,1,"2015-11-11T12:00Z","Bb5KDL7c/9k=","OK",,,-1
"c5033437-0c93-48ab-9ff4-189d304a4353","D15","REDB","REDB.AOS.reaeration.station.02","2015-10-22T18:28Z","Aquatic Biogeochemistry Lab at Utah State University","REDB.06.20151022.TCR",,"bromide",,1,"2015-11-11T12:00Z","Bb5KDL7c/9k=","OK",,,-1
"5dd1f72a-6959-4c46-8774-adafbf909b45","D15","REDB","REDB.AOS.reaeration.station.03","2015-10-22T18:28Z","Aquatic Biogeochemistry Lab at Utah State University","REDB.11.20151022.TCR",,"bromide",,1,"2015-11-11T12:00Z","Bb5KDL7c/9k=","OK",,,-1
