uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"6b58544e-f80c-46f8-92b0-4e3421893b2d","D15","REDB","REDB.AOS.reaeration.station.01","2017-05-04T16:56Z","2017-05-04T19:02Z",2,"REDB.02.20170504","REDB.02.20170504.GAS","REDB.02.20170504.TCR",,
"8c23a203-b189-4d4e-8a10-b18a08d93b16","D15","REDB","REDB.AOS.reaeration.station.02","2017-05-04T16:56Z","2017-05-04T19:05Z",2,"REDB.07.20170504","REDB.07.20170504.GAS","REDB.07.20170504.TCR",,
"781b687a-c8e5-42de-9bc6-528ecb6d5627","D15","REDB","REDB.AOS.reaeration.station.02","2017-05-04T16:56Z","2017-05-04T19:05Z",5,"REDB.10.20170504","REDB.10.20170504.GAS","REDB.10.20170504.TCR",,
"93f11e72-4c3b-4066-a2f9-78632c78331a","D15","REDB","REDB.AOS.reaeration.station.03","2017-05-04T16:56Z","2017-05-04T19:08Z",1,"REDB.11.20170504","REDB.11.20170504.GAS","REDB.11.20170504.TCR",,
"070ee94d-546e-4477-9f9b-e52e33749a51","D15","REDB","REDB.AOS.reaeration.station.04","2017-05-04T16:56Z","2017-05-04T19:11Z",2,"REDB.17.20170504","REDB.17.20170504.GAS","REDB.17.20170504.TCR",,
"878d5fdf-1564-42e7-9261-508ef37a5c7a","D15","REDB","REDB.AOS.reaeration.station.04","2017-05-04T16:56Z","2017-05-04T19:11Z",5,"REDB.20.20170504","REDB.20.20170504.GAS","REDB.20.20170504.TCR",,
"dc9e2d76-18aa-4fd4-b63d-f40dd35bed6f","D15","REDB","REDB.AOS.reaeration.station.01","2017-05-04T16:56Z","2017-05-04T19:02Z",5,"REDB.05.20170504","REDB.05.20170504.GAS","REDB.05.20170504.TCR",,
"a64622f3-d8b9-4982-a85e-2e6888a3229f","D15","REDB","REDB.AOS.reaeration.station.03","2017-05-04T16:56Z","2017-05-04T19:08Z",2,"REDB.12.20170504","REDB.12.20170504.GAS","REDB.12.20170504.TCR",,
"b381f068-5a87-4b80-ad41-2e4b0e2baba9","D15","REDB","REDB.AOS.reaeration.station.04","2017-05-04T16:56Z","2017-05-04T19:11Z",3,"REDB.18.20170504","REDB.18.20170504.GAS","REDB.18.20170504.TCR",,
"ee30c70d-0e53-43e5-a263-ccba9cc8f8d7","D15","REDB","REDB.AOS.reaeration.station.04","2017-05-04T16:56Z","2017-05-04T19:11Z",4,"REDB.19.20170504","REDB.19.20170504.GAS","REDB.19.20170504.TCR",,
"8e4831e1-1ad4-4bea-8f25-b39015f826a9","D15","REDB","REDB.AOS.reaeration.station.02","2017-05-04T16:56Z","2017-05-04T19:05Z",4,"REDB.09.20170504","REDB.09.20170504.GAS","REDB.09.20170504.TCR",,
"ac7d6869-3dd3-4810-8251-f39d076ad9da","D15","REDB","REDB.AOS.reaeration.station.03","2017-05-04T16:56Z","2017-05-04T19:08Z",3,"REDB.13.20170504","REDB.13.20170504.GAS","REDB.13.20170504.TCR",,
