uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"89b65ab6-2a44-4e6a-8d36-c9fc71c27b51","D15","REDB","REDB.AOS.reaeration.station.01","2018-06-13T16:13Z","2018-06-13T19:10Z",1,"REDB.01.20180613","REDB.01.20180613.GAS","REDB.01.20180613.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"16ec61b5-6ace-48d9-9d23-4441b3d75133","D15","REDB","REDB.AOS.reaeration.station.01","2018-06-13T16:13Z","2018-06-13T19:10Z",3,"REDB.03.20180613","REDB.03.20180613.GAS","REDB.03.20180613.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"19d73576-feda-4345-aba5-7b2cf9341c35","D15","REDB","REDB.AOS.reaeration.station.02","2018-06-13T16:13Z","2018-06-13T19:17Z",4,"REDB.09.20180613","REDB.09.20180613.GAS","REDB.09.20180613.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"f08c36ee-d23f-4fc1-b6f1-668cdfd71998","D15","REDB","REDB.AOS.reaeration.station.01","2018-06-13T16:13Z","2018-06-13T19:10Z",5,"REDB.05.20180613","REDB.05.20180613.GAS","REDB.05.20180613.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"25d3d3c8-9783-4764-ac1a-c0fc8556fd77","D15","REDB","REDB.AOS.reaeration.station.03","2018-06-13T16:13Z","2018-06-13T19:24Z",3,"REDB.13.20180613","REDB.13.20180613.GAS","REDB.13.20180613.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"ac18261b-2827-492e-bf88-3d83eb73b571","D15","REDB","REDB.AOS.reaeration.station.04","2018-06-13T16:13Z","2018-06-13T19:32Z",1,"REDB.16.20180613","REDB.16.20180613.GAS","REDB.16.20180613.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"1578eb0c-30e5-4c7e-a603-dda45342db84","D15","REDB","REDB.AOS.reaeration.station.02","2018-06-13T16:13Z","2018-06-13T19:17Z",2,"REDB.07.20180613","REDB.07.20180613.GAS","REDB.07.20180613.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"728d0263-b1d4-4bb8-8656-83ea272b2388","D15","REDB","REDB.AOS.reaeration.station.03","2018-06-13T16:13Z","2018-06-13T19:24Z",2,"REDB.12.20180613","REDB.12.20180613.GAS","REDB.12.20180613.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"543f66df-e76b-4890-b389-ca63e8401171","D15","REDB","REDB.AOS.reaeration.station.04","2018-06-13T16:13Z","2018-06-13T19:32Z",4,"REDB.19.20180613","REDB.19.20180613.GAS","REDB.19.20180613.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
"c0a74889-6c7a-4535-b35e-2eaf358467e5","D15","REDB","REDB.AOS.reaeration.station.01","2018-06-13T16:13Z","2018-06-13T19:10Z",2,"REDB.02.20180613","REDB.02.20180613.GAS","REDB.02.20180613.TCR",,"externalLabSaltSampleDataNA|externalLabGasSampleDataNA"
