uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"5263e56d-cea8-40cd-a4e3-7af225cde5b6","D14","SYCA","SYCA.AOS.reaeration.station.04","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.20.20200309.TCR","A00000096484","bromide",0.2853,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",,,1
"2b64aa66-41a4-48fe-a0ee-990630b76c1a","D14","SYCA","SYCA.AOS.reaeration.station.03","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.11.20200309.TCR","A00000096488","bromide",0.1163,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",0.1182,,1
"b557aab0-fdc5-45c2-a34c-d9f7f12bb041","D14","SYCA","SYCA.AOS.reaeration.station.01","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.04.20200309.TCR","A00000096460","bromide",0.1038,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",,,1
"50c1ce5f-ad2b-4db4-a8cf-179a2dbe129f","D14","SYCA","SYCA.AOS.reaeration.station.01","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.01.20200309.TCR","A00000096459","bromide",0.1021,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",0.1044,,1
"cb2e9ece-4690-4a2f-a2db-5edd3aa45f4e","D14","SYCA","SYCA.AOS.reaeration.station.04","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.17.20200309.TCR","A00000096483","bromide",0.2858,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",,,1
"f990a8cc-dd03-4b21-b5ad-ec4e447f2441","D14","SYCA","SYCA.AOS.reaeration.station.01","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.03.20200309.TCR","A00000096463","bromide",0.1045,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",,,1
"9c9f37f2-aa3c-49d7-8775-ed10a2102145","D14","SYCA","SYCA.AOS.reaeration.station.02","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.10.20200309.TCR","A00000096481","bromide",0.1172,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",,,1
"7fcb57d1-b0ca-4d14-bd52-1197b0b0b3f8","D14","SYCA","SYCA.AOS.reaeration.station.03","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.15.20200309.TCR","A00000096507","bromide",0.1136,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",,,1
"9b6756ec-6e13-483b-9044-b503004b8a33","D14","SYCA","SYCA.AOS.reaeration.station.02","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.07.20200309.TCR","A00000096479","bromide",0.1125,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",,,1
"7b228e9d-5523-4cff-8aa9-9fbd653285ff","D14","SYCA","SYCA.AOS.reaeration.station.01","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.05.20200309.TCR","A00000096461","bromide",0.1118,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",,"reran looks the same",1
"51cd589a-fb8e-4489-aad7-34a63e659668","D14","SYCA","SYCA.AOS.reaeration.station.04","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.18.20200309.TCR","A00000096485","bromide",0.326,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",,,1
"bd3ad638-9ef9-4911-bd06-bd4cb2a77331","D14","SYCA","SYCA.AOS.reaeration.station.03","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.B3.20200309.TCR","A00000096476","bromide",0.0937,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",,,1
"16807344-afe2-4f8d-b30d-2d3b584a5af3","D14","SYCA","SYCA.AOS.reaeration.station.04","2020-03-09T18:02Z","Aquatic Biogeochemistry Lab at Utah State University","SYCA.16.20200309.TCR","A00000096482","bromide",0.2787,0,"2020-03-25T18:00Z","LIkHXDtHFXY=","OK",,,1
