uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"025a22f7-f973-467d-802d-f512a0967c15","D17","TECR","TECR.AOS.reaeration.station.03","2017-08-17T19:22Z","Aquatic Biogeochemistry Lab at Utah State University","TECR.13.20170817.TCR",,"chloride",3.007,0,"2017-09-22T12:00Z","LIkHXDtHFXY=","OK",,,-1
"1f61a57b-eade-44bd-91d5-2865128c7f3e","D17","TECR","TECR.AOS.reaeration.station.02","2017-08-17T19:22Z","Aquatic Biogeochemistry Lab at Utah State University","TECR.09.20170817.TCR",,"chloride",3.697,0,"2017-09-22T12:00Z","LIkHXDtHFXY=","OK",,,-1
"8b2339bc-a6aa-45a6-8590-6c714c38086e","D17","TECR","TECR.AOS.reaeration.station.03","2017-08-17T19:22Z","Aquatic Biogeochemistry Lab at Utah State University","TECR.12.20170817.TCR",,"chloride",3.0608,0,"2017-09-22T12:00Z","LIkHXDtHFXY=","OK",,,-1
"e3f44af4-451e-41af-b342-1ab55781d87c","D17","TECR","TECR.AOS.reaeration.station.01","2017-08-17T19:22Z","Aquatic Biogeochemistry Lab at Utah State University","TECR.02.20170817.TCR",,"chloride",3.666,0,"2017-09-22T12:00Z","LIkHXDtHFXY=","OK",,,-1
"f8f121e9-703e-4fdc-b8f9-ac8b536bfb05","D17","TECR","TECR.AOS.reaeration.station.01","2017-08-17T19:22Z","Aquatic Biogeochemistry Lab at Utah State University","TECR.04.20170817.TCR",,"chloride",3.7993,0,"2017-09-22T12:00Z","LIkHXDtHFXY=","OK",,,-1
"a091e341-a89c-4dee-9779-060a9a7ccb72","D17","TECR","TECR.AOS.reaeration.station.04","2017-08-17T19:22Z","Aquatic Biogeochemistry Lab at Utah State University","TECR.17.20170817.TCR",,"chloride",2.4198,0,"2017-09-22T12:00Z","LIkHXDtHFXY=","OK",,,-1
"7520cb6a-87d5-4085-93d3-e06a640ba10c","D17","TECR","TECR.AOS.reaeration.station.03","2017-08-17T19:22Z","Aquatic Biogeochemistry Lab at Utah State University","TECR.15.20170817.TCR",,"chloride",2.995,0,"2017-09-22T12:00Z","LIkHXDtHFXY=","OK",,,-1
"ec168f50-81f6-473e-a4a5-347f73a609b2","D17","TECR","TECR.AOS.reaeration.station.02","2017-08-17T19:22Z","Aquatic Biogeochemistry Lab at Utah State University","TECR.10.20170817.TCR",,"chloride",3.4743,0,"2017-09-22T12:00Z","LIkHXDtHFXY=","OK",,,-1
"bbd024f8-fc76-4357-bf3a-ec2a384a7605","D17","TECR","TECR.AOS.reaeration.station.01","2017-08-17T19:22Z","Aquatic Biogeochemistry Lab at Utah State University","TECR.01.20170817.TCR",,"chloride",4.1813,0,"2017-09-22T12:00Z","LIkHXDtHFXY=","OK",,,-1
"1ed1cd97-3cb0-4061-a63e-b58c050d81ca","D17","TECR","TECR.AOS.reaeration.station.01","2017-08-17T19:22Z","Aquatic Biogeochemistry Lab at Utah State University","TECR.03.20170817.TCR",,"chloride",4.0308,0,"2017-09-22T12:00Z","LIkHXDtHFXY=","OK",,,-1
