uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"85291c25-64c4-4e3a-91f3-7847a045e9c4","D17","TECR","TECR","2017-09-11T18:50Z",,7,1.80,
"5db1be4a-0402-4b46-8066-7fe3d2c694d3","D17","TECR","TECR","2017-09-11T18:50Z",,9,3.10,
"d9069979-eb13-4da8-a633-8eebef883ae3","D17","TECR","TECR","2017-09-11T18:50Z",,11,1.30,
"5f52e219-a72a-4c82-833d-9f02467b0de9","D17","TECR","TECR","2017-09-11T18:50Z",,5,1.40,
"4c81f237-97d0-4c6b-9299-79ec99dd021d","D17","TECR","TECR","2017-09-11T18:50Z",,18,1.50,
"686259d4-21e5-4ade-ae66-77ac49ffeb67","D17","TECR","TECR","2017-09-11T18:50Z",,13,0.90,
"2012b040-1c01-40dd-96ca-18bbe496bd4d","D17","TECR","TECR","2017-09-11T18:50Z",,10,1.80,
"1048610b-0d67-48c7-8956-e2cab8aa2644","D17","TECR","TECR","2017-09-11T18:50Z",,22,2.20,
"be92c8db-9830-45ca-93e8-28e148884f37","D17","TECR","TECR","2017-09-11T18:50Z",,3,2.40,
"435a8473-8c4d-44bb-92f7-e5e0144c3a23","D17","TECR","TECR","2017-09-11T18:50Z",,19,1.70,
"e4ca495e-ddef-4b5a-b640-b9fd2d93ef94","D17","TECR","TECR","2017-09-11T18:50Z",,17,4.30,
"71e87c40-61f9-4ad0-b17d-7df303456172","D17","TECR","TECR","2017-09-11T18:50Z",,23,3.90,
"2dc5f500-a867-467b-9c3b-b0f0664606fa","D17","TECR","TECR","2017-09-11T18:50Z",,12,2.00,
"6dedb2b9-09e9-43f9-a6d7-37aa612bfe2e","D17","TECR","TECR","2017-09-11T18:50Z",,15,4.20,
"e3c7acd6-723e-4974-8b6d-52ee9fdcbdbd","D17","TECR","TECR","2017-09-11T18:50Z",,29,1.80,
"93950117-63ec-4fb4-964c-95731c7799ff","D17","TECR","TECR","2017-09-11T18:50Z",,30,3.00,
"991a71dc-d272-4a3e-97f6-d3cd42467dc5","D17","TECR","TECR","2017-09-11T18:50Z",,25,1.30,
"93bfa798-98d3-41ca-a916-08dbec068aeb","D17","TECR","TECR","2017-09-11T18:50Z",,2,1.00,
"98b9e655-9429-4f13-83db-852544a3ffa9","D17","TECR","TECR","2017-09-11T18:50Z",,28,1.70,
"1531dea0-89cd-4774-8575-83ea5335b8dc","D17","TECR","TECR","2017-09-11T18:50Z",,14,1.30,
"6248b254-d8b4-4c47-b338-19d79e65ee3f","D17","TECR","TECR","2017-09-11T18:50Z",,4,1.70,
"ae925880-96b1-4ec0-bee6-4f629050b315","D17","TECR","TECR","2017-09-11T18:50Z",,6,1.60,
"774c69c7-5614-4ea8-8310-606c0dfbe805","D17","TECR","TECR","2017-09-11T18:50Z",,27,2.70,
"da412903-01a5-4c86-9fe6-cfc95308b32f","D17","TECR","TECR","2017-09-11T18:50Z",,20,1.60,
"1b665ee0-04e0-40aa-afac-8e42f157f8cf","D17","TECR","TECR","2017-09-11T18:50Z",,1,2.70,
"0f08397f-3e37-47ba-aa00-fa709f293f40","D17","TECR","TECR","2017-09-11T18:50Z",,24,2.30,
"f0ec7550-9465-40bf-ac36-4afb19df8786","D17","TECR","TECR","2017-09-11T18:50Z",,16,3.00,
"a60abbb0-61eb-41cb-84cd-cb4d4f980714","D17","TECR","TECR","2017-09-11T18:50Z",,26,1.30,
"661cd068-6dfe-4b21-bb79-c1223d84f959","D17","TECR","TECR","2017-09-11T18:50Z",,8,1.40,
"a2bffc53-d7ec-4092-ad07-714a1a27b209","D17","TECR","TECR","2017-09-11T18:50Z",,21,1.50,
