uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"75f03032-c318-425e-9b78-b97c66d82d35","D07","WALK","WALK","2017-09-20T14:02Z",,20,3.00,
"8f086081-988d-4303-8471-bad36ece0bb6","D07","WALK","WALK","2017-09-20T14:02Z",,16,2.90,
"971171dd-649b-4a95-b56b-fa5d56c9a6e1","D07","WALK","WALK","2017-09-20T14:02Z",,1,4.10,
"a9c81e17-2286-4a20-8a5d-625d3eec7c56","D07","WALK","WALK","2017-09-20T14:02Z",,12,4.80,
"9353fb68-891e-4e25-9456-838e0e32d1df","D07","WALK","WALK","2017-09-20T14:02Z",,3,3.80,
"9c485622-b8bb-4e5b-8731-426709159509","D07","WALK","WALK","2017-09-20T14:02Z",,17,3.60,
"664dd980-4439-4d83-91b3-deab719d5892","D07","WALK","WALK","2017-09-20T14:02Z",,7,3.30,
"60f11019-eb7e-4bc4-be91-f2c3a84bc8bb","D07","WALK","WALK","2017-09-20T14:02Z",,29,3.60,
"12700c34-e70d-4eb4-a9dd-6846332ecdf3","D07","WALK","WALK","2017-09-20T14:02Z",,26,4.40,
"37baa2a5-32d1-43e5-b35e-db1ee237fadb","D07","WALK","WALK","2017-09-20T14:02Z",,22,3.40,
"f87cf53e-665d-48df-8e3f-5357f3bd595f","D07","WALK","WALK","2017-09-20T14:02Z",,24,4.40,
"48e8126b-3557-40ea-ad3c-ea59b6793263","D07","WALK","WALK","2017-09-20T14:02Z",,30,2.40,
"b213732a-916d-4c19-80b8-ef32abaf4d5f","D07","WALK","WALK","2017-09-20T14:02Z",,28,4.10,
"eaee048c-e366-4a1a-9a25-490a1d0fab0c","D07","WALK","WALK","2017-09-20T14:02Z",,15,3.70,
"2c79b8b7-2144-4642-904d-a3772074f11c","D07","WALK","WALK","2017-09-20T14:02Z",,5,4.60,
"e0aba486-c30f-4d44-a86e-e171580b3344","D07","WALK","WALK","2017-09-20T14:02Z",,9,3.20,
"6c10f35b-9512-4b59-ac65-afd17c99d829","D07","WALK","WALK","2017-09-20T14:02Z",,4,3.90,
"d277d086-d85a-4188-bb01-596fcabd1a36","D07","WALK","WALK","2017-09-20T14:02Z",,2,3.00,
"2169cdea-8a0e-4496-bd44-04385f141e3e","D07","WALK","WALK","2017-09-20T14:02Z",,6,3.50,
"762329ff-6e92-4c9b-ba0e-eb02f54b816a","D07","WALK","WALK","2017-09-20T14:02Z",,18,3.40,
"7ea88283-dbfc-477d-8dc9-a841b669f0e7","D07","WALK","WALK","2017-09-20T14:02Z",,27,4.00,
"e4dabee8-ce4f-40e9-bee0-d4f2e7d04c20","D07","WALK","WALK","2017-09-20T14:02Z",,13,2.70,
"9bc48ac3-5f1a-4b88-8094-36d78aeb628f","D07","WALK","WALK","2017-09-20T14:02Z",,11,3.90,
"c94fa65e-9f9a-41b6-ad87-433793f4027d","D07","WALK","WALK","2017-09-20T14:02Z",,23,4.80,
"a7276410-1087-4329-9209-250ca77e0dac","D07","WALK","WALK","2017-09-20T14:02Z",,21,3.40,
"2380a62c-5449-4289-b9f4-716e9f6d4cf1","D07","WALK","WALK","2017-09-20T14:02Z",,14,3.90,
"c3699c0d-889a-474e-8349-bc4b27d454db","D07","WALK","WALK","2017-09-20T14:02Z",,25,4.00,
"932a1101-7999-40e9-8e0b-a10479c7143e","D07","WALK","WALK","2017-09-20T14:02Z",,19,3.20,
"3aecc73a-ef85-477b-a100-dd408274d0e2","D07","WALK","WALK","2017-09-20T14:02Z",,8,4.80,
"9e1a899f-28b6-4ba2-9dad-eae2bc6d4797","D07","WALK","WALK","2017-09-20T14:02Z",,10,3.20,
