uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"246b6ab1-3a61-4ddf-91ac-7e49e379de07","D13","WLOU","WLOU.AOS.reaeration.station.03","2016-09-16T08:04Z",,5,"WLOU.15.20160916","WLOU.15.20160916.GAS","WLOU.15.20160916.TCR",,"externalLabSaltSampleDataNA"
"624b3591-66d8-44d0-9ef7-db682e9a6de4","D13","WLOU","WLOU.AOS.reaeration.station.01","2016-09-16T08:04Z",,5,"WLOU.05.20160916","WLOU.05.20160916.GAS","WLOU.05.20160916.TCR",,
"dffaffad-9c14-4d29-8905-2bef0dd296d0","D13","WLOU","WLOU.AOS.reaeration.station.01","2016-09-16T08:04Z",,5,"WLOU.04.20160916","WLOU.04.20160916.GAS","WLOU.04.20160916.TCR",,
"a8eace7b-68eb-4f22-846d-c613331b94fe","D13","WLOU","WLOU.AOS.reaeration.station.03","2016-09-16T08:04Z",,5,"WLOU.14.20160916","WLOU.14.20160916.GAS","WLOU.14.20160916.TCR",,
"9b653a2b-004f-45f8-b6e0-86e4063b5426","D13","WLOU","WLOU.AOS.reaeration.station.04","2016-09-16T08:04Z",,5,"WLOU.18.20160916","WLOU.18.20160916.GAS","WLOU.18.20160916.TCR",,
"e26ca8a9-8313-4d40-9d3d-80bf180f95cd","D13","WLOU","WLOU.AOS.reaeration.station.02","2016-09-16T08:04Z",,5,"WLOU.08.20160916","WLOU.08.20160916.GAS","WLOU.08.20160916.TCR",,
"269643f5-79a5-46f1-a9ea-ba12a04d2604","D13","WLOU","WLOU.AOS.reaeration.station.04","2016-09-16T08:04Z",,5,"WLOU.16.20160916","WLOU.16.20160916.GAS","WLOU.16.20160916.TCR",,
"e5bc82d0-60e9-4c85-83ec-86626f6e0584","D13","WLOU","WLOU.AOS.reaeration.station.01","2016-09-16T08:04Z",,5,"WLOU.03.20160916","WLOU.03.20160916.GAS","WLOU.03.20160916.TCR",,
"bee5d3a7-fae8-4f88-9e93-6278a88a32e6","D13","WLOU","WLOU.AOS.reaeration.station.02","2016-09-16T08:04Z",,5,"WLOU.09.20160916","WLOU.09.20160916.GAS","WLOU.09.20160916.TCR",,
"e2a70fdf-5693-44dc-a138-8a9cf87e6638","D13","WLOU","WLOU.AOS.reaeration.station.03","2016-09-16T08:04Z",,5,"WLOU.13.20160916","WLOU.13.20160916.GAS","WLOU.13.20160916.TCR",,
"b5c00a28-b486-4220-92c6-3d79b429ab7d","D13","WLOU","WLOU.AOS.reaeration.station.01","2016-09-16T08:04Z",,5,"WLOU.02.20160916","WLOU.02.20160916.GAS","WLOU.02.20160916.TCR",,
"6c3363e7-945a-483b-9555-bc7548ac4cda","D13","WLOU","WLOU.AOS.reaeration.station.03","2016-09-16T08:04Z",,5,"WLOU.12.20160916","WLOU.12.20160916.GAS","WLOU.12.20160916.TCR",,
"8391cb1b-a7c5-4eb4-9ed5-43ae07deee01","D13","WLOU","WLOU.AOS.reaeration.station.04","2016-09-16T08:04Z",,5,"WLOU.19.20160916","WLOU.19.20160916.GAS","WLOU.19.20160916.TCR",,
"9332ce7f-b9e0-4b40-bb7b-ce7a1d7a85fa","D13","WLOU","WLOU.AOS.reaeration.station.03","2016-09-16T08:04Z",,5,"WLOU.11.20160916","WLOU.11.20160916.GAS","WLOU.11.20160916.TCR",,
"837fa092-2918-4481-88bd-f5cb417fbc9b","D13","WLOU","WLOU.AOS.reaeration.station.02","2016-09-16T08:04Z",,5,"WLOU.07.20160916","WLOU.07.20160916.GAS","WLOU.07.20160916.TCR",,
"355ff87b-7363-486f-98eb-640f54f53fe6","D13","WLOU","WLOU.AOS.reaeration.station.04","2016-09-16T08:04Z",,5,"WLOU.20.20160916","WLOU.20.20160916.GAS","WLOU.20.20160916.TCR",,
"453ed86b-5fb7-4498-a9cc-3823dd194bff","D13","WLOU","WLOU.AOS.reaeration.station.01","2016-09-16T08:04Z",,5,"WLOU.01.20160916","WLOU.01.20160916.GAS","WLOU.01.20160916.TCR",,
"497924de-c1fd-4419-9061-d6d14c0bd447","D13","WLOU","WLOU.AOS.reaeration.station.02","2016-09-16T08:04Z",,5,"WLOU.10.20160916","WLOU.10.20160916.GAS","WLOU.10.20160916.TCR",,
"b9f25229-91a3-4c99-be39-60db47d8d7d5","D13","WLOU","WLOU.AOS.reaeration.station.02","2016-09-16T08:04Z",,5,"WLOU.06.20160916","WLOU.06.20160916.GAS","WLOU.06.20160916.TCR",,
"e9dc5657-0a6c-42f8-9fb9-6a043f1969cb","D13","WLOU","WLOU.AOS.reaeration.station.04","2016-09-16T08:04Z",,5,"WLOU.17.20160916","WLOU.17.20160916.GAS","WLOU.17.20160916.TCR",,
