uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"20a68d93-8af0-4217-b772-d5d31e71b51f","D13","WLOU","WLOU","2016-09-16T12:00Z",,26,2.50,
"a929af35-f72f-45a8-ae21-fbbe74f467d9","D13","WLOU","WLOU","2016-09-16T12:00Z",,24,2.20,
"cdd9d7b2-6926-4994-b3cb-8250bda41e1e","D13","WLOU","WLOU","2016-09-16T12:00Z",,6,2.00,
"4a3083c9-d1ad-4a7c-a129-f2f65ba9d596","D13","WLOU","WLOU","2016-09-16T12:00Z",,3,1.80,
"b384af45-d4f5-420b-b117-571d2b60439c","D13","WLOU","WLOU","2016-09-16T12:00Z",,11,2.10,
"a6a076f0-2443-4404-bc42-ada8b27ae98f","D13","WLOU","WLOU","2016-09-16T12:00Z",,18,1.80,
"3a2621b7-d96c-42d9-b9a3-83136b74b10d","D13","WLOU","WLOU","2016-09-16T12:00Z",,13,2.60,
"68622c8a-5ab6-41e3-af51-2e9960b69c6e","D13","WLOU","WLOU","2016-09-16T12:00Z",,19,2.50,
"90dbe33d-4c8e-4758-829b-315093f52483","D13","WLOU","WLOU","2016-09-16T12:00Z",,22,2.30,
"60b7edfb-edb9-4588-ac52-b772d7df6a81","D13","WLOU","WLOU","2016-09-16T12:00Z",,8,2.90,
"0ce8c185-63ac-4db8-8735-694207728c63","D13","WLOU","WLOU","2016-09-16T12:00Z",,5,2.10,
"03801be6-f355-467a-8c73-23039aacfbd4","D13","WLOU","WLOU","2016-09-16T12:00Z",,25,1.60,
"05643f0e-fff8-4b64-8f97-97437abdbad7","D13","WLOU","WLOU","2016-09-16T12:00Z",,10,2.70,
"ca50667e-3437-4bb5-9ea9-0cfec13b3090","D13","WLOU","WLOU","2016-09-16T12:00Z",,2,2.30,
"3642fa7b-046f-4842-ad01-c3177e1fd5d1","D13","WLOU","WLOU","2016-09-16T12:00Z",,21,2.50,
"ea1231fd-c8ff-4a11-b138-187a3e58aa4e","D13","WLOU","WLOU","2016-09-16T12:00Z",,28,1.40,
"9c3e8ecd-6daf-409c-b834-d8fcdef87ab6","D13","WLOU","WLOU","2016-09-16T12:00Z",,9,3.10,
"bb335488-aad2-4d46-8aa6-ebb56ac5a086","D13","WLOU","WLOU","2016-09-16T12:00Z",,14,1.30,
"a22fbe5b-1f31-4bd8-a09b-99dd3901ae1d","D13","WLOU","WLOU","2016-09-16T12:00Z",,1,1.50,
"4ae46548-8ba7-4e1c-aad9-7ee0f723f27f","D13","WLOU","WLOU","2016-09-16T12:00Z",,12,1.80,
"7e299e80-0684-4aba-9ba4-7172a84059c9","D13","WLOU","WLOU","2016-09-16T12:00Z",,30,1.70,
"dfd75977-efa5-41ca-b1a2-7ae33ef99ed0","D13","WLOU","WLOU","2016-09-16T12:00Z",,20,2.50,
"18576d0d-f04c-47e9-85e3-6fd47e40f092","D13","WLOU","WLOU","2016-09-16T12:00Z",,15,2.70,
"f3229e89-31f6-474f-8ce4-6c35d80d939e","D13","WLOU","WLOU","2016-09-16T12:00Z",,29,2.20,
"1b2cd8bf-218c-40e3-8cb1-982cd9354923","D13","WLOU","WLOU","2016-09-16T12:00Z",,17,2.05,
"a898fb68-4c2c-4b4e-84bf-279546dd1854","D13","WLOU","WLOU","2016-09-16T12:00Z",,4,2.80,
"ea708aca-7b2e-4e46-8b8d-de5ffcbc35cf","D13","WLOU","WLOU","2016-09-16T12:00Z",,23,2.10,
"c95eb58f-f807-4167-aa87-8ead9cecd9d0","D13","WLOU","WLOU","2016-09-16T12:00Z",,27,2.60,
"7db92fd0-02ef-4d93-896c-321d41858d36","D13","WLOU","WLOU","2016-09-16T12:00Z",,7,2.90,
"caf5d97f-042d-49ae-b1e5-07842058097a","D13","WLOU","WLOU","2016-09-16T12:00Z",,16,2.00,
