uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"576b2df3-526b-4d55-873d-2c8ba4d7e58e","D13","WLOU","WLOU","2016-11-16T12:00Z",,15,1.70,"pump broke; injected gas only; vials not sent to lab"
"f218cc8f-4772-41c1-9040-9f63b207deea","D13","WLOU","WLOU","2016-11-16T12:00Z",,22,2.50,"pump broke; injected gas only; vials not sent to lab"
"5297157f-a929-4420-b273-efacbaaf8f64","D13","WLOU","WLOU","2016-11-16T12:00Z",,16,2.30,"pump broke; injected gas only; vials not sent to lab"
"f88e5944-eceb-4d2e-b4ce-4e35d4482775","D13","WLOU","WLOU","2016-11-16T12:00Z",,12,1.90,"pump broke; injected gas only; vials not sent to lab"
"31c68c9d-e6a3-4bf7-ac3b-da3b7163eb46","D13","WLOU","WLOU","2016-11-16T12:00Z",,25,1.30,"pump broke; injected gas only; vials not sent to lab"
"392cb5a8-c0b5-43e3-946e-49ea133b3445","D13","WLOU","WLOU","2016-11-16T12:00Z",,1,1.50,"pump broke; injected gas only; vials not sent to lab"
"c69d78ab-d1cd-4556-a20e-d04e2fc6ca22","D13","WLOU","WLOU","2016-11-16T12:00Z",,3,0.60,"pump broke; injected gas only; vials not sent to lab"
"6b753ae1-7afd-4b99-8452-dfe19beb0b2f","D13","WLOU","WLOU","2016-11-16T12:00Z",,18,2.10,"pump broke; injected gas only; vials not sent to lab"
"5fa130d4-28aa-46ea-94ae-5d9bfff4c19c","D13","WLOU","WLOU","2016-11-16T12:00Z",,29,0.50,"pump broke; injected gas only; vials not sent to lab"
"5f6cec1a-7abf-4ce9-b7af-49b281a7c097","D13","WLOU","WLOU","2016-11-16T12:00Z",,19,2.00,"pump broke; injected gas only; vials not sent to lab"
"d51a980f-eb98-4fd5-9023-f04926ca2bde","D13","WLOU","WLOU","2016-11-16T12:00Z",,10,1.80,"pump broke; injected gas only; vials not sent to lab"
"8275a2fd-3100-4726-ba2b-ca5ba616a499","D13","WLOU","WLOU","2016-11-16T12:00Z",,13,1.70,"pump broke; injected gas only; vials not sent to lab"
"8b745ea4-20e4-4e66-bbde-18a15038cb51","D13","WLOU","WLOU","2016-11-16T12:00Z",,17,1.60,"pump broke; injected gas only; vials not sent to lab"
"39feb3cc-982e-4d97-9129-4a88b0ec6cc4","D13","WLOU","WLOU","2016-11-16T12:00Z",,11,1.70,"pump broke; injected gas only; vials not sent to lab"
"d8890b2f-571c-4e28-b23c-7caf3129674c","D13","WLOU","WLOU","2016-11-16T12:00Z",,2,1.00,"pump broke; injected gas only; vials not sent to lab"
"f66cf228-0f70-4bab-a236-27fd25829cc8","D13","WLOU","WLOU","2016-11-16T12:00Z",,4,1.40,"pump broke; injected gas only; vials not sent to lab"
"863984e2-0daa-4f7a-8a60-43ab681b37f7","D13","WLOU","WLOU","2016-11-16T12:00Z",,9,0.10,"pump broke; injected gas only; vials not sent to lab"
"7460d639-fc57-4130-9630-d604567a0bcf","D13","WLOU","WLOU","2016-11-16T12:00Z",,8,1.90,"pump broke; injected gas only; vials not sent to lab"
"ed846e39-5ce2-4cbc-9974-68af035df5c5","D13","WLOU","WLOU","2016-11-16T12:00Z",,23,1.90,"pump broke; injected gas only; vials not sent to lab"
"c41af116-2184-4608-b8f9-ed4c24a62cf0","D13","WLOU","WLOU","2016-11-16T12:00Z",,26,2.20,"pump broke; injected gas only; vials not sent to lab"
"345055a0-1711-4ff1-899f-818c4456b723","D13","WLOU","WLOU","2016-11-16T12:00Z",,27,2.10,"pump broke; injected gas only; vials not sent to lab"
"71491d12-e86d-456e-8e38-62951c750aec","D13","WLOU","WLOU","2016-11-16T12:00Z",,5,2.20,"pump broke; injected gas only; vials not sent to lab"
"84db3083-9564-4c14-b99c-e5ef5fadf1e9","D13","WLOU","WLOU","2016-11-16T12:00Z",,24,2.20,"pump broke; injected gas only; vials not sent to lab"
"714be7d8-5172-4c62-9e22-a8c994021d0b","D13","WLOU","WLOU","2016-11-16T12:00Z",,21,1.30,"pump broke; injected gas only; vials not sent to lab"
"4fae66c6-41a5-4f2e-8b4d-416ce76501c7","D13","WLOU","WLOU","2016-11-16T12:00Z",,14,4.00,"pump broke; injected gas only; vials not sent to lab"
"057d4e39-753f-43bd-96a2-e2ed6d7e8486","D13","WLOU","WLOU","2016-11-16T12:00Z",,6,1.80,"pump broke; injected gas only; vials not sent to lab"
"88fa5f6e-3709-43eb-990b-170876d515b1","D13","WLOU","WLOU","2016-11-16T12:00Z",,30,3.10,"pump broke; injected gas only; vials not sent to lab"
"e0df3d33-29ed-4293-8b12-aeb0950c32ec","D13","WLOU","WLOU","2016-11-16T12:00Z",,20,1.50,"pump broke; injected gas only; vials not sent to lab"
"2bb583c3-a83e-42bc-a494-b862631f958e","D13","WLOU","WLOU","2016-11-16T12:00Z",,28,2.30,"pump broke; injected gas only; vials not sent to lab"
"d7f44d95-1c4d-4390-87ea-bcb79eeb760d","D13","WLOU","WLOU","2016-11-16T12:00Z",,7,1.60,"pump broke; injected gas only; vials not sent to lab"
