uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"3d4194ee-74fc-4944-8254-02fec48787ba","D13","WLOU","WLOU.AOS.reaeration.station.01","2019-08-12T18:14Z","Loecke Lab at University of Kansas","WLOU.01.20190812.TCR","A00000091841","bromide",0.000,1,"2019-09-20T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"3b7ddecb-38b4-409f-8d04-94aba0028b3c","D13","WLOU","WLOU.AOS.reaeration.station.03","2019-08-12T18:14Z","Loecke Lab at University of Kansas","WLOU.14.20190812.TCR","A00000091862","bromide",0.018142,1,"2019-09-20T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"2d7df941-026a-462d-8d09-32d8ffe41457","D13","WLOU","WLOU.AOS.reaeration.station.04","2019-08-12T18:14Z","Loecke Lab at University of Kansas","WLOU.18.20190812.TCR","A00000091830","bromide",0.000,1,"2019-09-20T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"7342b6b2-116d-4e4d-a7c8-173e77e5154c","D13","WLOU","WLOU.AOS.reaeration.station.04","2019-08-12T18:14Z","Loecke Lab at University of Kansas","WLOU.20.20190812.TCR","A00000091864","bromide",0.000,1,"2019-09-20T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"1045d6ca-51ce-49d5-b3a1-19585931101e","D13","WLOU","WLOU.AOS.reaeration.station.04","2019-08-12T18:14Z","Loecke Lab at University of Kansas","WLOU.17.20190812.TCR","A00000091863","bromide",0.000,1,"2019-09-20T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"e3db9f60-1e22-471f-9204-b79c7309b7d2","D13","WLOU","WLOU","2019-08-12T18:14Z","Loecke Lab at University of Kansas","WLOU.00.20190812.TCR","A00000091824","bromide",673.190,0,"2019-09-20T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"76d365a2-5174-4e2d-b81f-209a562d4fe3","D13","WLOU","WLOU.AOS.reaeration.station.01","2019-08-12T18:14Z","Loecke Lab at University of Kansas","WLOU.03.20190812.TCR","A00000091825","bromide",0.000,1,"2019-09-20T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"f9bad9c4-f05d-4f92-a55e-21849c32658a","D13","WLOU","WLOU.AOS.reaeration.station.02","2019-08-12T18:14Z","Loecke Lab at University of Kansas","WLOU.07.20190812.TCR","A00000091843","bromide",0.000,1,"2019-09-20T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"7faaebc7-c34c-4db5-a0fd-319547b3f05a","D13","WLOU","WLOU.AOS.reaeration.station.01","2019-08-12T18:14Z","Loecke Lab at University of Kansas","WLOU.04.20190812.TCR","A00000091842","bromide",0.0007414,1,"2019-09-20T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
"dfc2a260-af4d-4c67-a43a-1c80d320d03d","D13","WLOU","WLOU.AOS.reaeration.station.03","2019-08-12T18:14Z","Loecke Lab at University of Kansas","WLOU.B3.20190812.TCR","A00000091840","bromide",0.000,1,"2019-09-20T17:00Z","JWT8xeltcdq2xvj/f1DCRw==","OK",,,1
